Project,Insulation Tested,Capacitance,% Power Factor Measured,CF @ 20deg,Corrected Reading,Current,Power,Insulation Rating,Corrective Action,No. of Workers
WOTH-016,CHL,9414,0.03,0.8,0.02,2.745,0.342,Investigate,Repair Insulation,4
WOTH-017,CHG + CHL,8520,0.03,0.44,0.01,14.223,0.232,Investigate,Frequent Monitoring,1
WOTH-017,CHG,1332,0.00,0.44,0.00,5.232,0.432,Good,None Required,0
WOTH-017,CHL,3656,0.00,0.44,0.00,6.558,0.656,Good,None Required,0
WOTH-018,CHG + CHL,4573,0.00,0.55,0.00,0.223,0.387,Good,None Required,0
WOTH-018,CHG,8996,0.03,0.55,0.02,4.458,0.112,Investigate,Repair Insulation,3
WOTH-018,CHL,3250,0.00,0.55,0.00,11.23,0.993,Good,None Required,0
WOTH-019,CHG + CHL,4489,0.00,0.72,0.00,4.23,1.023,Good,None Required,0
WOTH-019,CHG,9003,0.03,0.72,0.02,4.78,0.686,Investigate,Perform Partial Discharge Test,3
WOTH-019,CHL,4345,0.00,0.72,0.00,0.274,0.334,Good,None Required,0
WOTH-020,CHG + CHL,1294,0.01,0.44,0.00,2.442,0.786,Good,None Required,0
WOTH-020,CHG,2874,0.00,0.44,0.00,5.245,0.339,Good,None Required,0
WOTH-020,CHL,7454,0.02,0.44,0.01,8.657,1.024,Investigate,Investigate Cause,4
WOTH-021,CHG + CHL,3323,0.00,0.714,0.00,11.43,0.485,Good,None Required,0
WOTH-021,CHG,6448,0.01,0.714,0.01,4.546,0.874,Investigate,Clean Contaminated Insulation,3
WOTH-021,CHL,1233,0.00,0.714,0.00,7.587,0.237,Good,None Required,0
WOTH-022,CHG + CHL,4636,0.00,0.62,0.00,2.434,0.435,Good,None Required,0
WOTH-022,CHG,8979,0.03,0.62,0.02,5.647,0.849,Investigate,Perform Partial Discharge Test,2
WOTH-022,CHL,2879,0.00,0.62,0.00,0.664,0.421,Good,None Required,0
WOTH-023,CHG + CHL,4079,0.01,0.55,0.00,12.433,0.237,Good,None Required,0
WOTH-023,CHG,1343,0.00,0.55,0.00,8.543,0.421,Good,None Required,0
WOTH-023,CHL,8673,0.02,0.55,0.01,0.235,0.799,Investigate,Condition Based Monitoring,2
WOTH-024,CHG + CHL,4356,0.00,0.49,0.00,14.232,0.365,Good,None Required,0
WOTH-024,CHG,1489,0.00,0.49,0.00,6.334,0.247,Good,None Required,0
WOTH-024,CHL,8947,0.03,0.49,0.01,11.239,0.945,Investigate,Investigate Cause,2
WOTH-025,CHG + CHL,9459,0.03,0.8,0.02,13.453,1.492,Investigate,Condition Based Monitoring,2
WOTH-025,CHG,8534,0.03,0.8,0.02,9.058,1.204,Investigate,Perform Partial Discharge Test,2
WOTH-025,CHL,3747,0.00,0.8,0.00,3.586,0.536,Good,None Required,0
WOTH-026,CHG + CHL,4126,0.00,0.714,0.00,4.575,0.742,Good,None Required,0
WOTH-026,CHG,8948,0.03,0.714,0.02,8.42,0.672,Investigate,Clean Contaminated Insulation,2
WOTH-026,CHL,10213,0.03,0.714,0.02,9.342,1.363,Investigate,Perform Partial Discharge Test,3
WOTH-027,CHG + CHL,3785,0.00,0.645,0.00,0.941,0.563,Good,None Required,0
WOTH-027,CHG,4525,0.00,0.645,0.00,0.752,0.748,Good,None Required,0
WOTH-027,CHL,8284,0.02,0.645,0.01,4.706,0.744,Investigate,Dry Out Moisture Ingress Points,4
WOTH-028,CHG + CHL,8747,0.02,0.43,0.01,2.549,0.236,Investigate,Dry Out Moisture Ingress Points,5
WOTH-028,CHG,1749,0.00,0.43,0.00,3.453,0.373,Good,None Required,0
WOTH-028,CHL,8489,0.02,0.43,0.01,6.95,0.789,Investigate,Apply Sealant,3
WOTH-029,CHG + CHL,4657,0.00,0.75,0.00,3.573,0.957,Good,None Required,0
WOTH-029,CHG,2579,0.00,0.75,0.00,9.332,0.336,Good,None Required,0
WOTH-029,CHL,9459,0.03,0.75,0.02,0.342,0.121,Investigate,Replace Damaged Insulation,4
WOTH-030,CHG + CHL,4955,0.00,0.8,0.00,5.866,0.613,Good,None Required,0
WOTH-030,CHG,9684,0.03,0.8,0.02,0.603,0.788,Investigate,Condition Based Monitoring,3
WOTH-030,CHL,10242,0.03,0.8,0.03,2.441,1.251,Investigate,Perform Partial Discharge Test,1
WOTH-031,CHG + CHL,3412,0.00,0.47,0.00,4.506,1.015,Good,None Required,0
WOTH-031,CHG,8473,0.03,0.47,0.01,5.381,0.251,Investigate,Replace Damaged Insulation,3
WOTH-031,CHL,7945,0.02,0.47,0.01,16.429,0.731,Investigate,Replace Damaged Insulation,3
WOTH-032,CHG + CHL,4468,0.00,0.49,0.00,0.241,0.624,Good,None Required,0
WOTH-032,CHG,2451,0.00,0.49,0.00,2.859,0.776,Good,None Required,0
WOTH-032,CHL,8235,0.02,0.49,0.01,11.248,0.155,Investigate,Reperform Test,2
WOTH-033,CHG + CHL,7822,0.02,0.67,0.01,7.804,0.255,Investigate,Reperform Test,2
WOTH-033,CHG,8845,0.02,0.67,0.01,8.952,0.512,Investigate,Reperform Test,2
WOTH-033,CHL,2947,0.00,0.67,0.00,0.853,0.505,Good,None Required,0
WOTH-034,CHG + CHL,8466,0.02,0.55,0.01,17.24,0.251,,Apply Sealant,3
WOTH-034,CHG,2452,0.00,0.55,0.00,11.249,0.265,Good,None Required,0
WOTH-034,CHL,11924,0.03,0.55,0.02,2.482,0.625,Investigate,Clean Contaminated Insulation,2
WOTH-035,CHG + CHL,6488,0.01,0.75,0.01,15.442,0.553,Investigate,Apply Sealant,4
WOTH-035,CHG,2366,0.00,0.75,0.00,14.502,0.563,Good,None Required,0
WOTH-035,CHL,8490,0.02,0.75,0.01,6.449,0.221,Investigate,Dry Out Moisture Ingress Points,5
WOTH-036,CHG + CHL,9140,0.03,0.49,0.01,7.539,0.421,Investigate,Dry Out Moisture Ingress Points,5
WOTH-036,CHG,2948,0.00,0.49,0.00,3.859,0.452,Good,None Required,0
WOTH-036,CHL,9752,0.03,0.49,0.01,0.248,0.731,Investigate,Replace Damaged Insulation,3
