Project,Tap No.,Theoretical Ratio,1U1V/2n2u Actual ,1U1V/2n2u % Error,1V1W/2n2v Actual ,1V1W/2n2v % Error,1W1U/2n2w Actual ,1W1U/2n2w % Error,1U1V/2n2u STATUS,1V1W/2n2v STATUS,1W1U/2n2w STATUS,Corrective Action ,,,,,,,,,,,,,,,
WOTH-021,5,123.405,124.92,1.228,123.58,0.142,124.89,1.203,INVESTIGATE,GOOD,INVESTIGATE,Winding Resistance Test,,,,,,,,,,,,,,,
WOTH-022,0,149.385,151.38,1.335,151.31,1.289,149.78,0.264,INVESTIGATE,INVESTIGATE,GOOD,Sweep Frequency Response Test,,,,,,,,,,,,,,,
WOTH-023,0,149.385,150.21,0.552,151.39,1.342,151.58,1.469,INVESTIGATE,INVESTIGATE,INVESTIGATE,Partial Discharge Settings,,,,,,,,,,,,,,,
WOTH-024,0,149.385,152.2,1.884,152,1.751,150.15,0.512,INVESTIGATE,INVESTIGATE,INVESTIGATE,Rewinding Faulty Winding,,,,,,,,,,,,,,,
WOTH-025,2,123.404,123.98,0.467,125.3,1.536,125.22,1.472,GOOD,INVESTIGATE,INVESTIGATE,Check Tap Changer Settings,,,,,,,,,,,,,,,
WOTH-026,2,123.404,123.56,0.126,124.85,1.172,124.69,1.042,GOOD,INVESTIGATE,INVESTIGATE,Detailed Visual Inspection,,,,,,,,,,,,,,,
WOTH-027,2,123.404,124.05,0.523,125.78,1.925,125.73,1.885,INVESTIGATE,INVESTIGATE,INVESTIGATE,Component Replacement,,,,,,,,,,,,,,,
WOTH-028,0,149.385,152.31,1.958,152.46,2.058,152,1.751,INVESTIGATE,INVESTIGATE,INVESTIGATE,Transformer Replacement,,,,,,,,,,,,,,,
WOTH-029,0,149.385,155.22,3.906,154.56,3.464,154.22,3.237,INVESTIGATE,INVESTIGATE,INVESTIGATE,Extended Outage and Safety Protocols,,,,,,,,,,,,,,,
WOTH-030,0,149.385,157.35,5.332,157.03,5.118,157.22,5.245,INVESTIGATE,INVESTIGATE,INVESTIGATE,Comprehensive Diagnostics,,,,,,,,,,,,,,,
WOTH-031,5,123.405,125.93,2.046,126.22,2.281,126.54,2.54,INVESTIGATE,INVESTIGATE,INVESTIGATE,Monitoring and Follow up,,,,,,,,,,,,,,,
WOTH-032,5,123.405,124.22,0.66,123.98,0.466,123.89,0.393,INVESTIGATE,GOOD,GOOD,Reperform Test,,,,,,,,,,,,,,,
WOTH-033,5,123.405,124.36,0.774,124.25,0.685,123.79,0.312,INVESTIGATE,INVESTIGATE,GOOD,Visual Inspection,,,,,,,,,,,,,,,
WOTH-034,5,123.405,125.18,1.438,125.15,1.414,125.01,1.301,INVESTIGATE,INVESTIGATE,INVESTIGATE,Sweep Frequency Response Test,,,,,,,,,,,,,,,
WOTH-035,5,123.405,125.21,1.463,125.29,1.527,124.01,0.49,INVESTIGATE,INVESTIGATE,GOOD,Partial Discharge Settings,,,,,,,,,,,,,,,
WOTH-036,5,123.405,125.72,1.876,123.98,0.466,125.65,1.819,INVESTIGATE,GOOD,INVESTIGATE,Rewinding Faulty Winding,,,,,,,,,,,,,,,
WOTH-037,0,149.385,152.31,1.958,152.46,2.058,152,1.751,INVESTIGATE,INVESTIGATE,INVESTIGATE,Transformer Replacement,,,,,,,,,,,,,,,
WOTH-038,0,149.385,154.79,3.618,155.01,3.765,155.21,3.899,INVESTIGATE,INVESTIGATE,INVESTIGATE,Extended Outage and Safety Protocols,,,,,,,,,,,,,,,
WOTH-039,0,149.385,158.4,6.035,157.93,5.72,158.32,5.981,INVESTIGATE,INVESTIGATE,INVESTIGATE,Comprehensive Diagnostics,,,,,,,,,,,,,,,
WOTH-040,2,123.404,124.02,0.499,124.61,0.977,124.63,0.993,GOOD,INVESTIGATE,INVESTIGATE,Consult Manufacturer,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,\
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
