Project,Insulation Tested,Capacitance,% Power Factor Measured,CF @ 20deg,Corrected Reading,Current,Power,Insulation Rating,Corrective Action
WOTH-010,CHG,1298,0.0051,0.714,0.0036,4.787,0.243,Good,None Required
WOTH-010,CHL,2975,0.002,0.714,0.0014,0.725,0.001,Good,None Required
WOTH-011,CHG + CHL,4605,0.0015,0.645,0.001,17.44,0.263,Good,None Required
WOTH-011,CHG,1539,0.0014,0.645,0.0009,5.923,0.084,Good,None Required
WOTH-011,CHL,3066,0.002,0.645,0.0013,11.78,0.237,Good,None Required
WOTH-012,CHG + CHL,4668,0.0014,0.714,0.001,16.71,0.232,Good,None Required
WOTH-012,CHG,1526,0.0013,0.714,0.0009,5.308,0.068,Good,None Required
WOTH-012,CHL,3140,0.0013,0.714,0.0009,0.807,0.097,Good,None Required
WOTH-013,CHG + CHL,10120,0.0313,0.714,0.0223,4.234,1.191,Investigate,Dry Out Moisture Ingress Points
WOTH-013,CHG,8950,0.0121,0.714,0.0087,6.128,0.523,Investigate,Investigate Cause
WOTH-013,CHL,7959,0.0152,0.714,0.0109,7.311,0.655,Investigate,Clean Insulation Surface
WOTH-014,CHG + CHL,8745,0.0155,0.49,0.0076,9.223,0.556,Investigate,Apply Sealant
WOTH-014,CHG,8454,0.0221,0.49,0.0108,0.546,0.942,Investigate,Frequent Monitoring
WOTH-014,CHL,7543,0.0401,0.49,0.0197,2.659,1.457,Investigate,Reperform Test
WOTH-015,CHG + CHL,9848,0.0225,0.55,0.0124,11.44,1.223,Investigate,Investigate Cause
WOTH-015,CHG,9426,0.0301,0.55,0.0166,2.348,0.821,Investigate,Investigate Cause
WOTH-015,CHL,8525,0.0155,0.55,0.0085,4.563,0.723,Investigate,Clean Contaminated Insulation
WOTH-016,CHG + CHL,8980,0.0123,0.8,0.0099,9.223,0.644,Investigate,Perform Visual Inspection
WOTH-016,CHG,8679,0.0166,0.8,0.0133,0.114,0.941,Investigate,Reperform Test
WOTH-016,CHL,9414,0.0266,0.8,0.0213,2.745,0.342,Investigate,Repair Insulation
WOTH-017,CHG + CHL,8520,0.0254,0.44,0.0112,14.223,0.232,Investigate,Frequent Monitoring
WOTH-017,CHG,1332,0.0023,0.44,0.001,5.232,0.432,Good,None Required
WOTH-017,CHL,3656,0.0012,0.44,0.0005,6.558,0.656,Good,None Required
WOTH-018,CHG + CHL,4573,0.0035,0.55,0.0019,0.223,0.387,Good,None Required
WOTH-018,CHG,8996,0.0278,0.55,0.0153,4.458,0.112,Investigate,Repair Insulation
WOTH-018,CHL,3250,0.0034,0.55,0.0019,11.23,0.993,Good,None Required
WOTH-019,CHG + CHL,4489,0.0033,0.72,0.0024,4.23,1.023,Good,None Required
WOTH-019,CHG,9003,0.0275,0.72,0.0198,4.78,0.686,Investigate,Perform Partial Discharge Test
WOTH-019,CHL,4345,0.0048,0.72,0.0035,0.274,0.334,Good,None Required
WOTH-020,CHG + CHL,1294,0.0055,0.44,0.0024,2.442,0.786,Good,None Required
WOTH-020,CHG,2874,0.0032,0.44,0.0014,5.245,0.339,Good,None Required
WOTH-020,CHL,7454,0.0183,0.44,0.0081,8.657,1.024,Investigate,Investigate Cause
WOTH-021,CHG + CHL,3323,0.0034,0.714,0.0024,11.43,0.485,Good,None Required
WOTH-021,CHG,6448,0.0146,0.714,0.0104,4.546,0.874,Investigate,Clean Contaminated Insulation
WOTH-021,CHL,1233,0.0024,0.714,0.0017,7.587,0.237,Good,None Required
WOTH-022,CHG + CHL,4636,0.0025,0.62,0.0016,2.434,0.435,Good,None Required
WOTH-022,CHG,8979,0.0273,0.62,0.017,5.647,0.849,Investigate,Perform Partial Discharge Test
WOTH-022,CHL,2879,0.0045,0.62,0.0028,0.664,0.421,Good,None Required
WOTH-023,CHG + CHL,4079,0.0058,0.55,0.0032,12.433,0.237,Good,None Required
WOTH-023,CHG,1343,0.0033,0.55,0.0018,8.543,0.421,Good,None Required
WOTH-023,CHL,8673,0.018,0.55,0.0099,0.235,0.799,Investigate,Condition Based Monitoring
WOTH-024,CHG + CHL,4356,0.0044,0.49,0.0022,14.232,0.365,Good,None Required
WOTH-024,CHG,1489,0.0047,0.49,0.0023,6.334,0.247,Good,None Required
WOTH-024,CHL,8947,0.0256,0.49,0.0125,11.239,0.945,Investigate,Investigate Cause
WOTH-025,CHG + CHL,9459,0.0292,0.8,0.0234,13.453,1.492,Investigate,Condition Based Monitoring
WOTH-025,CHG,8534,0.0254,0.8,0.0203,9.058,1.204,Investigate,Perform Partial Discharge Test
WOTH-025,CHL,3747,0.0023,0.8,0.0018,3.586,0.536,Good,None Required
WOTH-026,CHG + CHL,4126,0.0035,0.714,0.0025,4.575,0.742,Good,None Required
WOTH-026,CHG,8948,0.0277,0.714,0.0198,8.42,0.672,Investigate,Clean Contaminated Insulation
WOTH-026,CHL,10213,0.0313,0.714,0.0223,9.342,1.363,Investigate,Perform Partial Discharge Test
WOTH-027,CHG + CHL,3785,0.0022,0.645,0.0014,0.941,0.563,Good,None Required
WOTH-027,CHG,4525,0.0033,0.645,0.0021,0.752,0.748,Good,None Required
WOTH-027,CHL,8284,0.0195,0.645,0.0125,4.706,0.744,Investigate,Dry Out Moisture Ingress Points
WOTH-028,CHG + CHL,8747,0.0243,0.43,0.0105,2.549,0.236,Investigate,Dry Out Moisture Ingress Points
WOTH-028,CHG,1749,0.0022,0.43,0.001,3.453,0.373,Good,None Required
WOTH-028,CHL,8489,0.0214,0.43,0.0092,6.95,0.789,Investigate,Apply Sealant
WOTH-029,CHG + CHL,4657,0.0033,0.75,0.0024,3.573,0.957,Good,None Required
WOTH-029,CHG,2579,0.0025,0.75,0.0019,9.332,0.336,Good,None Required
WOTH-029,CHL,9459,0.0295,0.75,0.0221,0.342,0.121,Investigate,Replace Damaged Insulation
WOTH-030,CHG + CHL,4955,0.0043,0.8,0.0034,5.866,0.613,Good,None Required
WOTH-030,CHG,9684,0.0292,0.8,0.0234,0.603,0.788,Investigate,Condition Based Monitoring
WOTH-030,CHL,10242,0.0325,0.8,0.026,2.441,1.251,Investigate,Perform Partial Discharge Test
WOTH-031,CHG + CHL,3412,0.0033,0.47,0.0015,4.506,1.015,Good,None Required
WOTH-031,CHG,8473,0.0265,0.47,0.0125,5.381,0.251,Investigate,Replace Damaged Insulation
WOTH-031,CHL,7945,0.0224,0.47,0.0105,16.429,0.731,Investigate,Replace Damaged Insulation
WOTH-032,CHG + CHL,4468,0.0043,0.49,0.0021,0.241,0.624,Good,None Required
WOTH-032,CHG,2451,0.0025,0.49,0.0012,2.859,0.776,Good,None Required
WOTH-032,CHL,8235,0.0246,0.49,0.0121,11.248,0.155,Investigate,Reperform Test
WOTH-033,CHG + CHL,7822,0.0175,0.67,0.0117,7.804,0.255,Investigate,Reperform Test
WOTH-033,CHG,8845,0.0185,0.67,0.0124,8.952,0.512,Investigate,Reperform Test
WOTH-033,CHL,2947,0.0029,0.67,0.0019,0.853,0.505,Good,None Required
WOTH-034,CHG + CHL,8466,0.0179,0.55,0.0099,17.24,0.251,Investigate,Apply Sealant
WOTH-034,CHG,2452,0.0025,0.55,0.0014,11.249,0.265,Good,None Required
WOTH-034,CHL,11924,0.0295,0.55,0.0162,2.482,0.625,Investigate,Clean Contaminated Insulation
WOTH-035,CHG + CHL,6488,0.0095,0.75,0.0071,15.442,0.553,Investigate,Apply Sealant
WOTH-035,CHG,2366,0.0025,0.75,0.0019,14.502,0.563,Good,None Required
WOTH-035,CHL,8490,0.0178,0.75,0.0133,6.449,0.221,Investigate,Dry Out Moisture Ingress Points
WOTH-036,CHG + CHL,9140,0.0257,0.49,0.0126,7.539,0.421,Investigate,Dry Out Moisture Ingress Points
WOTH-036,CHG,2948,0.0037,0.49,0.0018,3.859,0.452,Good,None Required
WOTH-036,CHL,9752,0.0277,0.49,0.0136,0.248,0.731,Investigate,Replace Damaged Insulation
