No.,HighSchool,Economic_Status,Latin_Honor,PreBoard_Exam,FAR,CFAS,IA1,IA2,IA3,CostAcc,SpecTran,BusCom,GovAcc,AudTheo,AudProb 1,AudProb 2,AudSpec,AudCIS,ManSci,StratCost,EconDev,FinMar,GERC,ManEcon,FinMan,AIS,StraBA,ObliCon,BusLaw,RFBT,InTax,BusTax,Integ1,Integ2,LECPA_Results
11,Non-K-12,"P21,194 - P43,828",YES,PASSED,1.25,1.5,2,1.75,1.5,1.75,1.75,1.5,1.25,1.75,1.75,1.25,1.5,1.75,1.75,1.75,2.25,1.5,1.75,2,1.5,1.5,1.75,1.75,1.5,1.5,2,1.5,1.5,2,PASSED
12,Non-K-12,"P21,194 - P43,828",NO,FAILED,1,1.5,2,1.75,1.5,1.75,1.75,1.5,1.25,1.75,1.25,1.75,1.5,1.75,1.75,1.75,1.75,1.25,1.75,2.25,1.5,1.5,2.75,1.75,1.5,1.75,2,2,3,2.5,PASSED
13,Non-K-12,"P10,957 - P21,194",NO,FAILED,1.5,2,2.25,2,1.5,1.75,2,2,1.5,2,2,2,1.75,1.75,2,1.75,2.25,1.25,1.75,2.25,1.75,1.5,3,1.75,1.75,1.75,2.25,1.75,2,2.25,PASSED
14,Non-K-12,"P10,957 - P21,194",YES,PASSED,1.5,2,1.75,1.5,2,1.75,1.75,1.5,1.75,1.75,1.5,1.5,1.5,1.75,1.5,1.5,1.5,1.5,1.75,1,1.75,2,1.5,1.25,1.25,1.5,1.5,1.5,1.75,1.75,PASSED
15,Non-K-12,"P21,194 - P43,828",NO,PASSED,1.5,1.75,2,2.25,1.75,2.25,2,2,1.75,2,1.75,1.75,1.75,2,2.75,1.75,2,2,2,1.75,1.75,2,2.5,1.75,1.5,1.5,2.25,2.25,2.25,2.25,PASSED
16,Non-K-12,"Less than P10,957",YES,PASSED,1.75,1.75,2.25,1.75,1.75,1.5,1.5,1.25,1.5,1.5,1.25,1.25,1.25,1.5,2,1.25,2,0.75,1.5,1.5,1.5,1.75,2,1.5,1.25,1.5,2,1.75,1.5,1.75,PASSED
17,Non-K-12,"P21,194 - P43,828",YES,PASSED,1.25,2,1.75,2,2,1.5,1.75,1.75,1.75,2,1.75,1.75,1.75,1.75,1.75,1.5,1.75,1.75,2,1.5,1.5,1.75,2.25,1.25,1.5,1.5,1.75,2,2,2,PASSED
18,Non-K-12,"P43,828 - P76,669",NO,PASSED,1.5,2,2.25,2,2,1.75,2,2,2,1.75,1.5,1.5,1.5,1.75,2,1.75,2,1.5,1.75,1.5,2,1.75,2.25,1.5,1.5,1.5,2,2,2,2,PASSED
19,Non-K-12," P76,669 - P131,484",NO,PASSED,1.5,2,2,1.75,2,2,1.75,1.75,2,1.75,2,2,2,2,1.75,1.5,2,1.75,1.75,1.5,2,2,2.5,1.5,1.75,2,1.75,2,2.25,2.25,PASSED
20,Non-K-12,"P10,957 - P21,194",NO,PASSED,1.25,2,2.25,2,2,1.75,1.75,1.5,1.75,2,1.75,1.75,1.75,2,2,1.75,2,1,2,1.75,1.75,2,2,1.75,1.75,1.75,1.75,2,1.75,2.25,PASSED
21,Non-K-12,"P10,957 - P21,194",YES,PASSED,1.5,2,2,2,2,2,1.75,1.75,1.75,1.75,1.75,1.75,1.75,1.75,1.75,1.75,1.75,1.5,1.75,1.5,1.5,1.75,2,1.5,1.5,1.75,1.75,2.25,2,2,PASSED
22,Non-K-12,"Less than P10,957",NO,PASSED,1.75,2,2.25,2,2,1.75,1.75,2,1.75,1.5,1.75,1.75,1.75,2.25,1.75,1.5,2.25,1,1.5,1.5,1.75,2,2.25,1.5,1.75,1.75,1.75,2,2,2,PASSED
23,Non-K-12,"P10,957 - P21,194",NO,FAILED,1.75,2.25,1.75,2,2.25,2,2,1.75,1.75,2.25,1.75,1.75,1.75,1.75,2.25,1.75,2,1,2.25,1.5,1.75,2,2,1.75,1.75,1.75,1.75,2.25,2.25,2.25,FAILED
24,Non-K-12,"P43,828 - P76,669",NO,FAILED,2,2.25,2,2.5,2.25,2.25,2,2.25,2.25,2,2,2,2,2,2,2,2,1.25,2,2,2,2.25,2,1.75,2.25,2.25,2.25,2.5,2.5,2.5,FAILED
25,Non-K-12,"P21,194 - P43,828",NO,FAILED,2,2.5,2,2.25,2.5,2.5,2.25,2,2.5,2,2.25,2.25,2.25,2,2,2.25,2.25,1,2,2.25,2,2.25,2,2.25,2.5,2.25,2.5,2.5,2.5,2.75,FAILED
26,Non-K-12,"P10,957 - P21,194",NO,FAILED,1.75,2.25,2.25,1.5,2.25,2,2,1.75,2,2,1.5,1.5,1.5,2,2.25,1.75,1.75,1.75,2,1.5,2,2,1.75,1.75,1.75,1.75,1.75,2,2,2,FAILED
27,Non-K-12,"P21,194 - P43,828",NO,FAILED,2.25,2.25,2.25,2,2.25,2.25,2,2,2.5,2,2,2,2,2,2.5,2.5,2.5,2.25,2,2,2.25,2,2.25,2.5,2.25,2.5,2.5,3,2.5,2.5,FAILED
28,Non-K-12,"P10,957 - P21,194",NO,FAILED,1.75,2.25,1.75,1.5,2.25,2,2,1.75,2.25,2,1.75,1.75,1.75,1.75,2,1.75,2,0.75,2,1.75,1.75,2.25,2,1.75,1.75,2.25,2,2.25,2.25,2.25,FAILED
29,Non-K-12,"P21,194 - P43,828",NO,FAILED,2,2.25,2.25,1.75,2.25,2,2,1.75,1.75,2,1.75,1.75,1.75,2,2.25,1.75,2.25,1.75,2,1.5,1.75,2,2.5,2,2,2.25,2.25,2,2,2.25,FAILED
30,Non-K-12,"P43,828 - P76,669",NO,FAILED,1.5,2.25,2.25,2,2.25,2,2,2,2,1.75,2,2,2,2,2.25,1.75,1.75,1.5,1.75,1.75,2,2,2,1.5,1.75,2,1.75,2,2.5,2.5,FAILED
31,Non-K-12,"P10,957 - P21,194",YES,PASSED,1.5,2,1.75,2.25,2,2,1.75,2,1.75,2,1.75,1.75,1.75,2,1.5,1.75,2,2,2,1.75,2,2,2.25,1.5,2,2,1.75,2.5,2.25,2.5,FAILED
32,Non-K-12,"P10,957 - P21,194",NO,FAILED,1.75,2,2.25,2.25,2,2,1.75,1.75,2.25,2.25,1.75,1.75,1.75,2,2.25,2,2,1.75,2.25,1.5,2,2,2.25,1.75,1.75,2.25,2,2.5,2.25,2.5,FAILED
33,Non-K-12,"P10,957 - P21,194",NO,FAILED,1.75,2.5,1.75,1.75,2.5,2.25,2.25,1.75,2.25,2.25,2,2,2,2,2.25,2,2,1.75,2.25,1.5,2,2.25,2,2,2,2.25,2,2.25,2.25,2.25,FAILED
34,Non-K-12,"P10,957 - P21,194",YES,PASSED,1.5,2,2,2.25,2,2,1.75,2,2,2,1.75,1.75,1.75,2,1.75,1.75,2,2,2,1.75,1.75,1.75,1.5,1.75,1.75,1.75,1.75,1.75,2.25,2.25,FAILED
35,Non-K-12,"Less than P10,957",NO,PASSED,1.5,2.25,2.25,2.25,2.25,2,2,2,2,2,2,2,2,2,2,1.75,2,2,2,2,2.25,2,2.5,1.5,2,2,2,2.25,2,2.5,FAILED
36,Non-K-12," P76,669 - P131,484",NO,FAILED,1.75,2.25,2,2,2.25,1.75,2,1.75,1.75,2,2,2,2,1.75,2,2.25,1.75,1,2,2.25,2,1.5,2,1.75,1.75,2,1.75,2,1.75,2,FAILED
37,Non-K-12,"P10,957 - P21,194",YES,PASSED,1.5,1.5,1.75,2,1.5,1.5,2,1.75,1.25,1.5,1.5,1.5,1.5,1.5,2,2,2.25,1.25,1.5,1.75,1.5,1.5,1.75,1.75,1.5,1.75,2.25,1.75,1.5,2,PASSED
38,Non-K-12,"Less than P10,957",YES,PASSED,1.5,2,1.75,2,1.5,1.5,1.5,1.75,1,1.25,1.75,1.25,1.75,1.75,2,2,2.25,1.5,1.5,2.25,1.25,1.5,2,1.5,1.25,1.5,2.25,1.75,1.5,1.75,PASSED
39,Non-K-12,"P21,194 - P43,828",YES,PASSED,1.25,1.75,1.75,1.75,1.5,2,1.75,1.75,1.25,1.5,2.25,1.75,1.75,1.5,1.75,1.75,2,1.25,1.5,2.25,1.5,1.5,2,1.75,1.25,1.75,2,1.75,1.75,2,PASSED
40,Non-K-12,"P10,957 - P21,194",NO,FAILED,1.25,1.75,2,1.75,1.5,1.5,1.75,2,1.5,1.5,1.75,1.75,1.5,1.75,1.5,2,2.25,1.5,1.75,2,1.5,1.5,3,1.75,1.75,1.75,2.25,2,2.75,2,PASSED
41,Non-K-12,"Less than P10,957",NO,FAILED,2,1.75,2.5,2,1.5,2.5,2,1.75,1.5,2.25,2,1.75,1.75,1.75,2,2.25,2.25,1.5,1.75,2.5,2.25,1.75,2.75,1.75,1.75,1.75,2.25,2,2.25,2.25,PASSED
42,Non-K-12,"Less than P10,957",YES,FAILED,1.5,2,2,2,2,1.75,2,2,1.75,2,2,2,2,2,2,2,1.5,1,2,1.5,1.5,2.25,2,1.75,1.5,1.5,2,1.75,2,2,PASSED
43,Non-K-12,"P21,194 - P43,828",YES,PASSED,1.5,1.75,1.5,1.5,1.75,1.25,1.75,2,1.75,2,1.75,1.75,1.75,1.75,1.25,1.75,1.5,1.5,2,1.5,1.5,2.5,1.75,1.25,1.5,1.25,1.75,1.5,2,2,PASSED
44,Non-K-12,"P10,957 - P21,194",YES,FAILED,1.5,2.25,2.25,2.25,2.25,1.5,2.25,2.25,1.75,2,2.25,2.25,2.25,1.75,1.5,2,1.75,1.5,2,1.75,1.25,2.5,1.75,1.25,1.25,1.25,1,2,2.25,2.25,PASSED
45,Non-K-12,"P43,828 - P76,669",YES,PASSED,1.5,2,2,2.25,2,1.5,2,2.25,1.75,2,2,2,2,1.5,1.5,1.75,1.75,1,2,1.5,1.75,2,1.75,1.5,1.5,1.5,2,1.75,2,2.25,PASSED
46,Non-K-12,"P43,828 - P76,669",NO,FAILED,1.5,2.25,2,1.75,2.25,1.75,2.25,2.5,2,2.25,2,2,2,1.75,2,2.5,1.75,1.75,2.25,1.75,2,3,1.75,2.25,1.75,1.5,2,2.5,2.75,2.5,FAILED
47,Non-K-12,"P21,194 - P43,828",NO,PASSED,2,2.75,1.75,1.75,2.75,2,2.5,2.5,2,2,2,2,2,1.75,1.75,2.25,1.75,2,2,1.75,1.75,2.75,1.75,2,2,1.5,2.25,2.25,2.25,2.25,FAILED
48,Non-K-12,"P21,194 - P43,828",NO,FAILED,2,2,2,2.25,2,1.75,2,2.25,1.75,2.25,2.25,2.25,2.25,1.75,1.5,2,2,1.75,2.25,1.75,1.25,2.25,1.75,2,1.75,1.75,2,2.25,2.25,2.5,FAILED
49,Non-K-12,"P21,194 - P43,828",YES,FAILED,1.5,2,2.25,1.75,2,1.75,2.25,2.5,2.25,2,2.25,2.25,2.25,1.5,1.5,2,1.5,1.5,2,1.75,1.75,1.75,1.75,1.75,1.75,1.75,2.25,2.25,2.5,2.25,FAILED
50,Non-K-12," P76,669 - P131,484",NO,FAILED,2,2.5,2.25,2.5,2.5,1.75,2.25,2.5,2.5,2.25,2.5,2.5,2.5,2,2,2.25,2.5,2,2.25,1.75,1.75,3,2,2.25,2,2,2.25,2.25,2.75,2.25,FAILED
51,Non-K-12,"P21,194 - P43,828",YES,PASSED,1.5,1.5,2.25,1.5,1.5,1.5,1.5,2,1.75,2,1.5,1.5,1.5,1.75,1.5,1.5,2,1.5,2,1.5,1.5,2.5,1.75,1.5,1.5,1.5,1.75,2,1.75,2,FAILED
52,Non-K-12,"P21,194 - P43,828",NO,FAILED,1.5,2.25,2,2.25,2.25,2,2.5,2.5,1.75,2.25,2.25,2.25,2.25,1.75,2,2.25,2,1.75,2.25,1.75,1.75,2.25,1.75,2,1.75,1.75,2.25,2.25,2.5,2.25,FAILED
53,Non-K-12,"P10,957 - P21,194",YES,PASSED,1.5,2,2,2,2,1.5,2,2.25,1.5,2,2,2,2,1.75,1.5,2,1.75,1.5,2,1.5,1.5,2.25,1.75,1.5,1.25,1.5,1.75,1.75,2,2,FAILED
54,Non-K-12,"P10,957 - P21,194",YES,PASSED,1.5,2,2,1.75,2,1.5,2,2.25,1.75,2,1.75,1.75,1.75,1.75,1.5,2,1.75,1.75,2,1.5,1.5,2.25,1.5,1.75,1.5,1.5,2,2,1.75,2,FAILED
55,Non-K-12,"P10,957 - P21,194",NO,PASSED,1.25,2.25,2.25,2.25,2.25,1.5,2.25,2.25,1.75,2,1.75,1.75,1.75,1.75,1.25,2,1.5,1.5,2,1.5,1.75,2.25,1.5,1.75,1.75,1.25,2,1.75,2,2.25,FAILED
56,Non-K-12,"P43,828 - P76,669",NO,FAILED,1.5,2.25,2.25,2.25,2.25,1.75,2,2.25,1.75,2.25,2.25,2.25,2.25,1.75,1.5,2,1.75,1.75,2.25,1.75,1.75,2.75,1.75,1.75,1.5,1.5,2,2.5,2.25,2.5,FAILED
57,Non-K-12,"P21,194 - P43,828",NO,FAILED,1.75,2.25,2.25,2,2.25,1.75,2,2.25,1.75,2,2,2,2,1.75,1.5,1.75,1.75,1.75,2,1.5,1.75,2.25,1.75,1.75,1.75,1.5,2.25,2.25,2.25,2.5,FAILED
58,ABM,"P21,194 - P43,828",YES,PASSED,2,2,2.5,2,2,2.5,1.25,1.25,1.25,1.25,1.25,1.25,1.5,1.5,2,1.75,1.25,1.75,1.25,2,1.25,1.5,1.5,1.25,1.5,1.25,2,1.75,1.75,1.5,PASSED
59,ABM,"P21,194 - P43,828",YES,PASSED,1.75,2.25,2.25,2,2,2.25,1.75,1.75,1.5,1.5,1.75,1.5,1.25,1.25,1.75,1.5,1.5,1.5,1.5,2.25,1.5,1.5,1.5,1.5,1.75,1.25,2.25,2,1.75,1.5,PASSED
60,ABM,"Less than P10,957",YES,FAILED,1.75,2,2.5,2.25,1.75,2.25,1.25,1,1.25,1.25,1.5,1.25,1.5,1.5,1.5,2,1.25,1.5,1.75,2,1.5,1.5,1.5,1.25,1.5,1.25,2,2,1.75,1.75,PASSED
61,ABM,"P10,957 - P21,194",YES,PASSED,1.5,1.75,2.5,1.5,1.5,2.25,1,1,1.25,1.25,1.25,1.25,1.25,1.5,1.5,1.5,1.5,1.5,1.5,2,1.25,1.5,1.5,1.5,1.5,1.25,2,1.75,1.5,1.5,PASSED
62,ABM,"P10,957 - P21,194",NO,PASSED,1.5,2,2.5,2.5,1.5,2.25,1.75,1.5,1.5,2.24,1.5,1.5,1.5,1.25,1.75,1.75,1.75,1.5,1.5,2.75,1.5,1.5,1.5,1.25,1.5,1.25,2,1.5,1.5,1.5,PASSED
63,ABM,"Less than P10,957",YES,PASSED,1.25,1.5,2.25,2,1.5,2,1.5,1.5,1.25,1.25,1.5,1.25,1.75,1.25,1.5,1.5,1.25,1.5,1.25,1.75,1.25,1.5,1.5,1.25,1.5,1.25,1.25,1.5,1.25,1.5,PASSED
64,ABM,"P21,194 - P43,828",YES,PASSED,1.5,1.75,2,2,1.75,2.25,1.5,1.25,1.25,1.25,1.25,1.25,1,1.5,1.75,1.75,1.5,1.5,1.25,1.5,1.25,1.5,1.5,1.5,1.5,1.25,1.75,1.5,1.5,1.5,PASSED
65,ABM,"P21,194 - P43,828",YES,PASSED,1.25,1.75,2.25,1.75,2,2,1.25,1.25,1.25,1.5,1.5,1.25,1.25,1.25,1.5,1.5,1.5,1.5,1.5,2,1.25,1.5,1.5,1.25,1.75,1.25,2,1.5,1.75,1.5,PASSED
66,ABM,"Less than P10,957",NO,FAILED,1.75,2.25,2.75,2.25,2.25,2,2.25,2.25,2,1.75,2.25,1.5,1.75,1.75,1.75,2,1.25,1.5,1.5,2.5,1.75,1.5,1.5,1.5,2,1.25,2.25,2,2,1.75,FAILED
67,ABM,"P21,194 - P43,828",YES,FAILED,2,2.25,2.5,2.5,2.5,2.5,1.5,1.5,1.25,1.25,1.5,1.25,1.5,1.25,1.75,2,1.75,1.5,1.5,2.5,1.25,1.5,1.75,1.75,1.75,1.25,3,2,1.25,1.5,FAILED
68,ABM,"P10,957 - P21,194",NO,PASSED,1.5,2.25,2.5,2.25,1.75,2.25,2,2,1.25,2,2.25,1.25,1.75,1.75,1.75,2,1.5,1.75,1.5,2.5,1.5,1.5,1.75,1.75,2,1.25,3,2,2,2,FAILED
69,ABM,"P21,194 - P43,828",NO,FAILED,1.5,2.25,2.25,2.25,2.75,2.25,1.5,1.25,1.25,1.75,1.5,1.25,1.75,1.75,2,2.25,1.5,1.75,1.5,2.25,1.25,1.5,1.75,1.75,1.75,1.25,3,2,1.75,2,FAILED
70,ABM,"P21,194 - P43,828",NO,FAILED,1.75,2.25,2.5,2.5,2.75,2.5,1.5,1.5,1.25,1.75,1.75,1.25,1.5,1.75,2,2.25,1.75,1.5,1.5,2.5,3,1.5,1.75,2,2.25,1.25,2.75,2,2,2,FAILED
71,ABM,"P21,194 - P43,828",NO,FAILED,2,1.75,2.25,2,1.75,2,1.5,1.5,1.25,1.75,1.75,1.25,1.75,1.25,2,2.25,1.5,1.75,1.75,1.5,1.75,1.5,2.25,1.75,2.25,1.75,3,2,1.5,1.75,FAILED
72,ABM,"P10,957 - P21,194",YES,PASSED,1.25,2,2.25,2.5,2.25,2.25,1.75,2,1.5,2,1.75,1.5,1.5,1.75,1.75,1.75,1.25,1.5,1.5,2.25,1.5,1.5,1.5,1.5,2,1.25,2.5,1.75,2,1.75,FAILED
73,ABM,"Less than P10,957",NO,FAILED,1.75,2.25,2.75,2.25,2.5,2.25,1.75,1.75,1.5,2,1.75,1.25,1.25,1.75,1.75,2,1.75,1.5,1.25,2,1.5,1.5,1.5,1.75,2,1.25,2.5,1.76,2,1.75,FAILED
74,ABM,"P21,194 - P43,828",YES,PASSED,1.5,1.5,2.25,1.75,2.25,2.25,2,1.75,1.25,1.75,1.75,1.5,2,1.5,1.5,1.5,2.5,1.75,1.5,2,1.75,1.25,2,1.75,1.5,1.75,1.75,2.25,1.5,2,PASSED
75,ABM,"Less than P10,957",YES,PASSED,1.5,1.5,1.75,1.5,1.75,2.25,1.75,1.75,1.25,1.75,1.75,1.5,1.75,1.5,1.75,1.25,2.25,1.75,1.25,1.5,1.75,1.25,2.25,1.75,1.5,2,2,2,1.75,2.5,PASSED
76,Non-ABM,"P21,194 - P43,828",NO,PASSED,1.75,1.75,2.75,1.75,2,2.5,1.75,2.25,1.5,1.75,1.5,2,2,1.5,2.25,1.75,2,1.5,1.5,2.25,2,1.25,2.25,1.75,1.5,2,2,2.25,1.25,2.25,PASSED
77,ABM,"P21,194 - P43,828",YES,PASSED,1.5,1.5,2.25,1.75,1.75,2.25,1.5,2,1.25,1.5,1.5,1.5,2,1.5,1.75,1.5,2,1.75,1.25,1.5,1.75,1.25,2,1.5,1.5,1.75,2,1.75,1.25,1.75,PASSED
78,ABM,"P10,957 - P21,194",YES,FAILED,1.5,1.75,1.5,1.75,1.75,2.5,1.75,1.75,1.25,1.75,1.75,1.75,1.75,1.5,1.75,1.5,2.25,1.75,1.5,2.25,1.75,1.25,1.5,2,1.75,2,2,2.25,1.5,2.5,PASSED
79,ABM,"Less than P10,957",YES,PASSED,1.25,1.25,1.25,1.75,1.75,2,1.5,1.75,1.25,1.75,1.75,1.75,1.75,1.5,1.75,1.25,2,1.5,1.25,2,1.75,1.25,1.75,1.5,1.5,1.75,1.5,1.75,1.25,1.75,PASSED
80,ABM,"P10,957 - P21,194",YES,PASSED,1.5,1.75,2,1.75,1.75,2.25,1.5,1.5,1.25,1.5,1.25,1.5,1.75,1.5,1.75,1.75,2.5,1.75,1.5,1.5,1.5,1.25,2,1.75,2,1.75,2,1.75,1.5,2.5,PASSED
81,ABM,"P21,194 - P43,828",YES,PASSED,1.5,1.5,2.5,1.75,1.25,2.25,1.75,1.75,1,1.75,1.5,1.5,1.5,1.5,1.75,1.5,2,1.75,1.25,1.25,1.75,1.25,2,1.5,1.5,1.5,1.75,1.75,1.25,2,PASSED
82,ABM,"Less than P10,957",YES,FAILED,1.25,1.5,2.5,2.25,2,2.25,1.75,2,1.25,1.75,2,1.75,1.75,1.5,2,1.75,2.25,1.75,1.5,2.25,1.75,1.25,2,1.5,1.75,1.75,2,2.5,1.25,2,PASSED
83,ABM,"P21,194 - P43,828",NO,PASSED,1.5,1.5,2.75,1.75,1.25,2,1.75,1.75,1,1.75,1.75,1.5,1.5,1.5,2,1.25,2,1.75,1.25,1.5,1.75,1.25,2,1.5,1.5,1.5,1.75,2,1.25,1.75,PASSED
84,ABM,"P43,828 - P76,669",NO,FAILED,2,1.75,3,2,1.75,2.5,2,1.75,1.5,1.75,1.75,1.75,1.75,1.5,2,1.75,2.5,1.75,1.5,2.5,2,1.25,2.75,2,2.25,1.75,2.25,2.5,1.75,3,FAILED
85,ABM,"P21,194 - P43,828",NO,FAILED,1.75,1.5,2.75,1.75,2.25,2.75,1.75,2,1.25,1.75,1.75,1.75,2,1.5,1.75,1.75,2.5,1.75,1.5,2.25,2.25,1.25,2,1.75,1.5,2,2,2.25,1.25,2.25,FAILED
86,Non-ABM,"P21,194 - P43,828",NO,FAILED,2,2,2.5,1.75,2.25,2.75,1.75,2,1.75,1.75,1.5,1.75,2,1.75,2.25,1.75,3,1.75,1.25,2.25,2,1.25,2.75,2,2.25,1.75,2.25,2.25,1.75,2.5,FAILED
87,ABM,"P10,957 - P21,194",YES,FAILED,1.5,1.5,2,1.75,1.75,2.5,1.75,1.75,1.5,1.5,1.25,1.5,1.75,1.5,2,1.75,2.25,1.75,1.25,2,1.5,1.25,2.25,1.75,2,1.75,2.25,2.25,1.75,2.5,FAILED
88,ABM,"P10,957 - P21,194",NO,FAILED,1.75,1.5,1.75,2.25,2,2.5,2,2.25,1.75,1.75,1.5,1.75,2,1.75,1.75,1.75,3,1.75,1.5,2.25,2,1.25,2.75,2,2.5,2,2.25,2.25,1.75,2.5,FAILED
89,ABM,"P10,957 - P21,194",YES,FAILED,1.5,1.5,2,1.5,1.75,2.5,1.75,1.75,1.5,1.75,1.25,1.5,2,1.75,2,1.5,3,1.5,1.25,2,1.75,1.25,2.5,1.75,1.25,1.75,2,1.75,1.75,2.75,FAILED
90,ABM,"P10,957 - P21,194",NO,FAILED,1.5,2,3,1.75,2,2.5,2,2,1.25,1.75,1.5,2,1.75,1.5,1.75,1.75,2.25,1.75,1.25,2.25,1.75,1.25,2,2,1.75,1.75,2.25,2.5,1.5,2.5,FAILED
91,ABM,"Less than P10,957",NO,FAILED,1.75,1.75,2.25,2,1.75,2.5,1.75,1.75,1.5,1.75,1.25,1.75,1.75,1.75,1.75,1.75,3,1.75,1.5,2.5,1.75,1.25,2.5,1.75,2.25,2,2.25,2,1.75,2.5,FAILED
92,ABM,"P10,957 - P21,194",NO,FAILED,1.75,2.25,3,1.75,2,3,2,1.5,1.5,2,1.5,2.25,2,1.5,2.25,1.75,2.5,1.75,1.5,3,2.25,1.25,2.5,2.25,1.75,1.75,2.25,2.75,1.5,2.75,FAILED
93,Non-ABM,"P21,194 - P43,828",NO,PASSED,1.75,1.75,3,2.25,1.75,2.25,1.5,1.75,1.25,1.5,2,1.5,1.5,1.5,2.25,1.5,2.5,1.75,1.5,2,1.75,1.25,2.25,1.75,1.5,1.75,2,2.5,1.25,2,FAILED
94,ABM,"P10,957 - P21,194",NO,FAILED,1.75,1.75,2.75,1.5,1.75,2.25,1.5,1.5,1.25,1.5,1.25,1.75,1.5,1.5,1.75,1.5,2.25,1.75,1.25,1.75,1.5,1.25,2.5,1.75,1.75,1.5,2,2,1.25,2.25,FAILED
95,ABM,"Less than P10,957",YES,PASSED,1.5,1.75,2.25,1.5,1.75,2.5,1.75,1.75,1.25,1.75,1.5,1.75,1.75,1.5,2,2,2.5,1.75,1.5,2,2,1.25,2.25,1.75,1.75,1.15,2,1.75,1.75,2.25,FAILED
96,ABM,"P21,194 - P43,828",YES,PASSED,1,1.5,2,1.75,1.5,1.75,1.75,1.5,1.25,1.75,1.25,1.75,1.5,1.75,1.75,1.75,1.75,1.25,1.75,2,1.5,1.5,2,1.75,1.5,1.75,2,2,1.75,2,PASSED
97,ABM,"Less than P10,957",YES,PASSED,1.25,1.5,2.5,2,1.5,1.5,1.75,1.5,1.25,1.5,1.75,1.5,1.75,1.5,1.75,1.75,2.25,1.5,2,1.75,1.5,1.5,2.5,1.5,1.5,1.5,2,1.75,1.25,2.25,PASSED
98,ABM,"P10,957 - P21,194",YES,PASSED,1.25,1.75,2.5,2,1.5,2,1.75,1.5,1.25,1.75,1.75,1.25,1.5,1.75,2,1.75,2.25,1.5,1.75,2.25,1.75,1.5,2.25,1.5,1.75,1.5,2.25,1.75,2.25,2,PASSED
99,ABM,"P21,194 - P43,828",YES,PASSED,1.25,1.75,2,2,1.5,1.75,2,1.75,1.25,2,1.75,1.5,1.75,1.5,2,2,2.5,1.5,1.75,2.25,1.75,1.5,2.5,1.75,2,1.75,2.25,2,2,2.25,PASSED
