date,revenue,discount_rate,coupon_rate
26/4/2018,"7,372,851",10.56%,0.90%
27/4/2018,"6,614,114",21.57%,1.21%
28/4/2018,"6,023,684",15.75%,1.01%
29/4/2018,"7,693,851",9.28%,1.22%
30/4/2018,"7,240,527",11.07%,1.15%
1/5/2018,"8,794,546",10.88%,0.82%
2/5/2018,"7,629,467",9.81%,0.73%
3/5/2018,"7,651,845",10.25%,0.76%
4/5/2018,"6,521,916",10.88%,0.74%
5/5/2018,"6,113,709",9.53%,0.69%
6/5/2018,"8,523,340",9.28%,0.97%
7/5/2018,"8,238,335",11.09%,0.95%
8/5/2018,"8,058,452",12.05%,0.91%
9/5/2018,"7,064,272",13.81%,0.75%
10/5/2018,"7,985,805",12.62%,0.72%
11/5/2018,"6,227,741",10.94%,0.72%
12/5/2018,"5,539,695",11.11%,0.67%
13/5/2018,"7,932,697",11.29%,0.92%
14/5/2018,"7,632,371",9.80%,0.89%
15/5/2018,"8,269,616",12.88%,0.85%
16/5/2018,"8,445,220",14.77%,0.75%
17/5/2018,"7,513,102",14.95%,0.76%
18/5/2018,"5,711,627",13.89%,0.71%
19/5/2018,"5,282,308",13.74%,0.67%
20/5/2018,"6,136,823",13.91%,0.77%
21/5/2018,"7,478,776",12.18%,0.83%
22/5/2018,"7,419,569",11.46%,0.79%
23/5/2018,"7,670,434",11.30%,0.79%
24/5/2018,"7,116,036",10.60%,0.80%
25/5/2018,"6,002,974",10.11%,0.82%
26/5/2018,"5,765,979",9.38%,0.70%
27/5/2018,"8,139,172",9.14%,0.91%
28/5/2018,"7,877,985",7.93%,0.86%
29/5/2018,"7,827,662",9.85%,0.81%
30/5/2018,"7,488,099",10.08%,0.72%
31/5/2018,"8,015,333",10.77%,0.74%
1/6/2018,"6,372,930",10.63%,0.68%
2/6/2018,"6,147,303",12.17%,0.71%
3/6/2018,"8,839,785",12.74%,0.79%
4/6/2018,"8,558,057",11.40%,0.77%
5/6/2018,"8,021,249",10.16%,0.71%
6/6/2018,"8,245,644",11.52%,0.66%
7/6/2018,"7,438,362",10.84%,0.64%
8/6/2018,"6,448,148",12.42%,0.63%
9/6/2018,"6,298,184",12.93%,0.61%
10/6/2018,"8,393,132",12.18%,0.80%
11/6/2018,"8,109,952",13.18%,0.80%
12/6/2018,"7,591,195",12.64%,0.72%
13/6/2018,"7,625,840",13.64%,0.67%
14/6/2018,"7,070,696",13.67%,0.63%
15/6/2018,"5,950,723",14.98%,0.67%
16/6/2018,"5,707,027",13.88%,0.62%
17/6/2018,"9,274,344",19.30%,0.81%
18/6/2018,"9,237,462",20.03%,0.79%
19/6/2018,"8,593,103",18.83%,0.78%
20/6/2018,"8,429,281",19.27%,0.72%
21/6/2018,"7,731,664",20.40%,0.72%
22/6/2018,"6,536,234",22.18%,0.73%
23/6/2018,"6,130,059",22.30%,0.65%
24/6/2018,"9,358,415",23.69%,0.75%
25/6/2018,"8,183,974",21.57%,0.73%
26/6/2018,"8,455,154",23.96%,0.69%
27/6/2018,"7,481,255",24.17%,0.66%
28/6/2018,"7,913,485",24.16%,0.66%
29/6/2018,"6,866,470",25.22%,0.65%
30/6/2018,"6,106,833",24.21%,0.68%
1/7/2018,"9,577,675",28.34%,0.70%
2/7/2018,"8,143,965",25.50%,0.69%
3/7/2018,"8,103,394",25.58%,0.64%
4/7/2018,"7,671,032",24.71%,0.60%
5/7/2018,"7,042,201",24.66%,0.60%
6/7/2018,"6,596,966",27.55%,0.64%
7/7/2018,"6,308,487",28.29%,2.11%
8/7/2018,"7,834,902",26.60%,2.27%
9/7/2018,"7,023,471",23.38%,0.70%
10/7/2018,"7,087,763",23.40%,0.63%
11/7/2018,"7,295,787",24.93%,0.63%
12/7/2018,"6,306,814",25.43%,0.64%
13/7/2018,"5,504,644",26.50%,0.63%
14/7/2018,"5,250,792",26.23%,0.64%
15/7/2018,"6,737,027",26.89%,0.68%
16/7/2018,"6,652,427",26.05%,0.68%
17/7/2018,"6,796,722",25.33%,0.63%
18/7/2018,"6,521,253",25.67%,0.61%
19/7/2018,"6,013,975",26.00%,0.63%
20/7/2018,"7,635,159",32.19%,7.94%
21/7/2018,"6,671,817",30.63%,7.34%
22/7/2018,"8,449,433",29.13%,7.49%
23/7/2018,"8,376,110",28.44%,7.44%
24/7/2018,"5,651,261",19.32%,0.63%
25/7/2018,"5,684,674",19.34%,0.60%
26/7/2018,"5,382,941",18.55%,0.58%
27/7/2018,"4,774,553",19.51%,1.50%
28/7/2018,"4,692,742",18.29%,1.63%
29/7/2018,"5,613,808",16.41%,1.65%
30/7/2018,"6,481,855",22.08%,1.77%
31/7/2018,"6,064,041",18.75%,0.72%
1/8/2018,"6,081,130",16.85%,0.64%
2/8/2018,"5,736,095",16.42%,0.58%
3/8/2018,"5,026,581",15.68%,0.58%
4/8/2018,"4,619,744",15.04%,0.57%
5/8/2018,"5,762,281",14.23%,0.66%
6/8/2018,"6,175,471",19.32%,0.81%
7/8/2018,"6,078,646",17.92%,0.80%
8/8/2018,"6,154,560",16.44%,0.64%
9/8/2018,"5,785,771",14.93%,0.62%
10/8/2018,"4,892,373",14.86%,0.65%
11/8/2018,"4,495,767",14.74%,0.58%
12/8/2018,"5,642,127",13.51%,0.84%
13/8/2018,"6,537,048",21.64%,1.00%
14/8/2018,"6,392,855",16.77%,0.85%
15/8/2018,"6,332,997",14.50%,0.70%
16/8/2018,"5,775,637",13.93%,0.72%
17/8/2018,"5,144,563",15.90%,0.69%
18/8/2018,"4,744,768",14.12%,0.66%
19/8/2018,"5,984,190",12.81%,0.85%
20/8/2018,"6,794,374",18.58%,0.87%
21/8/2018,"6,532,273",15.79%,0.83%
22/8/2018,"6,642,804",15.79%,0.69%
23/8/2018,"6,071,856",14.01%,0.75%
24/8/2018,"5,958,170",13.98%,0.78%
25/8/2018,"6,307,055",13.22%,0.75%
26/8/2018,"8,194,730",13.10%,1.00%
27/8/2018,"8,184,778",11.94%,0.85%
28/8/2018,"7,873,791",12.89%,0.78%
29/8/2018,"7,552,850",13.92%,0.67%
30/8/2018,"7,611,925",11.95%,0.68%
31/8/2018,"7,017,581",12.41%,0.67%
1/9/2018,"7,239,444",11.95%,0.59%
2/9/2018,"10,073,928",10.41%,0.83%
3/9/2018,"8,796,536",9.58%,0.81%
4/9/2018,"8,150,398",10.21%,0.73%
5/9/2018,"7,841,439",11.68%,0.71%
6/9/2018,"7,456,183",10.89%,0.71%
7/9/2018,"6,960,619",11.64%,0.73%
8/9/2018,"6,517,722",12.42%,0.69%
9/9/2018,"8,283,434",9.93%,0.91%
10/9/2018,"8,047,335",9.97%,0.88%
11/9/2018,"7,630,119",11.06%,0.84%
12/9/2018,"7,862,190",12.47%,0.72%
13/9/2018,"7,526,288",11.36%,0.72%
14/9/2018,"6,595,618",12.47%,0.72%
15/9/2018,"6,470,954",10.99%,0.71%
16/9/2018,"8,384,182",10.65%,0.91%
17/9/2018,"9,579,817",9.85%,5.82%
18/9/2018,"9,008,039",9.67%,5.86%
19/9/2018,"9,419,465",8.68%,6.08%
20/9/2018,"6,571,965",11.59%,0.67%
21/9/2018,"6,279,206",12.45%,0.65%
22/9/2018,"6,712,996",10.58%,0.58%
23/9/2018,"10,382,323",12.33%,0.77%
24/9/2018,"9,492,332",10.06%,0.73%
25/9/2018,"9,693,629",10.48%,0.64%
26/9/2018,"9,363,958",11.49%,0.58%
27/9/2018,"7,917,453",10.66%,0.63%
28/9/2018,"6,787,801",11.08%,0.76%
29/9/2018,"7,164,543",11.75%,0.88%
30/9/2018,"9,534,457",11.04%,1.16%
1/10/2018,"9,193,182",9.31%,0.77%
2/10/2018,"8,439,861",9.46%,0.65%
3/10/2018,"9,475,520",10.36%,0.65%
4/10/2018,"7,645,116",9.25%,0.57%
5/10/2018,"6,514,270",10.75%,0.63%
6/10/2018,"6,752,664",10.74%,0.50%
7/10/2018,"10,287,071",13.72%,0.89%
8/10/2018,"8,851,582",13.22%,0.86%
9/10/2018,"8,639,644",14.34%,0.88%
10/10/2018,"9,310,715",16.38%,0.90%
11/10/2018,"7,939,734",16.01%,0.62%
12/10/2018,"7,004,861",17.99%,0.74%
13/10/2018,"6,598,971",16.77%,0.74%
14/10/2018,"9,383,330",18.39%,0.80%
15/10/2018,"8,703,573",17.61%,0.79%
16/10/2018,"9,139,126",18.85%,0.71%
17/10/2018,"8,878,548",17.57%,0.58%
18/10/2018,"8,575,747",17.32%,0.58%
19/10/2018,"8,008,263",18.66%,0.61%
20/10/2018,"8,678,830",17.61%,0.60%
21/10/2018,"9,874,397",13.20%,0.65%
22/10/2018,"9,375,559",12.78%,0.60%
23/10/2018,"9,451,719",11.40%,0.58%
24/10/2018,"9,323,433",11.41%,0.54%
25/10/2018,"8,095,689",11.41%,0.55%
26/10/2018,"8,733,179",27.92%,0.72%
27/10/2018,"8,414,146",18.29%,0.48%
28/10/2018,"12,330,068",11.16%,0.58%
29/10/2018,"9,833,084",11.87%,0.61%
30/10/2018,"11,157,049",14.25%,4.16%
31/10/2018,"10,209,544",15.57%,4.47%
1/11/2018,"8,802,364",12.73%,0.53%
2/11/2018,"7,598,568",14.46%,0.47%
3/11/2018,"7,740,097",13.88%,0.45%
4/11/2018,"10,602,097",13.62%,0.55%
5/11/2018,"8,870,897",12.81%,0.58%
6/11/2018,"8,580,684",12.51%,0.56%
7/11/2018,"9,094,478",14.35%,0.49%
8/11/2018,"8,165,153",13.78%,0.48%
9/11/2018,"7,114,316",14.73%,0.47%
10/11/2018,"7,476,237",13.62%,0.44%
11/11/2018,"9,945,862",13.56%,0.51%
12/11/2018,"8,535,688",12.14%,0.54%
13/11/2018,"9,055,436",12.70%,0.49%
14/11/2018,"9,110,600",13.09%,0.44%
15/11/2018,"8,406,671",12.98%,0.45%
16/11/2018,"6,905,732",11.97%,0.44%
17/11/2018,"7,710,108",14.97%,0.44%
18/11/2018,"19,236,497",25.19%,0.63%
19/11/2018,"13,672,100",21.19%,0.59%
20/11/2018,"11,656,443",18.58%,0.63%
21/11/2018,"15,648,325",22.55%,0.65%
22/11/2018,"16,064,367",24.08%,0.63%
23/11/2018,"43,322,462",26.90%,0.60%
24/11/2018,"7,355,426",14.69%,0.51%
25/11/2018,"8,076,770",11.24%,0.53%
26/11/2018,"7,579,144",14.07%,0.79%
27/11/2018,"7,160,000",9.58%,0.79%
28/11/2018,"8,326,380",9.90%,0.82%
29/11/2018,"8,009,811",11.58%,0.94%
30/11/2018,"7,440,062",13.94%,0.95%
1/12/2018,"7,210,144",14.46%,0.59%
2/12/2018,"10,037,021",13.47%,0.58%
3/12/2018,"9,247,995",13.77%,0.54%
4/12/2018,"9,188,212",13.05%,0.51%
5/12/2018,"9,315,597",12.62%,0.49%
6/12/2018,"9,130,390",13.55%,0.51%
7/12/2018,"8,178,017",14.79%,0.48%
8/12/2018,"8,720,689",15.63%,0.43%
9/12/2018,"12,305,119",16.43%,0.42%
10/12/2018,"11,161,010",15.85%,0.43%
11/12/2018,"11,067,212",16.07%,0.45%
12/12/2018,"11,109,197",16.30%,0.46%
13/12/2018,"12,123,543",17.88%,4.02%
14/12/2018,"10,735,321",18.19%,4.04%
15/12/2018,"11,150,924",18.14%,4.63%
16/12/2018,"11,686,441",15.93%,0.53%
17/12/2018,"10,535,581",14.38%,0.54%
18/12/2018,"9,391,066",15.56%,0.53%
19/12/2018,"7,303,107",14.50%,0.50%
20/12/2018,"7,057,056",19.61%,0.63%
21/12/2018,"6,104,204",22.48%,0.60%
22/12/2018,"5,022,648",22.38%,0.54%
23/12/2018,"5,242,684",23.89%,0.69%
24/12/2018,"3,937,352",24.60%,0.70%
25/12/2018,"5,193,312",22.82%,0.53%
26/12/2018,"6,879,416",23.99%,0.65%
27/12/2018,"7,621,809",21.46%,0.62%
28/12/2018,"7,579,481",22.70%,0.63%
29/12/2018,"6,731,238",23.47%,0.61%
30/12/2018,"6,378,796",22.87%,0.90%
31/12/2018,"3,820,099",22.24%,1.44%
1/1/2019,"4,856,951",22.05%,0.70%
2/1/2019,"8,174,124",19.90%,0.63%
3/1/2019,"8,857,483",22.20%,0.61%
4/1/2019,"8,490,935",24.81%,0.63%
5/1/2019,"8,267,303",23.00%,0.54%
6/1/2019,"9,487,286",25.01%,0.69%
7/1/2019,"7,925,868",23.49%,0.65%
8/1/2019,"8,725,633",23.82%,0.62%
9/1/2019,"9,025,294",23.00%,0.63%
10/1/2019,"8,048,216",23.03%,0.60%
11/1/2019,"7,069,142",24.27%,0.62%
12/1/2019,"7,260,437",24.03%,0.55%
13/1/2019,"9,052,711",22.96%,0.70%
14/1/2019,"7,600,004",22.48%,0.71%
15/1/2019,"7,516,222",22.33%,0.65%
16/1/2019,"7,786,886",23.92%,0.58%
17/1/2019,"7,313,409",23.07%,0.58%
18/1/2019,"6,498,805",24.00%,0.58%
19/1/2019,"6,320,154",22.62%,0.56%
20/1/2019,"9,463,178",27.26%,0.74%
21/1/2019,"8,062,936",25.60%,0.70%
22/1/2019,"7,777,008",25.25%,0.69%
23/1/2019,"8,246,301",25.74%,0.56%
24/1/2019,"7,539,495",25.68%,0.56%
25/1/2019,"6,484,550",24.80%,0.57%
26/1/2019,"6,631,237",23.61%,0.53%
27/1/2019,"9,006,813",22.83%,1.63%
28/1/2019,"7,991,038",23.74%,1.70%
29/1/2019,"8,391,159",24.46%,1.86%
30/1/2019,"8,321,424",32.54%,0.64%
31/1/2019,"7,054,069",25.86%,0.64%
1/2/2019,"6,043,692",23.25%,0.51%
2/2/2019,"6,819,535",23.59%,0.46%
3/2/2019,"11,658,576",26.61%,8.09%
4/2/2019,"8,368,641",25.31%,7.42%
5/2/2019,"9,996,729",25.50%,7.85%
6/2/2019,"6,983,281",26.84%,0.55%
7/2/2019,"6,672,720",22.30%,0.54%
8/2/2019,"5,899,236",19.90%,0.51%
9/2/2019,"6,347,221",18.23%,0.45%
10/2/2019,"7,963,157",14.90%,0.62%
11/2/2019,"6,996,242",15.65%,0.62%
12/2/2019,"7,122,741",16.95%,0.55%
13/2/2019,"7,307,746",23.01%,0.55%
14/2/2019,"6,094,500",18.15%,0.52%
15/2/2019,"5,792,363",15.58%,0.54%
16/2/2019,"5,836,749",13.32%,0.50%
17/2/2019,"7,858,126",10.88%,0.61%
18/2/2019,"7,337,839",11.54%,0.57%
19/2/2019,"7,657,600",11.47%,0.51%
20/2/2019,"8,784,946",22.92%,0.57%
21/2/2019,"7,438,811",16.78%,0.53%
22/2/2019,"6,563,702",14.15%,0.50%
23/2/2019,"6,691,814",12.83%,0.47%
24/2/2019,"8,735,450",11.43%,0.61%
25/2/2019,"7,771,403",11.25%,0.61%
26/2/2019,"8,118,824",12.45%,0.59%
27/2/2019,"8,445,541",13.57%,0.49%
28/2/2019,"7,697,566",12.58%,0.52%
1/3/2019,"6,860,638",12.26%,0.47%
2/3/2019,"7,299,570",12.36%,0.45%
3/3/2019,"9,086,877",10.69%,0.59%
4/3/2019,"8,407,092",11.57%,0.61%
5/3/2019,"8,028,531",11.02%,0.57%
6/3/2019,"8,631,890",12.13%,0.49%
7/3/2019,"8,322,759",12.44%,0.46%
8/3/2019,"7,092,124",11.73%,0.47%
9/3/2019,"7,902,854",11.21%,0.42%
10/3/2019,"10,330,575",10.55%,0.60%
11/3/2019,"8,447,809",12.07%,0.69%
12/3/2019,"8,060,750",10.72%,0.60%
13/3/2019,"8,522,003",11.47%,0.49%
14/3/2019,"8,841,560",12.62%,0.50%
15/3/2019,"7,308,298",13.11%,0.50%
16/3/2019,"7,604,784",13.29%,0.48%
17/3/2019,"10,117,375",11.53%,0.60%
18/3/2019,"8,531,857",12.46%,0.58%
19/3/2019,"8,692,324",12.49%,0.56%
20/3/2019,"9,862,487",15.04%,0.53%
21/3/2019,"8,625,492",14.77%,0.50%
22/3/2019,"7,786,792",15.18%,0.53%
23/3/2019,"7,907,747",14.03%,0.57%
24/3/2019,"15,647,046",18.61%,4.92%
25/3/2019,"12,501,617",18.80%,4.48%
26/3/2019,"12,863,638",18.88%,4.78%
27/3/2019,"10,213,181",16.43%,0.61%
28/3/2019,"9,415,417",20.19%,0.61%
29/3/2019,"8,031,734",17.24%,0.70%
30/3/2019,"7,920,614",15.22%,0.59%
31/3/2019,"11,349,142",15.53%,0.80%
1/4/2019,"10,500,089",15.33%,0.60%
2/4/2019,"10,630,536",16.79%,0.56%
3/4/2019,"10,606,028",17.60%,0.52%
4/4/2019,"10,211,386",18.62%,0.52%
5/4/2019,"8,627,591",18.03%,0.49%
6/4/2019,"8,623,723",17.10%,0.45%
7/4/2019,"11,720,757",16.65%,0.58%
8/4/2019,"10,495,911",15.88%,0.66%
9/4/2019,"12,183,043",17.49%,2.79%
10/4/2019,"9,180,564",14.81%,0.48%
11/4/2019,"8,387,461",13.29%,0.49%
12/4/2019,"7,409,969",14.10%,0.48%
13/4/2019,"7,818,034",14.77%,0.42%
14/4/2019,"10,499,467",12.40%,0.54%
15/4/2019,"8,520,117",12.95%,0.55%
16/4/2019,"8,120,247",12.34%,0.52%
17/4/2019,"7,415,052",11.38%,0.47%
18/4/2019,"6,283,315",11.06%,0.46%
19/4/2019,"6,701,691",12.67%,0.42%
20/4/2019,"6,083,269",12.28%,0.44%
21/4/2019,"6,502,393",10.85%,0.78%
22/4/2019,"8,851,197",9.15%,0.79%
23/4/2019,"9,181,743",8.56%,0.47%
24/4/2019,"9,649,986",9.92%,0.43%
25/4/2019,"9,061,825",10.03%,0.42%
26/4/2019,"8,368,558",11.44%,0.41%
27/4/2019,"8,413,452",10.60%,0.40%
28/4/2019,"10,441,828",10.82%,0.52%
29/4/2019,"8,625,136",11.66%,0.54%
30/4/2019,"7,789,218",13.55%,0.53%
1/5/2019,"8,751,130",13.25%,0.45%
2/5/2019,"8,327,155",12.96%,0.47%
3/5/2019,"8,432,771",23.62%,0.58%
4/5/2019,"8,773,322",15.46%,0.60%
5/5/2019,"10,564,157",12.75%,0.66%
6/5/2019,"8,974,423",11.22%,0.54%
7/5/2019,"9,026,923",12.11%,0.45%
8/5/2019,"9,532,726",14.14%,0.42%
9/5/2019,"8,691,148",11.94%,0.44%
10/5/2019,"7,681,298",13.53%,0.44%
11/5/2019,"8,645,802",13.21%,0.72%
12/5/2019,"10,642,018",12.22%,0.87%
13/5/2019,"9,269,270",12.01%,0.55%
14/5/2019,"9,235,811",12.55%,0.49%
15/5/2019,"9,674,692",13.40%,0.44%
16/5/2019,"9,746,867",15.18%,0.45%
17/5/2019,"7,812,157",15.26%,0.44%
18/5/2019,"8,303,684",15.92%,0.41%
19/5/2019,"10,919,144",14.70%,0.51%
20/5/2019,"10,018,022",14.42%,0.50%
21/5/2019,"10,075,549",14.53%,0.50%
22/5/2019,"9,779,749",15.19%,0.46%
23/5/2019,"9,024,315",15.13%,0.45%
24/5/2019,"8,386,504",15.51%,0.43%
25/5/2019,"8,489,108",14.91%,0.42%
26/5/2019,"10,764,851",14.90%,0.64%
27/5/2019,"10,151,734",14.62%,0.65%
28/5/2019,"9,331,294",13.85%,0.59%
29/5/2019,"8,223,913",14.60%,0.47%
30/5/2019,"9,006,153",15.27%,0.51%
31/5/2019,"8,230,518",14.15%,0.53%
1/6/2019,"8,192,826",14.04%,0.77%
2/6/2019,"11,780,474",12.24%,0.67%
3/6/2019,"11,732,536",11.96%,0.55%
4/6/2019,"11,391,410",12.76%,0.48%
5/6/2019,"10,925,495",12.90%,0.44%
6/6/2019,"9,610,712",13.93%,0.46%
7/6/2019,"7,538,141",13.21%,0.44%
8/6/2019,"7,115,685",13.59%,0.40%
9/6/2019,"8,816,841",16.04%,0.55%
10/6/2019,"10,737,794",14.97%,0.62%
11/6/2019,"8,660,661",14.04%,0.51%
12/6/2019,"8,912,505",14.95%,0.45%
13/6/2019,"8,216,043",14.54%,0.44%
14/6/2019,"7,251,377",15.17%,0.43%
15/6/2019,"7,457,473",16.80%,0.40%
16/6/2019,"14,280,396",20.78%,5.21%
17/6/2019,"12,633,583",21.43%,4.95%
18/6/2019,"11,510,969",20.76%,4.77%
19/6/2019,"8,515,110",20.25%,0.57%
20/6/2019,"8,909,811",20.33%,0.48%
21/6/2019,"7,722,435",18.76%,0.45%
22/6/2019,"8,579,168",21.59%,0.49%
23/6/2019,"10,359,877",20.13%,0.54%
24/6/2019,"11,367,415",21.42%,0.52%
25/6/2019,"10,527,014",20.92%,0.48%
26/6/2019,"9,941,434",20.99%,0.41%
27/6/2019,"8,903,759",20.01%,0.65%
28/6/2019,"7,666,447",22.07%,0.73%
29/6/2019,"7,342,412",22.07%,0.72%
30/6/2019,"10,749,819",25.47%,0.72%
1/7/2019,"9,484,576",23.47%,0.53%
2/7/2019,"9,267,014",22.76%,0.41%
3/7/2019,"8,997,740",23.87%,0.40%
4/7/2019,"8,131,500",23.87%,0.42%
5/7/2019,"7,153,429",23.93%,0.39%
6/7/2019,"7,135,758",24.28%,0.39%
7/7/2019,"9,263,979",23.84%,0.41%
8/7/2019,"8,812,812",23.00%,0.40%
9/7/2019,"8,085,462",22.93%,0.36%
10/7/2019,"8,285,003",24.33%,0.38%
11/7/2019,"7,780,385",24.20%,0.37%
12/7/2019,"6,718,150",24.87%,0.37%
13/7/2019,"6,605,786",23.84%,0.35%
14/7/2019,"9,126,022",26.87%,1.40%
15/7/2019,"8,648,209",25.04%,1.45%
16/7/2019,"8,167,133",25.07%,1.75%
17/7/2019,"7,307,006",23.25%,0.39%
18/7/2019,"6,774,004",22.88%,0.37%
19/7/2019,"5,996,774",23.95%,0.39%
20/7/2019,"5,857,688",23.13%,0.38%
21/7/2019,"9,711,906",25.83%,6.84%
22/7/2019,"9,406,814",23.17%,6.33%
23/7/2019,"9,382,745",23.43%,6.86%
24/7/2019,"6,643,760",18.87%,0.53%
25/7/2019,"6,378,231",20.48%,0.38%
26/7/2019,"5,810,560",21.96%,0.38%
27/7/2019,"5,952,988",21.98%,0.36%
28/7/2019,"7,509,167",18.55%,0.42%
29/7/2019,"6,976,801",18.67%,0.42%
30/7/2019,"6,767,027",18.74%,0.39%
31/7/2019,"7,244,724",20.41%,0.44%
1/8/2019,"6,380,867",19.74%,0.40%
2/8/2019,"6,274,951",20.81%,0.38%
3/8/2019,"6,169,170",20.64%,0.36%
4/8/2019,"6,950,060",16.84%,0.43%
