Date,Cumulative_Confirmed_Positive,Cumulative_Recovery,Cumulative_Deaths,Daily_Confirmed_Cases,Daily_Recovery,Daily_Deaths,Doubling
4/29/2020,63,6,7,1,0,0,0
4/30/2020,65,6,7,2,0,0,0
5/1/2020,66,9,7,1,3,0,0
5/2/2020,68,19,7,1,10,0,0
5/3/2020,68,19,7,0,0,0,0
5/4/2020,68,19,7,0,0,0,0
5/5/2020,72,20,7,4,1,0,1
5/6/2020,72,20,7,0,0,0,0
5/7/2020,72,21,7,0,1,0,0
5/8/2020,72,22,7,0,1,0,0
5/9/2020,72,33,7,0,11,0,0
5/10/2020,73,38,7,1,5,0,0
5/11/2020,73,40,7,0,2,0,0
5/12/2020,73,43,7,0,3,0,0
5/13/2020,73,46,7,0,3,0,0
5/14/2020,77,50,8,4,4,1,0
5/15/2020,78,50,8,1,0,0,0
5/16/2020,81,53,8,3,3,0,0
5/17/2020,81,53,8,0,0,0,0
5/18/2020,81,54,8,0,1,0,0
5/19/2020,81,54,8,0,0,0,0
5/20/2020,81,58,8,0,4,0,0
5/21/2020,83,62,8,0,4,0,0
5/22/2020,83,63,8,0,1,0,0
5/23/2020,84,66,8,1,3,0,0
5/24/2020,85,66,8,1,0,0,0
5/25/2020,85,66,8,0,0,0,0
5/26/2020,88,66,8,3,0,0,0
5/27/2020,89,68,8,1,2,0,0
5/28/2020,97,69,8,8,1,0,0
5/29/2020,97,69,8,0,0,0,0
5/30/2020,98,73,8,1,4,0,0
5/31/2020,98,73,8,0,0,0,0
6/1/2020,98,73,8,0,0,0,0
6/2/2020,103,73,8,5,0,0,0
6/3/2020,104,73,8,1,0,0,0
6/4/2020,104,74,8,0,1,0,0
6/5/2020,107,74,9,3,0,0,0
6/6/2020,108,77,9,1,3,0,0
6/7/2020,108,77,9,0,0,0,0
6/8/2020,113,77,9,5,0,0,0
6/9/2020,127,77,9,14,0,0,0
6/10/2020,128,77,9,1,9,0,0
6/11/2020,128,86,9,0,0,0,0
6/12/2020,129,91,9,1,5,0,0
6/13/2020,129,92,9,0,1,0,0
6/14/2020,134,93,9,5,1,0,0
6/15/2020,134,93,9,0,0,0,0
6/16/2020,138,99,10,4,6,1,0
6/17/2020,139,99,10,1,0,0,0
6/18/2020,141,106,10,2,7,0,0
6/19/2020,144,107,10,3,1,0,1
6/20/2020,146,107,10,2,0,0,0
6/21/2020,146,107,10,0,0,0,0
6/22/2020,146,107,10,0,0,0,0
6/23/2020,147,109,10,1,2,0,0
6/24/2020,149,120,10,2,11,0,0
6/25/2020,151,120,10,2,0,0,0
6/26/2020,155,121,11,4,1,1,0
6/27/2020,155,121,11,0,0,0,0
6/28/2020,155,122,11,0,1,0,0
6/29/2020,155,127,11,0,5,0,0
6/30/2020,160,127,11,5,0,0,0
7/1/2020,161,129,11,1,2,0,0
7/2/2020,163,130,11,2,1,0,0
7/3/2020,169,131,11,6,1,0,0
7/4/2020,175,131,11,6,0,0,0
7/5/2020,183,133,11,8,2,0,0
7/6/2020,183,134,11,0,1,0,0
7/7/2020,184,136,11,1,2,0,0
7/8/2020,184,140,11,0,4,0,0
7/9/2020,192,142,12,8,2,1,0
7/10/2020,193,142,12,1,0,0,0
7/11/2020,197,146,12,4,4,0,0
7/12/2020,199,146,12,2,0,0,0
7/13/2020,201,158,12,2,12,0,0
7/14/2020,204,161,12,3,3,0,0
7/15/2020,213,165,13,9,4,1,0
7/16/2020,218,167,13,5,2,0,0
7/17/2020,228,168,13,10,1,0,0
7/18/2020,235,177,13,7,9,0,0
7/19/2020,237,179,13,2,2,0,0
7/20/2020,243,182,13,6,3,0,0
7/21/2020,249,183,13,6,1,0,0
7/22/2020,256,185,14,7,2,1,0
7/23/2020,262,189,14,6,4,0,0
7/24/2020,264,189,15,2,0,1,0
7/25/2020,273,189,15,9,0,0,0
7/26/2020,286,196,15,13,7,0,0
7/27/2020,288,196,15,2,0,0,1
7/28/2020,300,199,15,12,3,0,0
7/29/2020,316,200,15,16,1,0,0
7/30/2020,343,202,15,27,2,0,0
