Date,Total Individuals in Shelter,Easter,Thanksgiving,Christmas,Temperature
4/5/2015,399851,1,0,0,9.235714286
4/12/2015,399614,0,0,0,9.672857143
4/19/2015,399217,0,0,0,13.11714286
4/26/2015,398211,0,0,0,11.42
5/3/2015,397039,0,0,0,13.85142857
5/10/2015,396767,0,0,0,17.81142857
5/17/2015,396956,0,0,0,18.86142857
5/24/2015,397044,0,0,0,17.42428571
5/31/2015,395578,0,0,0,20.94857143
6/7/2015,395155,0,0,0,16.51
6/14/2015,394107,0,0,0,22.65714286
6/21/2015,393179,0,0,0,23.21285714
6/28/2015,392418,0,0,0,24.03714286
7/5/2015,390738,0,0,0,23.64857143
7/12/2015,390956,0,0,0,25.77857143
7/19/2015,392436,0,0,0,25.19857143
7/26/2015,392105,0,0,0,27.22428571
8/2/2015,392536,0,0,0,28.15571429
8/9/2015,393198,0,0,0,26.97142857
8/16/2015,395540,0,0,0,26.80571429
8/23/2015,396200,0,0,0,27.31285714
8/30/2015,396685,0,0,0,26.77285714
9/6/2015,397010,0,0,0,27.02
9/13/2015,399099,0,0,0,26.42428571
9/20/2015,400194,0,0,0,25.45714286
9/27/2015,400331,0,0,0,21.61428571
10/4/2015,400777,0,0,0,18.88
10/11/2015,400505,0,0,0,19.05142857
10/18/2015,401497,0,0,0,16.65428571
10/25/2015,402021,0,0,0,16.63142857
11/1/2015,402340,0,0,0,15.71714286
11/8/2015,402229,0,0,0,17.24714286
11/15/2015,404234,0,0,0,13.68571429
11/22/2015,405157,0,0,0,13.91714286
11/29/2015,405664,0,1,0,10.70714286
12/6/2015,404411,0,0,0,10.73285714
12/13/2015,405652,0,0,0,12.53857143
12/20/2015,405713,0,0,0,10.84
12/27/2015,404725,0,0,1,14.19285714
1/3/2016,404081,0,0,0,8.46
1/10/2016,406170,0,0,0,5.738571429
1/17/2016,407524,0,0,0,4.651428571
1/24/2016,407944,0,0,0,0.744285714
1/31/2016,407616,0,0,0,4.844285714
2/7/2016,406906,0,0,0,7.357142857
2/14/2016,407304,0,0,0,-1.105714286
2/21/2016,407695,0,0,0,6.664285714
2/28/2016,407271,0,0,0,7.727142857
3/6/2016,406039,0,0,0,5.674285714
3/13/2016,404875,0,0,0,12.04285714
3/20/2016,404632,0,0,0,8.55
3/27/2016,404612,1,0,0,10.09714286
4/3/2016,404007,0,0,0,11.08714286
4/10/2016,404941,0,0,0,8.224285714
4/17/2016,405242,0,0,0,12.24714286
4/24/2016,404610,0,0,0,15.89571429
5/1/2016,405261,0,0,0,12.77571429
5/8/2016,406088,0,0,0,12.25142857
5/15/2016,405074,0,0,0,15.37285714
5/22/2016,405941,0,0,0,16.08142857
5/29/2016,404117,0,0,0,20.98285714
6/5/2016,403759,0,0,0,21.01142857
6/12/2016,404737,0,0,0,21.75857143
6/19/2016,405250,0,0,0,21.88714286
6/26/2016,404213,0,0,0,24.13428571
7/3/2016,403417,0,0,0,24.16
7/10/2016,404373,0,0,0,25.97
7/17/2016,406855,0,0,0,26.89714286
7/24/2016,408391,0,0,0,28.48285714
7/31/2016,408723,0,0,0,27.77142857
8/7/2016,410185,0,0,0,25.39714286
8/14/2016,413010,0,0,0,28.22428571
8/21/2016,413871,0,0,0,27.95
8/28/2016,415079,0,0,0,26.88714286
9/4/2016,415512,0,0,0,25.85428571
9/11/2016,415389,0,0,0,26.93285714
9/18/2016,417208,0,0,0,23.83857143
9/25/2016,418404,0,0,0,23.97857143
10/2/2016,418964,0,0,0,19.44571429
10/9/2016,418807,0,0,0,19.75285714
10/16/2016,419656,0,0,0,17.68714286
10/23/2016,419624,0,0,0,20.98142857
10/30/2016,420912,0,0,0,15.12857143
11/6/2016,421942,0,0,0,15.52142857
11/13/2016,423756,0,0,0,13.61
11/20/2016,423988,0,0,0,13.38428571
11/27/2016,423603,0,1,0,9.007142857
12/4/2016,424023,0,0,0,11.16857143
12/11/2016,424042,0,0,0,6.181428571
12/18/2016,423844,0,0,0,5.5
12/25/2016,421814,0,0,1,4.711428571
1/1/2017,420031,0,0,0,7.49
1/8/2017,420824,0,0,0,2.905714286
1/15/2017,421747,0,0,0,5.365714286
1/22/2017,421694,0,0,0,6.545714286
1/29/2017,421991,0,0,0,5.73
2/5/2017,421430,0,0,0,3.302857143
2/12/2017,421403,0,0,0,5.467142857
2/19/2017,420458,0,0,0,5.397142857
2/26/2017,419689,0,0,0,9.374285714
3/5/2017,418783,0,0,0,6.941428571
3/12/2017,418089,0,0,0,5.458571429
3/19/2017,417940,0,0,0,2.7
3/26/2017,415375,0,0,0,7.458571429
4/2/2017,413701,0,0,0,8.842857143
4/9/2017,412257,0,0,0,11.13857143
4/16/2017,411752,1,0,0,14.69
4/23/2017,412297,0,0,0,12.62571429
4/30/2017,412720,0,0,0,15.25142857
5/7/2017,410794,0,0,0,14.81571429
5/14/2017,411005,0,0,0,13.27571429
5/21/2017,410746,0,0,0,18.96571429
5/28/2017,410162,0,0,0,17.34571429
6/4/2017,408599,0,0,0,17.96428571
6/11/2017,408385,0,0,0,19.46571429
6/18/2017,407579,0,0,0,22.61285714
6/25/2017,407892,0,0,0,23.98428571
7/2/2017,407798,0,0,0,23.24285714
7/9/2017,406886,0,0,0,24.37857143
7/16/2017,408331,0,0,0,25.85857143
7/23/2017,409258,0,0,0,27.18285714
7/30/2017,409733,0,0,0,23.19142857
8/6/2017,409761,0,0,0,25.57571429
8/13/2017,411443,0,0,0,24.36714286
8/20/2017,412648,0,0,0,25.56285714
8/27/2017,413483,0,0,0,25.03285714
9/3/2017,415699,0,0,0,22.01285714
9/10/2017,416798,0,0,0,22.32714286
9/17/2017,418899,0,0,0,23.78142857
9/24/2017,420248,0,0,0,24.61
10/1/2017,420222,0,0,0,22.11428571
10/8/2017,420403,0,0,0,22.08857143
10/15/2017,421809,0,0,0,21.42428571
10/22/2017,423294,0,0,0,19.62714286
10/29/2017,422356,0,0,0,18.67428571
11/5/2017,420683,0,0,0,16.43857143
11/12/2017,421592,0,0,0,10.69142857
11/19/2017,422115,0,0,0,11.38428571
11/26/2017,421815,0,1,0,10.05571429
12/3/2017,421826,0,0,0,10.82714286
12/10/2017,422884,0,0,0,8.241428571
12/17/2017,423603,0,0,0,3.58
12/24/2017,422271,0,0,0,7.857142857
12/31/2017,420626,0,0,1,-1.812857143
1/7/2018,420069,0,0,0,-4.318571429
1/14/2018,421399,0,0,0,4.408571429
1/21/2018,423882,0,0,0,3.541428571
1/28/2018,425520,0,0,0,5.767142857
2/4/2018,426862,0,0,0,2.925714286
2/11/2018,426507,0,0,0,4.712857143
2/18/2018,424684,0,0,0,6.504285714
2/25/2018,423394,0,0,0,9.012857143
3/4/2018,422824,0,0,0,7.542857143
3/11/2018,422860,0,0,0,4.225714286
3/18/2018,422523,0,0,0,4.652857143
3/25/2018,422094,0,0,0,5.222857143
4/1/2018,419555,1,0,0,8.097142857
4/8/2018,418653,0,0,0,7.227142857
4/15/2018,418801,0,0,0,9.862857143
4/22/2018,417935,0,0,0,10.19285714
4/29/2018,417244,0,0,0,12.46714286
5/6/2018,415550,0,0,0,16.82428571
5/13/2018,414885,0,0,0,15.63428571
5/20/2018,415159,0,0,0,17.02428571
5/27/2018,412960,0,0,0,20.63857143
6/3/2018,411747,0,0,0,19.33428571
6/10/2018,411481,0,0,0,19.44142857
6/17/2018,411451,0,0,0,21.43
6/24/2018,411218,0,0,0,23.32571429
7/1/2018,411666,0,0,0,25.23714286
7/8/2018,412945,0,0,0,25.79142857
7/15/2018,412839,0,0,0,25.94
7/22/2018,412607,0,0,0,25.35857143
7/29/2018,412818,0,0,0,25.87714286
8/5/2018,412501,0,0,0,26.74571429
8/12/2018,414559,0,0,0,27.91714286
8/19/2018,415990,0,0,0,26.33857143
8/26/2018,417913,0,0,0,24.56714286
9/2/2018,418158,0,0,0,26.80142857
9/9/2018,418912,0,0,0,25.87428571
9/16/2018,421333,0,0,0,23.43714286
9/23/2018,423568,0,0,0,22.65571429
9/30/2018,424171,0,0,0,21.47714286
10/7/2018,424247,0,0,0,22.38857143
10/14/2018,425907,0,0,0,20.44
10/21/2018,426485,0,0,0,15.72142857
10/28/2018,426351,0,0,0,12.95571429
11/4/2018,425791,0,0,0,15.51571429
11/11/2018,426652,0,0,0,12.96
11/18/2018,427596,0,0,0,8.74
11/25/2018,426587,0,1,0,7.057142857
12/2/2018,426032,0,0,0,8.597142857
12/9/2018,426837,0,0,0,4.747142857
12/16/2018,427210,0,0,0,6.042857143
12/23/2018,426061,0,0,0,7.487142857
12/30/2018,423687,0,0,1,6.442857143
1/6/2019,424752,0,0,0,7.512857143
1/13/2019,428299,0,0,0,2.478571429
1/20/2019,428607,0,0,0,3.148571429
1/27/2019,428455,0,0,0,2.712857143
2/3/2019,427876,0,0,0,0.092857143
2/10/2019,427002,0,0,0,5.521428571
2/17/2019,426113,0,0,0,4.482857143
2/24/2019,424769,0,0,0,4.29
3/3/2019,423753,0,0,0,2.29
3/10/2019,423513,0,0,0,1.69
3/17/2019,422668,0,0,0,7.08
3/24/2019,421523,0,0,0,7.18
3/31/2019,420344,0,0,0,8.47
4/7/2019,419229,0,0,0,9.775714286
4/14/2019,412341,0,0,0,12.83
4/21/2019,410565,1,0,0,13.74
4/28/2019,410586,0,0,0,13.92
5/5/2019,409830,0,0,0,13.44
5/12/2019,409989,0,0,0,15.20428571
5/19/2019,409156,0,0,0,15.60857143
5/26/2019,406902,0,0,0,19.51285714
6/2/2019,405619,0,0,0,20.97571429
6/9/2019,406066,0,0,0,20.80857143
6/16/2019,406501,0,0,0,20.19142857
6/23/2019,406922,0,0,0,22.37571429
6/30/2019,406151,0,0,0,25.91
7/7/2019,405651,0,0,0,25.95428571
7/14/2019,407548,0,0,0,26.28285714
7/21/2019,406744,0,0,0,28.19285714
7/28/2019,407516,0,0,0,26.36142857
8/4/2019,408805,0,0,0,27.63714286
8/11/2019,410556,0,0,0,25.96
8/18/2019,412791,0,0,0,25.59285714
8/25/2019,412748,0,0,0,25.76714286
9/1/2019,412882,0,0,0,23.82142857
9/8/2019,414699,0,0,0,23.59571429
9/15/2019,417266,0,0,0,24.12857143
9/22/2019,417529,0,0,0,23.03714286
9/29/2019,417989,0,0,0,24.19857143
10/6/2019,418222,0,0,0,21.09571429
10/13/2019,419611,0,0,0,18.76428571
10/20/2019,420265,0,0,0,17.10285714
10/27/2019,420670,0,0,0,17.65
11/3/2019,419924,0,0,0,16.15
11/10/2019,420624,0,0,0,11.30571429
11/17/2019,422933,0,0,0,8.835714286
11/24/2019,422045,0,0,0,9.368571429
12/1/2019,419943,0,1,0,9.344285714
12/8/2019,419822,0,0,0,5.342857143
12/15/2019,419829,0,0,0,9.014285714
12/22/2019,419591,0,0,0,2.615714286
12/29/2019,416756,0,0,1,7.712857143
1/5/2020,415168,0,0,0,7.147142857
1/12/2020,417624,0,0,0,7.948571429
1/19/2020,419163,0,0,0,6.12
1/26/2020,418795,0,0,0,4.511428571
2/2/2020,417311,0,0,0,4.778571429
2/9/2020,412854,0,0,0,7.878571429
2/16/2020,412054,0,0,0,5.237142857
2/23/2020,411367,0,0,0,5.607142857
3/1/2020,409807,0,0,0,6.142857143
3/8/2020,407772,0,0,0,8.718571429
3/15/2020,406481,0,0,0,11.14285714
3/22/2020,404677,0,0,0,9.217142857
3/29/2020,405801,0,0,0,9.268571429
4/5/2020,406131,0,0,0,9.728571429
4/12/2020,405035,1,0,0,12.08571429
4/19/2020,402981,0,0,0,10.65285714
4/26/2020,400758,0,0,0,9.917142857
5/3/2020,398128,0,0,0,13.77714286
5/10/2020,397164,0,0,0,12.27
5/17/2020,396105,0,0,0,15.02142857
5/24/2020,395127,0,0,0,15.08857143
5/31/2020,394378,0,0,0,18.41714286
6/7/2020,393225,0,0,0,20.97428571
6/14/2020,392225,0,0,0,21.73857143
6/21/2020,391188,0,0,0,21.47
6/28/2020,389546,0,0,0,25.87714286
7/5/2020,388141,0,0,0,27.02571429
7/12/2020,388040,0,0,0,26.61857143
7/19/2020,386915,0,0,0,26.67571429
7/26/2020,386419,0,0,0,28.46285714
8/2/2020,384989,0,0,0,28.53571429
8/9/2020,384175,0,0,0,25.97
8/16/2020,383695,0,0,0,26.34857143
8/23/2020,383136,0,0,0,25.74714286
8/30/2020,382654,0,0,0,27.56
9/6/2020,381387,0,0,0,25.55285714
9/13/2020,381309,0,0,0,24.18571429
9/20/2020,380963,0,0,0,20.40571429
9/27/2020,379435,0,0,0,22.01
10/4/2020,378631,0,0,0,20.77571429
10/11/2020,378796,0,0,0,19.91285714
10/18/2020,379521,0,0,0,17.48714286
10/25/2020,379293,0,0,0,18.47285714
11/1/2020,378816,0,0,0,13.78857143
11/8/2020,378271,0,0,0,15.45142857
11/15/2020,377700,0,0,0,16.12285714
11/22/2020,377413,0,0,0,11.21
11/29/2020,376769,0,1,0,12.78
12/6/2020,375444,0,0,0,10.07285714
12/13/2020,375820,0,0,0,8.208571429
12/20/2020,375615,0,0,0,3.535714286
12/27/2020,374203,0,0,1,7.51
1/3/2021,212514,0,0,0,6.625
