Date,Season,Hour,Holiday,Day of the Week,Working Day,Weather Type,Temperature F,Temperature Feels F,Humidity,Wind Speed,Casual Users,Registered Users,Total Users
1/2/2011,4,4,0,0,0,2,55.6,57.2,94,13,2,1,3
1/2/2011,4,6,0,0,0,3,52.1,53.6,77,20,0,2,2
1/2/2011,4,7,0,0,0,2,50.4,51.8,76,13,0,1,1
1/2/2011,4,8,0,0,0,3,50.4,51.8,71,15,0,8,8
1/2/2011,4,9,0,0,0,2,48.7,50,76,15,1,19,20
1/2/2011,4,10,0,0,0,2,47,44.6,81,15,7,46,53
1/2/2011,4,11,0,0,0,2,47,42.8,71,17,16,54,70
1/2/2011,4,12,0,0,0,2,47,42.8,66,20,20,73,93
1/2/2011,4,13,0,0,0,2,47,44.6,66,9,11,64,75
1/2/2011,4,14,0,0,0,3,47,44.6,76,13,4,55,59
1/2/2011,4,15,0,0,0,3,45.2,42.8,81,11,19,55,74
1/2/2011,4,16,0,0,0,3,45.2,42.8,71,11,9,67,76
1/2/2011,4,17,0,0,0,1,45.2,42.8,57,13,7,58,65
1/2/2011,4,18,0,0,0,2,47,42.8,46,22,10,43,53
1/2/2011,4,19,0,0,0,1,43.5,37.4,42,30,1,29,30
1/2/2011,4,20,0,0,0,1,41.8,35.6,39,24,5,17,22
1/2/2011,4,21,0,0,0,1,38.3,30.2,44,22,11,20,31
1/2/2011,4,22,0,0,0,1,36.6,28.4,44,20,0,9,9
1/2/2011,4,23,0,0,0,1,34.9,30.2,47,11,0,8,8
1/3/2011,4,0,0,1,1,1,34.9,26.6,44,24,0,5,5
1/3/2011,4,1,0,1,1,1,33.1,23,44,28,0,2,2
1/3/2011,4,4,0,1,1,1,29.7,19.4,47,26,0,1,1
1/3/2011,4,5,0,1,1,1,29.7,19.4,47,19,0,3,3
1/3/2011,4,6,0,1,1,1,28,15.8,50,26,0,30,30
1/3/2011,4,7,0,1,1,1,28,19.4,50,13,1,63,64
1/3/2011,4,8,0,1,1,1,28,17.6,50,19,1,153,154
1/3/2011,4,9,0,1,1,1,29.7,19.4,43,26,7,81,88
1/3/2011,4,10,0,1,1,1,31.4,23,43,17,11,33,44
1/3/2011,4,11,0,1,1,1,33.1,24.8,40,22,10,41,51
1/3/2011,4,12,0,1,1,1,34.9,28.4,35,20,13,48,61
1/3/2011,4,13,0,1,1,1,36.6,28.4,35,19,8,53,61
1/3/2011,4,14,0,1,1,1,38.3,32,30,19,11,66,77
1/3/2011,4,15,0,1,1,1,38.3,32,30,17,14,58,72
1/3/2011,4,16,0,1,1,1,38.3,32,30,17,9,67,76
1/3/2011,4,17,0,1,1,1,36.6,30.2,30,15,11,146,157
1/3/2011,4,18,0,1,1,1,36.6,33.8,32,7,9,148,157
1/3/2011,4,19,0,1,1,1,33.1,33.8,47,0,8,102,110
1/3/2011,4,20,0,1,1,1,33.1,30.2,47,7,3,49,52
1/3/2011,4,21,0,1,1,1,31.4,26.6,64,9,3,49,52
1/3/2011,4,22,0,1,1,1,28,21.2,69,9,0,20,20
1/3/2011,4,23,0,1,1,1,31.4,28.4,55,7,1,11,12
1/4/2011,4,0,0,2,1,1,29.7,24.8,55,7,0,5,5
1/4/2011,4,1,0,2,1,1,29.7,24.8,59,7,0,2,2
1/4/2011,4,2,0,2,1,1,28,21.2,63,9,0,1,1
1/4/2011,4,4,0,2,1,1,28,24.8,63,6,0,2,2
1/4/2011,4,5,0,2,1,1,26.2,21.2,68,7,0,4,4
1/4/2011,4,6,0,2,1,1,26.2,21.2,74,7,0,36,36
1/4/2011,4,7,0,2,1,1,26.2,21.2,74,9,2,92,94
1/4/2011,4,8,0,2,1,1,28,21.2,69,11,2,177,179
1/4/2011,4,9,0,2,1,1,29.7,21.2,64,15,2,98,100
1/4/2011,4,10,0,2,1,2,29.7,19.4,69,22,5,37,42
1/4/2011,4,11,0,2,1,1,34.9,28.4,51,20,7,50,57
1/4/2011,4,12,0,2,1,1,34.9,30.2,51,11,12,66,78
1/4/2011,4,13,0,2,1,1,36.6,30.2,56,13,18,79,97
1/4/2011,4,14,0,2,1,1,38.3,33.8,52,15,9,54,63
1/4/2011,4,15,0,2,1,1,40,35.6,52,17,17,48,65
1/4/2011,4,16,0,2,1,1,41.8,37.4,49,17,15,68,83
1/4/2011,4,17,0,2,1,1,40,35.6,48,15,10,202,212
1/4/2011,4,18,0,2,1,1,38.3,33.8,48,13,3,179,182
1/4/2011,4,19,0,2,1,1,36.6,33.8,48,7,2,110,112
1/4/2011,4,20,0,2,1,1,36.6,33.8,48,7,1,53,54
1/4/2011,4,21,0,2,1,1,34.9,35.6,64,0,0,48,48
1/4/2011,4,22,0,2,1,1,34.9,33.8,64,6,1,34,35
1/4/2011,4,23,0,2,1,1,33.1,30.2,69,6,2,9,11
1/5/2011,4,0,0,3,1,1,33.1,33.8,64,0,0,6,6
1/5/2011,4,1,0,3,1,1,29.7,26.6,74,6,0,6,6
1/5/2011,4,2,0,3,1,1,29.7,26.6,74,6,0,2,2
1/5/2011,4,4,0,3,1,1,36.6,30.2,48,15,0,2,2
1/5/2011,4,5,0,3,1,1,34.9,30.2,47,11,0,3,3
1/5/2011,4,6,0,3,1,1,33.1,26.6,47,15,0,33,33
1/5/2011,4,7,0,3,1,1,31.4,24.8,43,13,1,87,88
1/5/2011,4,8,0,3,1,1,33.1,24.8,40,20,3,192,195
1/5/2011,4,9,0,3,1,1,34.9,26.6,37,22,6,109,115
1/5/2011,4,10,0,3,1,1,34.9,26.6,37,22,4,53,57
1/5/2011,4,11,0,3,1,1,38.3,30.2,33,22,12,34,46
1/5/2011,4,12,0,3,1,1,38.3,30.2,33,22,5,74,79
1/5/2011,4,13,0,3,1,1,40,33.8,30,20,6,65,71
1/5/2011,4,14,0,3,1,1,41.8,37.4,28,13,10,52,62
1/5/2011,4,15,0,3,1,1,41.8,37.4,28,13,7,55,62
1/5/2011,4,16,0,3,1,1,41.8,41,28,6,4,85,89
1/5/2011,4,17,0,3,1,1,36.6,30.2,38,13,4,186,190
1/5/2011,4,18,0,3,1,1,36.6,32,38,9,3,166,169
1/5/2011,4,19,0,3,1,1,36.6,33.8,38,7,5,127,132
1/5/2011,4,20,0,3,1,1,34.9,30.2,47,11,7,82,89
1/5/2011,4,21,0,3,1,1,33.1,26.6,51,13,3,40,43
1/5/2011,4,22,0,3,1,1,31.4,26.6,55,9,1,41,42
1/5/2011,4,23,0,3,1,1,33.1,33.8,47,0,1,18,19
1/6/2011,4,0,0,4,1,1,31.4,32,55,0,0,11,11
1/6/2011,4,1,0,4,1,1,29.7,30.2,64,0,0,4,4
1/6/2011,4,2,0,4,1,1,29.7,30.2,64,0,0,2,2
1/6/2011,4,4,0,4,1,2,29.7,26.6,64,6,0,1,1
1/6/2011,4,5,0,4,1,2,28,24.8,69,6,0,4,4
1/6/2011,4,6,0,4,1,2,28,23,63,7,0,36,36
1/6/2011,4,7,0,4,1,2,29.7,30.2,59,0,0,95,95
1/6/2011,4,8,0,4,1,1,29.7,30.2,59,0,3,216,219
1/6/2011,4,9,0,4,1,2,31.4,32,51,0,6,116,122
1/6/2011,4,10,0,4,1,1,33.1,33.8,47,0,3,42,45
1/6/2011,4,11,0,4,1,1,34.9,33.8,44,6,2,57,59
1/6/2011,4,12,0,4,1,1,38.3,37.4,35,0,6,78,84
1/6/2011,4,13,0,4,1,1,38.3,35.6,35,7,12,55,67
1/6/2011,4,14,0,4,1,1,40,35.6,36,11,11,59,70
1/6/2011,4,15,0,4,1,1,40,35.6,36,0,8,54,62
1/6/2011,4,16,0,4,1,1,38.3,33.8,38,11,12,74,86
1/6/2011,4,17,0,4,1,1,34.9,30.2,51,11,9,163,172
1/6/2011,4,18,0,4,1,1,34.9,30.2,51,9,5,158,163
1/6/2011,4,19,0,4,1,1,34.9,33.8,55,6,3,109,112
1/6/2011,4,20,0,4,1,1,33.1,28.4,51,11,3,66,69
1/6/2011,4,21,0,4,1,2,34.9,28.4,55,15,0,48,48
1/6/2011,4,22,0,4,1,2,34.9,28.4,51,19,1,51,52
1/6/2011,4,23,0,4,1,2,33.1,26.6,59,13,4,19,23
1/7/2011,4,0,0,5,1,2,33.1,26.6,64,13,4,13,17
1/7/2011,4,1,0,5,1,2,33.1,26.6,69,15,2,5,7
1/7/2011,4,2,0,5,1,2,33.1,26.6,69,15,0,1,1
1/7/2011,4,4,0,5,1,2,33.1,28.4,69,9,0,1,1
1/7/2011,4,5,0,5,1,3,34.9,35.6,55,0,0,5,5
1/7/2011,4,6,0,5,1,2,33.1,33.8,69,0,8,26,34
1/7/2011,4,7,0,5,1,1,33.1,28.4,69,9,8,76,84
1/7/2011,4,8,0,5,1,1,33.1,26.6,51,17,20,190,210
1/7/2011,4,9,0,5,1,1,33.1,24.8,47,20,9,125,134
1/7/2011,4,10,0,5,1,1,34.9,26.6,37,22,16,47,63
1/7/2011,4,11,0,5,1,2,33.1,26.6,40,15,19,48,67
1/7/2011,4,12,0,5,1,2,33.1,26.6,37,17,9,50,59
1/7/2011,4,13,0,5,1,2,33.1,24.8,37,19,9,64,73
1/7/2011,4,14,0,5,1,2,33.1,26.6,40,17,7,43,50
1/7/2011,4,15,0,5,1,2,33.1,28.4,37,11,9,63,72
1/7/2011,4,16,0,5,1,2,33.1,28.4,37,11,5,82,87
1/7/2011,4,17,0,5,1,2,33.1,33.8,37,0,9,178,187
1/7/2011,4,18,0,5,1,1,33.1,30.2,40,6,7,116,123
1/7/2011,4,19,0,5,1,1,29.7,26.6,55,6,3,92,95
1/7/2011,4,20,0,5,1,1,31.4,28.4,47,7,1,50,51
1/7/2011,4,21,0,5,1,1,31.4,26.6,47,9,0,39,39
1/7/2011,4,22,0,5,1,2,31.4,26.6,43,11,2,34,36
1/7/2011,4,23,0,5,1,2,31.4,26.6,51,11,1,14,15
1/8/2011,4,0,0,6,0,2,31.4,26.6,51,11,1,24,25
1/8/2011,4,1,0,6,0,2,31.4,28.4,55,6,1,15,16
1/8/2011,4,2,0,6,0,2,31.4,32,55,0,3,13,16
1/8/2011,4,3,0,6,0,3,31.4,26.6,55,11,0,7,7
1/8/2011,4,4,0,6,0,3,31.4,26.6,55,11,0,1,1
1/8/2011,4,5,0,6,0,2,29.7,23,74,11,0,5,5
1/8/2011,4,6,0,6,0,2,29.7,23,74,11,0,2,2
1/8/2011,4,7,0,6,0,2,29.7,24.8,74,7,1,8,9
1/8/2011,4,8,0,6,0,3,29.7,24.8,93,7,0,15,15
1/8/2011,4,9,0,6,0,3,29.7,24.8,93,7,0,20,20
1/8/2011,4,10,0,6,0,2,31.4,26.6,80,11,5,56,61
1/8/2011,4,11,0,6,0,2,33.1,24.8,69,26,2,60,62
1/8/2011,4,12,0,6,0,2,33.1,24.8,59,24,8,90,98
1/8/2011,4,13,0,6,0,1,33.1,24.8,44,22,7,95,102
1/8/2011,4,14,0,6,0,1,33.1,23,32,33,12,83,95
1/8/2011,4,15,0,6,0,1,33.1,23,32,30,5,69,74
1/8/2011,4,16,0,6,0,1,31.4,19.4,29,30,8,68,76
1/8/2011,4,17,0,6,0,1,29.7,17.6,37,37,5,64,69
1/8/2011,4,18,0,6,0,1,28,17.6,39,20,3,52,55
1/8/2011,4,19,0,6,0,1,28,17.6,36,17,4,26,30
1/8/2011,4,20,0,6,0,1,26.2,17.6,36,17,0,28,28
1/8/2011,4,21,0,6,0,1,26.2,15.8,39,24,2,35,37
1/8/2011,4,22,0,6,0,1,26.2,15.8,36,26,1,33,34
1/8/2011,4,23,0,6,0,1,24.5,10.4,39,30,0,22,22
1/9/2011,4,0,0,0,0,1,24.5,12.2,42,26,1,24,25
1/9/2011,4,1,0,0,0,1,24.5,10.4,42,31,0,12,12
1/9/2011,4,2,0,0,0,1,24.5,10.4,46,31,0,11,11
1/9/2011,4,3,0,0,0,1,24.5,12.2,46,28,0,4,4
1/9/2011,4,4,0,0,0,1,22.8,14,53,13,0,1,1
1/9/2011,4,5,0,0,0,1,22.8,14,53,13,0,1,1
1/9/2011,4,6,0,0,0,1,24.5,14,49,19,0,1,1
1/9/2011,4,7,0,0,0,1,22.8,14,53,13,1,5,6
1/9/2011,4,8,0,0,0,1,24.5,14,49,19,0,10,10
1/9/2011,4,9,0,0,0,1,26.2,12.2,46,35,0,19,19
1/9/2011,4,10,0,0,0,1,28,15.8,43,26,0,49,49
1/9/2011,4,11,0,0,0,1,29.7,17.6,40,35,2,47,49
1/9/2011,4,12,0,0,0,1,31.4,19.4,37,30,4,79,83
1/9/2011,4,13,0,0,0,1,33.1,23,34,30,6,69,75
1/9/2011,4,14,0,0,0,1,34.9,24.8,32,31,8,64,72
1/9/2011,4,15,0,0,0,1,34.9,26.6,35,24,5,77,82
1/9/2011,4,16,0,0,0,1,33.1,23,34,30,13,79,92
1/9/2011,4,17,0,0,0,1,31.4,21.2,37,26,3,59,62
1/9/2011,4,18,0,0,0,1,29.7,19.4,40,22,4,44,48
1/9/2011,4,19,0,0,0,1,29.7,19.4,43,22,1,40,41
1/9/2011,4,20,0,0,0,1,28,17.6,46,17,0,38,38
1/9/2011,4,21,0,0,0,1,28,15.8,46,28,1,19,20
1/9/2011,4,22,0,0,0,1,28,17.6,46,20,5,10,15
1/9/2011,4,23,0,0,0,1,26.2,19.4,50,13,0,6,6
1/10/2011,4,0,0,1,1,1,26.2,17.6,50,19,2,3,5
1/10/2011,4,1,0,1,1,1,26.2,17.6,50,19,1,0,1
1/10/2011,4,2,0,1,1,1,26.2,17.6,50,15,0,3,3
1/10/2011,4,3,0,1,1,1,26.2,17.6,50,15,0,1,1
1/10/2011,4,4,0,1,1,1,24.5,17.6,54,9,1,2,3
1/10/2011,4,5,0,1,1,1,24.5,15.8,54,17,0,3,3
1/10/2011,4,6,0,1,1,1,26.2,17.6,50,19,0,31,31
1/10/2011,4,7,0,1,1,1,26.2,17.6,50,15,2,75,77
1/10/2011,4,8,0,1,1,2,26.2,17.6,50,19,4,184,188
1/10/2011,4,9,0,1,1,2,28,17.6,50,17,2,92,94
1/10/2011,4,10,0,1,1,2,28,17.6,50,20,0,31,31
1/10/2011,4,11,0,1,1,2,29.7,19.4,47,19,2,28,30
1/10/2011,4,12,0,1,1,2,33.1,24.8,40,19,5,47,52
1/10/2011,4,13,0,1,1,2,33.1,24.8,40,19,4,50,54
1/10/2011,4,14,0,1,1,2,33.1,26.6,40,15,0,47,47
1/10/2011,4,15,0,1,1,2,33.1,26.6,40,15,2,43,45
1/10/2011,4,16,0,1,1,1,33.1,28.4,40,9,4,70,74
1/10/2011,4,17,0,1,1,1,33.1,30.2,40,7,4,174,178
1/10/2011,4,18,0,1,1,1,33.1,26.6,40,15,1,154,155
1/10/2011,4,19,0,1,1,1,29.7,23,47,11,3,92,95
1/10/2011,4,20,0,1,1,1,29.7,23,50,11,1,73,74
1/10/2011,4,21,0,1,1,1,28,19.4,59,13,1,37,38
1/10/2011,4,22,0,1,1,1,28,21.2,59,11,2,22,24
1/10/2011,4,23,0,1,1,1,28,21.2,59,11,0,18,18
1/11/2011,4,0,0,2,1,1,28,23,59,7,2,10,12
1/11/2011,4,1,0,2,1,1,28,21.2,59,11,0,3,3
1/11/2011,4,2,0,2,1,2,29.7,21.2,55,13,0,3,3
1/11/2011,4,5,0,2,1,2,29.7,24.8,55,9,0,6,6
1/11/2011,4,6,0,2,1,2,29.7,24.8,55,9,0,27,27
1/11/2011,4,7,0,2,1,2,29.7,30.2,55,0,2,97,99
1/11/2011,4,8,0,2,1,2,31.4,28.4,51,6,3,214,217
1/11/2011,4,9,0,2,1,2,31.4,26.6,51,11,3,127,130
1/11/2011,4,10,0,2,1,2,33.1,28.4,51,11,3,51,54
1/11/2011,4,11,0,2,1,2,33.1,28.4,47,9,4,31,35
1/11/2011,4,12,0,2,1,2,33.1,30.2,51,7,2,55,57
1/11/2011,4,13,0,2,1,2,33.1,30.2,59,6,6,46,52
1/11/2011,4,14,0,2,1,2,33.1,30.2,59,6,3,60,63
1/11/2011,4,15,0,2,1,2,29.7,26.6,80,6,2,45,47
1/11/2011,4,16,0,2,1,2,29.7,21.2,86,15,4,72,76
1/11/2011,4,17,0,2,1,2,29.7,21.2,86,15,6,130,136
1/11/2011,4,18,0,2,1,3,29.7,24.8,93,7,1,94,95
1/11/2011,4,19,0,2,1,3,29.7,30.2,93,0,0,51,51
1/11/2011,4,20,0,2,1,3,29.7,21.2,93,13,0,32,32
1/11/2011,4,21,0,2,1,3,29.7,26.6,86,6,0,20,20
1/11/2011,4,22,0,2,1,3,29.7,24.8,93,7,1,28,29
1/11/2011,4,23,0,2,1,3,29.7,26.6,93,6,1,18,19
1/12/2011,4,0,0,3,1,2,29.7,26.6,86,6,0,7,7
1/12/2011,4,1,0,3,1,2,29.7,24.8,86,7,0,6,6
1/12/2011,4,2,0,3,1,1,28,21.2,86,9,0,1,1
1/12/2011,4,5,0,3,1,1,28,21.2,86,11,0,5,5
1/12/2011,4,6,0,3,1,1,26.2,21.2,93,9,0,16,16
1/12/2011,4,7,0,3,1,1,28,21.2,69,9,0,54,54
1/12/2011,4,8,0,3,1,1,29.7,23,59,11,3,125,128
1/12/2011,4,9,0,3,1,1,29.7,19.4,59,22,3,78,81
1/12/2011,4,10,0,3,1,1,31.4,24.8,55,15,0,39,39
1/12/2011,4,11,0,3,1,1,33.1,24.8,51,26,3,32,35
1/12/2011,4,12,0,3,1,1,33.1,21.2,47,39,3,52,55
1/12/2011,4,13,0,3,1,1,34.9,26.6,44,24,0,49,49
1/12/2011,4,14,0,3,1,1,33.1,24.8,47,22,0,44,44
1/12/2011,4,15,0,3,1,1,33.1,23,47,28,1,48,49
1/12/2011,4,16,0,3,1,1,34.9,26.6,44,22,5,63,68
1/12/2011,4,17,0,3,1,1,33.1,24.8,47,24,0,139,139
1/12/2011,4,18,0,3,1,1,33.1,21.2,47,35,2,135,137
1/12/2011,4,19,0,3,1,1,31.4,21.2,47,28,1,82,83
1/12/2011,4,20,0,3,1,1,29.7,19.4,50,22,2,54,56
1/12/2011,4,21,0,3,1,1,29.7,19.4,55,22,0,57,57
1/12/2011,4,22,0,3,1,1,29.7,17.6,55,30,1,32,33
1/12/2011,4,23,0,3,1,1,28,15.8,59,28,1,19,20
1/13/2011,4,0,0,4,1,1,28,17.6,59,19,1,6,7
1/13/2011,4,1,0,4,1,1,28,17.6,50,19,0,2,2
1/13/2011,4,2,0,4,1,1,28,17.6,50,24,0,2,2
1/13/2011,4,3,0,4,1,1,28,17.6,50,22,0,3,3
1/13/2011,4,4,0,4,1,1,28,17.6,50,17,0,4,4
1/13/2011,4,5,0,4,1,1,28,17.6,50,20,0,3,3
1/13/2011,4,6,0,4,1,1,26.2,21.2,54,9,0,28,28
1/13/2011,4,7,0,4,1,1,26.2,21.2,54,9,0,72,72
1/13/2011,4,8,0,4,1,1,28,19.4,50,13,5,197,202
1/13/2011,4,9,0,4,1,1,28,17.6,50,22,2,137,139
1/13/2011,4,10,0,4,1,2,29.7,19.4,50,24,2,36,38
1/13/2011,4,11,0,4,1,2,33.1,23,44,30,4,33,37
1/13/2011,4,12,0,4,1,1,33.1,23,44,28,3,49,52
1/13/2011,4,13,0,4,1,1,34.9,26.6,41,30,2,81,83
1/13/2011,4,14,0,4,1,1,34.9,26.6,41,26,3,39,42
1/13/2011,4,15,0,4,1,1,36.6,28.4,38,20,5,55,60
1/13/2011,4,16,0,4,1,1,36.6,28.4,38,24,2,76,78
1/13/2011,4,17,0,4,1,1,33.1,24.8,40,19,4,158,162
1/13/2011,4,18,0,4,1,1,33.1,24.8,40,22,3,141,144
1/13/2011,4,19,0,4,1,1,29.7,21.2,47,17,1,98,99
1/13/2011,4,20,0,4,1,1,29.7,21.2,47,15,0,64,64
1/13/2011,4,21,0,4,1,1,28,17.6,46,20,0,40,40
1/13/2011,4,22,0,4,1,1,28,17.6,46,22,0,30,30
1/13/2011,4,23,0,4,1,1,26.2,19.4,50,13,1,14,15
1/14/2011,4,0,0,5,1,1,26.2,19.4,50,13,0,14,14
1/14/2011,4,1,0,5,1,1,24.5,17.6,54,11,0,5,5
1/14/2011,4,2,0,5,1,1,24.5,17.6,54,9,0,1,1
1/14/2011,4,3,0,5,1,1,24.5,19.4,54,7,0,1,1
1/14/2011,4,5,0,5,1,1,24.5,19.4,54,6,0,8,8
1/14/2011,4,6,0,5,1,1,24.5,24.8,54,0,0,17,17
1/14/2011,4,7,0,5,1,1,24.5,17.6,74,11,0,70,70
1/14/2011,4,8,0,5,1,1,26.2,23,68,0,2,156,158
1/14/2011,4,9,0,5,1,1,28,21.2,69,9,0,117,117
1/14/2011,4,10,0,5,1,1,31.4,24.8,55,13,4,40,44
1/14/2011,4,11,0,5,1,1,31.4,23,51,19,6,47,53
1/14/2011,4,12,0,5,1,1,33.1,26.6,44,17,2,59,61
1/14/2011,4,13,0,5,1,1,34.9,26.6,37,26,4,73,77
1/14/2011,4,14,0,5,1,1,34.9,28.4,41,19,5,59,64
1/14/2011,4,15,0,5,1,1,36.6,32,38,11,9,59,68
1/14/2011,4,16,0,5,1,1,34.9,32,41,7,3,87,90
1/14/2011,4,17,0,5,1,1,34.9,30.2,41,11,4,155,159
1/14/2011,4,18,0,5,1,1,33.1,33.8,47,0,5,134,139
1/14/2011,4,19,0,5,1,1,29.7,26.6,59,6,3,89,92
1/14/2011,4,20,0,5,1,1,31.4,32,59,0,0,68,68
1/14/2011,4,21,0,5,1,1,29.7,30.2,69,0,4,48,52
1/14/2011,4,22,0,5,1,2,29.7,30.2,69,0,2,34,36
1/14/2011,4,23,0,5,1,2,31.4,32,55,0,1,26,27
1/15/2011,4,0,0,6,0,1,31.4,32,55,0,3,25,28
1/15/2011,4,1,0,6,0,2,29.7,26.6,59,6,2,18,20
1/15/2011,4,2,0,6,0,2,29.7,26.6,59,6,0,12,12
1/15/2011,4,3,0,6,0,2,29.7,30.2,59,0,1,7,8
1/15/2011,4,4,0,6,0,2,29.7,30.2,59,0,0,5,5
1/15/2011,4,5,0,6,0,1,29.7,30.2,59,0,0,1,1
1/15/2011,4,6,0,6,0,1,28,23,63,7,1,2,3
1/15/2011,4,7,0,6,0,1,28,28.4,63,0,1,9,10
1/15/2011,4,8,0,6,0,1,28,21.2,63,9,1,22,23
1/15/2011,4,9,0,6,0,1,29.7,24.8,64,9,2,31,33
1/15/2011,4,10,0,6,0,1,31.4,26.6,59,11,2,57,59
1/15/2011,4,11,0,6,0,1,33.1,26.6,55,15,18,54,72
1/15/2011,4,12,0,6,0,1,36.6,30.2,48,15,15,74,89
1/15/2011,4,13,0,6,0,1,40,33.8,38,20,21,80,101
1/15/2011,4,14,0,6,0,1,41.8,37.4,39,19,26,92,118
1/15/2011,4,15,0,6,0,2,43.5,41,36,13,21,108,129
1/15/2011,4,16,0,6,0,2,45.2,42.8,34,13,33,95,128
1/15/2011,4,17,0,6,0,2,43.5,39.2,36,19,29,54,83
1/15/2011,4,18,0,6,0,2,41.8,37.4,45,17,15,69,84
1/15/2011,4,19,0,6,0,2,43.5,39.2,39,17,14,60,74
1/15/2011,4,20,0,6,0,2,43.5,39.2,39,17,6,35,41
1/15/2011,4,21,0,6,0,2,43.5,39.2,39,15,6,51,57
1/15/2011,4,22,0,6,0,2,41.8,41,42,7,0,26,26
1/15/2011,4,23,0,6,0,1,41.8,37.4,45,19,5,39,44
1/16/2011,4,0,0,0,0,1,38.3,39.2,56,0,6,33,39
1/16/2011,4,1,0,0,0,1,38.3,35.6,56,9,4,19,23
1/16/2011,4,2,0,0,0,1,38.3,37.4,56,6,3,13,16
1/16/2011,4,3,0,0,0,1,34.9,35.6,69,0,9,6,15
1/16/2011,4,4,0,0,0,1,38.3,33.8,56,11,0,1,1
1/16/2011,4,5,0,0,0,2,38.3,33.8,56,11,1,1,2
1/16/2011,4,6,0,0,0,2,38.3,33.8,56,11,0,1,1
1/16/2011,4,7,0,0,0,2,36.6,28.4,56,20,0,3,3
1/16/2011,4,8,0,0,0,1,34.9,28.4,55,19,0,18,18
1/16/2011,4,9,0,0,0,1,34.9,28.4,51,17,3,29,32
1/16/2011,4,10,0,0,0,1,34.9,28.4,51,19,8,71,79
1/16/2011,4,11,0,0,0,1,36.6,30.2,44,17,23,70,93
1/16/2011,4,12,0,0,0,1,36.6,28.4,41,19,29,75,104
1/16/2011,4,13,0,0,0,1,38.3,30.2,35,20,23,95,118
1/16/2011,4,14,0,0,0,1,40,35.6,36,17,22,69,91
1/16/2011,4,15,0,0,0,1,38.3,32,38,17,35,78,113
1/16/2011,4,16,0,0,0,1,36.6,30.2,38,15,22,77,99
1/16/2011,4,17,0,0,0,1,34.9,28.4,37,17,23,82,105
1/16/2011,4,18,0,0,0,1,33.1,28.4,40,11,11,56,67
1/16/2011,4,19,0,0,0,1,31.4,26.6,47,9,14,47,61
1/16/2011,4,20,0,0,0,1,31.4,26.6,47,11,7,50,57
1/16/2011,4,21,0,0,0,1,31.4,26.6,51,11,6,22,28
1/16/2011,4,22,0,0,0,2,33.1,28.4,49,9,2,19,21
1/16/2011,4,23,0,0,0,2,33.1,30.2,40,7,0,18,18
1/17/2011,4,0,1,1,0,2,33.1,26.6,47,15,1,16,17
1/17/2011,4,1,1,1,0,2,33.1,26.6,44,13,1,15,16
1/17/2011,4,2,1,1,0,2,31.4,23,43,17,0,8,8
1/17/2011,4,3,1,1,0,2,31.4,24.8,43,13,0,2,2
1/17/2011,4,4,1,1,0,2,31.4,26.6,43,9,1,2,3
1/17/2011,4,5,1,1,0,2,31.4,26.6,43,11,0,1,1
1/17/2011,4,6,1,1,0,2,31.4,24.8,43,13,0,5,5
1/17/2011,4,7,1,1,0,2,29.7,24.8,50,9,4,9,13
