,Name,Team,Position,Height,Weight,College,Salary
99,Caris LeVert,Cleveland Cavaliers,G,6-6,205.0,Michigan,15384616.0
100,Sam Merrill,Cleveland Cavaliers,G,6-4,205.0,Utah State,1997238.0
101,Donovan Mitchell,Cleveland Cavaliers,G,6-1,215.0,Louisville,33162030.0
102,Evan Mobley,Cleveland Cavaliers,C,6-11,215.0,Southern California,8882640.0
103,Isaiah Mobley,Cleveland Cavaliers,F,6-8,238.0,Southern California,559782.0
104,Raul Neto,Cleveland Cavaliers,G,6-2,180.0,Murcia,0.0
105,Georges Niang,Cleveland Cavaliers,F,6-7,230.0,Iowa State,8800000.0
106,Isaac Okoro,Cleveland Cavaliers,F-G,6-5,225.0,Auburn,8920794.0
107,Craig Porter,Cleveland Cavaliers,G,6-2,180.0,Wichita State,559782.0
108,Ricky Rubio,Cleveland Cavaliers,G,6-2,190.0,FC Barcelona,6146342.0
109,Max Strus,Cleveland Cavaliers,G-F,6-5,215.0,DePaul,14487684.0
110,Dean Wade,Cleveland Cavaliers,F-C,6-9,228.0,Kansas State,5709877.0
111,Greg Brown III,Dallas Mavericks,F,6-7,206.0,Texas,0.0
112,Seth Curry,Dallas Mavericks,G,6-1,185.0,Duke,4000000.0
113,Luka Doncic,Dallas Mavericks,F-G,6-7,230.0,Real Madrid,40064220.0
114,Dante Exum,Dallas Mavericks,G,6-5,214.0,Australian Institute of Sport,3000000.0
115,Josh Green,Dallas Mavericks,G,6-7,200.0,Arizona,4765339.0
116,Tim Hardaway Jr.,Dallas Mavericks,G-F,6-5,205.0,Michigan,0.0
117,Jaden Hardy,Dallas Mavericks,G,6-3,198.0,NBA G League Ignite,1719864.0
118,Richaun Holmes,Dallas Mavericks,F,6-8,235.0,Bowling Green,12046020.0
119,Kyrie Irving,Dallas Mavericks,G,6-2,195.0,Duke,37037037.0
120,Derrick Jones Jr.,Dallas Mavericks,F,6-6,210.0,UNLV,0.0
121,Maxi Kleber,Dallas Mavericks,F,6-10,240.0,Bayern Munich,11000000.0
122,A.J. Lawson,Dallas Mavericks,G,6-6,179.0,South Carolina,0.0
123,Dereck Lively II,Dallas Mavericks,C,7-1,230.0,Duke,0.0
124,Mike Miles Jr.,Dallas Mavericks,G,6-2,195.0,TCU,0.0
125,Markieff Morris,Dallas Mavericks,F,6-9,245.0,Kansas,0.0
126,Theo Pinson,Dallas Mavericks,G-F,6-7,212.0,North Carolina,0.0
127,Dwight Powell,Dallas Mavericks,F-C,6-10,240.0,Stanford,4000000.0
128,Olivier-Maxence Prosper,Dallas Mavericks,F,6-8,230.0,Marquette,2733720.0
130,Joe Wieskamp,Dallas Mavericks,G-F,6-6,205.0,Iowa,2019706.0
131,Grant Williams,Dallas Mavericks,F,6-6,236.0,Tennessee,12405000.0
132,Christian Wood,Dallas Mavericks,F,6-9,214.0,UNLV,0.0
133,McKinley Wright IV,Dallas Mavericks,G,5-11,192.0,Colorado,0.0
135,Christian Braun,Denver Nuggets,G,6-6,220.0,Kansas,2949120.0
136,Kentavious Caldwell-Pope,Denver Nuggets,G,6-5,204.0,Georgia,14704938.0
137,Vlatko Cancar,Denver Nuggets,F,6-8,236.0,San Pablo Burgos,2234359.0
139,Andrew Funk,Denver Nuggets,G,6-5,200.0,Penn State,1119563.0
140,Collin Gillespie,Denver Nuggets,G,6-1,195.0,Villanova,559782.0
141,Aaron Gordon,Denver Nuggets,F,6-8,235.0,Arizona,22266182.0
142,Justin Holiday,Denver Nuggets,F-G,6-6,180.0,Washington,3196448.0
143,Jay Huff,Denver Nuggets,C,7-1,240.0,Virginia,559782.0
144,Reggie Jackson,Denver Nuggets,G,6-2,208.0,Boston College,5000000.0
145,Nikola Jokic,Denver Nuggets,C,6-11,284.0,Mega Basket,47607350.0
146,DeAndre Jordan,Denver Nuggets,C,6-11,265.0,Texas A&M,3196448.0
147,Braxton Key,Denver Nuggets,F,6-8,225.0,Virginia,559782.0
148,Jamal Murray,Denver Nuggets,G,6-4,215.0,Kentucky,33833400.0
149,Zeke Nnaji,Denver Nuggets,F-C,6-9,240.0,Arizona,4306281.0
150,Jalen Pickett,Denver Nuggets,G,6-4,202.0,Penn State,1708143.0
151,Michael Porter Jr.,Denver Nuggets,F,6-10,218.0,Missouri,0.0
152,Ish Smith,Denver Nuggets,G,6-0,175.0,Wake Forest,0.0
153,Julian Strawther,Denver Nuggets,G,6-7,205.0,Gonzaga,2431044.0
154,Hunter Tyson,Denver Nuggets,F,6-8,215.0,Clemson,1119563.0
155,Peyton Watson,Denver Nuggets,G,6-7,200.0,UCLA,2303520.0
156,Marvin Bagley III,Detroit Pistons,F,6-10,235.0,Duke,0.0
157,Buddy Boeheim,Detroit Pistons,F,6-6,205.0,Syracuse,1801769.0
158,Bojan Bogdanovic,Detroit Pistons,F,6-7,226.0,Fenerbahce,20000000.0
159,Alec Burks,Detroit Pistons,G,6-6,214.0,Colorado,10489600.0
160,Malcolm Cazalon,Detroit Pistons,G,6-6,185.0,Mega Basket,559782.0
161,Cade Cunningham,Detroit Pistons,G,6-7,220.0,Oklahoma State,11055360.0
162,Jalen Duren,Detroit Pistons,C,6-11,250.0,Memphis,4330680.0
163,Tosan Evbuomwan,Detroit Pistons,F,6-8,217.0,Princeton,1119563.0
164,Joe Harris,Detroit Pistons,G-F,6-6,220.0,Virginia,19928571.0
165,Killian Hayes,Detroit Pistons,G,6-5,195.0,Ratiopharm Ulm,7413955.0
166,Jaden Ivey,Detroit Pistons,G,6-4,195.0,Purdue,7614480.0
167,Isaiah Livers,Detroit Pistons,F,6-6,232.0,Michigan,1836096.0
168,Monte Morris,Detroit Pistons,G,6-2,183.0,Iowa State,9800926.0
169,Jared Rhoden,Detroit Pistons,G,6-6,210.0,Seton Hall,559782.0
170,Marcus Sasser,Detroit Pistons,G,6-2,195.0,Houston,2624028.0
171,Isaiah Stewart,Detroit Pistons,F-C,6-8,250.0,Washington,5266713.0
172,Ausar Thompson,Detroit Pistons,G-F,6-7,205.0,Overtime Elite,7977420.0
173,Stanley Umude,Detroit Pistons,G,6-6,210.0,Arkansas,1801769.0
174,James Wiseman,Detroit Pistons,C,7-0,240.0,Memphis,12119440.0
175,Stephen Curry,Golden State Warriors,G,6-2,185.0,Davidson,51915615.0
176,Draymond Green,Golden State Warriors,F,6-6,230.0,Michigan State,22321429.0
177,JaMychal Green,Golden State Warriors,F-C,6-9,227.0,Alabama,0.0
178,Andre Iguodala,Golden State Warriors,G-F,6-6,215.0,Arizona,0.0
179,Trayce Jackson-Davis,Golden State Warriors,F,6-9,245.0,Indiana,1119563.0
180,Cory Joseph,Golden State Warriors,G,6-3,200.0,Texas,3196448.0
181,Jonathan Kuminga,Golden State Warriors,F,6-7,225.0,NBA G League Ignite,6012840.0
182,Anthony Lamb,Golden State Warriors,F,6-6,227.0,Vermont,0.0
183,Kevon Looney,Golden State Warriors,F,6-9,222.0,UCLA,7500000.0
184,Moses Moody,Golden State Warriors,G,6-5,211.0,Arkansas,3918480.0
185,Chris Paul,Golden State Warriors,G,6-0,175.0,Wake Forest,30800000.0
186,Gary Payton II,Golden State Warriors,G,6-2,195.0,Oregon State,8715000.0
187,Brandin Podziemski,Golden State Warriors,G,6-5,205.0,Santa Clara,3352404.0
188,Lester Quinones,Golden State Warriors,G,6-4,208.0,Memphis,559782.0
189,Dario Saric,Golden State Warriors,F-C,6-10,225.0,Anadolu Efes,2709849.0
190,Klay Thompson,Golden State Warriors,G,6-6,220.0,Washington State,43219440.0
191,Andrew Wiggins,Golden State Warriors,F,6-7,197.0,Kansas,24330357.0
192,Dillon Brooks,Houston Rockets,G-F,6-6,225.0,Oregon,22627671.0
193,Darius Days,Houston Rockets,F,6-7,245.0,Louisiana State,559782.0
194,Tari Eason,Houston Rockets,F,6-8,215.0,Louisiana State,3527160.0
195,Jalen Green,Houston Rockets,G,6-4,186.0,NBA G League Ignite,9891480.0
196,Jeff Green,Houston Rockets,F,6-8,235.0,Georgetown,9600000.0
197,Nate Hinton,Houston Rockets,G-F,6-5,210.0,Houston,2019706.0
198,Aaron Holiday,Houston Rockets,G,6-0,185.0,UCLA,2346614.0
199,Trevor Hudgins,Houston Rockets,G,6-0,180.0,Northwest Missouri State,559782.0
200,Jock Landale,Houston Rockets,C,6-11,255.0,St. Mary's,8000000.0
201,Matthew Mayer,Houston Rockets,F,6-9,225.0,Illinois,1119563.0
202,Joshua Obiesie,Houston Rockets,G-F,6-6,195.0,Unknown,1119563.0
203,Kevin Porter Jr.,Houston Rockets,G-F,6-4,203.0,Southern California,0.0
204,Jermaine Samuels Jr.,Houston Rockets,F,6-7,230.0,Villanova,0.0
205,Alperen Sengun,Houston Rockets,C,6-11,243.0,Besiktas,3536280.0
206,Jabari Smith Jr.,Houston Rockets,F,6-11,220.0,Auburn,0.0
207,Jae'Sean Tate,Houston Rockets,F,6-5,230.0,Ohio State,6500000.0
208,Amen Thompson,Houston Rockets,G-F,6-7,200.0,Overtime Elite,8809284.0
209,Fred VanVleet,Houston Rockets,G,6-0,197.0,Wichita State,40806300.0
210,Cam Whitmore,Houston Rockets,F,6-7,230.0,Villanova,0.0
211,Jeenathan Williams,Houston Rockets,G,6-5,205.0,Buffalo,1801769.0
212,Bruce Brown,Indiana Pacers,G-F,6-4,202.0,Miami,22000000.0
213,Kendall Brown,Indiana Pacers,G,6-7,205.0,Baylor,559782.0
214,Tyrese Haliburton,Indiana Pacers,G,6-5,185.0,Iowa State,5808435.0
215,Buddy Hield,Indiana Pacers,G,6-4,220.0,Oklahoma,19279841.0
216,Isaiah Jackson,Indiana Pacers,F,6-9,205.0,Kentucky,2696280.0
217,James Johnson,Indiana Pacers,F,6-7,240.0,Wake Forest,0.0
218,Mojave King,Indiana Pacers,G,6-5,195.0,NBA G League Ignite,0.0
219,Bennedict Mathurin,Indiana Pacers,G-F,6-5,210.0,Arizona,6916080.0
220,T.J. McConnell,Indiana Pacers,G,6-1,190.0,Arizona,0.0
221,Andrew Nembhard,Indiana Pacers,G-F,6-3,191.0,Gonzaga,2131905.0
222,Aaron Nesmith,Indiana Pacers,G-F,6-5,215.0,Vanderbilt,5634257.0
223,Jordan Nwora,Indiana Pacers,F,6-9,225.0,Louisville,3000000.0
224,Ben Sheppard,Indiana Pacers,G,6-6,190.0,Belmont,2537172.0
225,Jalen Smith,Indiana Pacers,F-C,6-9,215.0,Maryland,5043773.0
226,Daniel Theis,Indiana Pacers,F-C,6-8,245.0,Brose Bamberg,9108386.0
227,Obi Toppin,Indiana Pacers,F,6-9,220.0,Dayton,6803012.0
228,Oscar Tshiebwe,Indiana Pacers,F-C,6-9,255.0,Kentucky,559782.0
229,Myles Turner,Indiana Pacers,C-F,6-11,250.0,Texas,20975000.0
230,Jarace Walker,Indiana Pacers,F,6-8,235.0,Houston,6059460.0
231,Isaiah Wong,Indiana Pacers,G,6-3,185.0,Miami,559782.0
232,Gabe York,Indiana Pacers,G,6-3,190.0,Arizona,0.0
233,Nicolas Batum,Los Angeles Clippers,G-F,6-8,230.0,Le Mans,11710818.0
234,Brandon Boston Jr.,Los Angeles Clippers,G,6-6,188.0,Kentucky,0.0
235,Kobe Brown,Los Angeles Clippers,F,6-8,250.0,Missouri,2413356.0
236,Amir Coffey,Los Angeles Clippers,G-F,6-7,210.0,Minnesota,3666667.0
237,Robert Covington,Los Angeles Clippers,F,6-7,209.0,Tennessee State,11692308.0
238,Moussa Diabate,Los Angeles Clippers,F,6-10,210.0,Michigan,559782.0
239,Paul George,Los Angeles Clippers,F,6-8,220.0,Fresno State,45640084.0
240,Bones Hyland,Los Angeles Clippers,G,6-2,169.0,Virginia Commonwealth,2306400.0
241,Kawhi Leonard,Los Angeles Clippers,F,6-7,225.0,San Diego State,45640084.0
242,Terance Mann,Los Angeles Clippers,G-F,6-5,215.0,Florida State,10576923.0
243,Kenyon Martin Jr.,Los Angeles Clippers,F,6-7,215.0,IMG Academy (FL),0.0
244,Jordan Miller,Los Angeles Clippers,G,6-7,194.0,Miami,559782.0
245,Xavier Moon,Los Angeles Clippers,G,6-0,165.0,Morehead State,0.0
246,Marcus Morris Sr.,Los Angeles Clippers,F,6-8,218.0,Kansas,0.0
247,Mason Plumlee,Los Angeles Clippers,F-C,7-0,254.0,Duke,5000000.0
248,Norman Powell,Los Angeles Clippers,G,6-4,215.0,UCLA,18000000.0
249,Jason Preston,Los Angeles Clippers,G,6-3,181.0,Ohio,1836096.0
250,Russell Westbrook,Los Angeles Clippers,G,6-3,200.0,UCLA,3835738.0
251,Ivica Zubac,Los Angeles Clippers,C,7-0,240.0,Mega Basket,10933333.0
252,Colin Castleton,Los Angeles Lakers,C,6-11,250.0,Florida,559782.0
253,Max Christie,Los Angeles Lakers,G,6-5,190.0,Michigan State,1719864.0
254,Anthony Davis,Los Angeles Lakers,F-C,6-10,253.0,Kentucky,40600080.0
255,Alex Fudge,Los Angeles Lakers,F,6-9,200.0,Florida,559782.0
256,Wenyen Gabriel,Los Angeles Lakers,F,6-9,205.0,Kentucky,0.0
257,Rui Hachimura,Los Angeles Lakers,F,6-8,230.0,Gonzaga,15740741.0
258,Jaxson Hayes,Los Angeles Lakers,C-F,7-0,220.0,Texas,2165000.0
259,D'Moi Hodge,Los Angeles Lakers,G,6-4,188.0,Missouri,559782.0
260,Jalen Hood-Schifino,Los Angeles Lakers,G,6-6,215.0,Indiana,3695076.0
261,LeBron James,Los Angeles Lakers,F,6-9,250.0,St. Vincent-St. Mary HS (OH),47607350.0
262,Maxwell Lewis,Los Angeles Lakers,F,6-7,195.0,Pepperdine,1119563.0
263,Scotty Pippen Jr.,Los Angeles Lakers,G,6-1,170.0,Vanderbilt,0.0
264,Taurean Prince,Los Angeles Lakers,F,6-6,218.0,Baylor,4516000.0
265,Austin Reaves,Los Angeles Lakers,G,6-5,197.0,Oklahoma,12015150.0
266,Cam Reddish,Los Angeles Lakers,F-G,6-7,217.0,Duke,2165000.0
267,D'Angelo Russell,Los Angeles Lakers,G,6-4,193.0,Ohio State,17307693.0
268,Tristan Thompson,Los Angeles Lakers,C-F,6-9,254.0,Texas-Austin,0.0
269,Jarred Vanderbilt,Los Angeles Lakers,F,6-8,214.0,Kentucky,4698000.0
270,Gabe Vincent,Los Angeles Lakers,G,6-2,200.0,California-Santa Barbara,10500000.0
271,Steven Adams,Memphis Grizzlies,C,6-11,265.0,Pittsburgh,12600000.0
272,Santi Aldama,Memphis Grizzlies,F-C,7-0,215.0,Loyola-Maryland,0.0
273,Desmond Bane,Memphis Grizzlies,G,6-5,215.0,TCU,3845083.0
274,Tarik Biberovic,Memphis Grizzlies,F,6-7,218.0,Unknown,0.0
275,Josh Christopher,Memphis Grizzlies,G,6-4,215.0,Arizona State,2485200.0
276,Brandon Clarke,Memphis Grizzlies,F,6-8,215.0,Gonzaga,12500000.0
277,Jacob Gilyard,Memphis Grizzlies,G,5-9,160.0,Richmond,559782.0
278,Shaquille Harrison,Memphis Grizzlies,G,6-4,195.0,Tulsa,2528233.0
279,GG Jackson,Memphis Grizzlies,F,6-9,210.0,South Carolina,0.0
280,Jaren Jackson Jr.,Memphis Grizzlies,F-C,6-10,242.0,Michigan State,0.0
281,Luke Kennard,Memphis Grizzlies,G,6-5,206.0,Duke,14763636.0
282,John Konchar,Memphis Grizzlies,G,6-5,210.0,Indiana-Purdue Fort Wayne,2400000.0
283,Jake LaRavia,Memphis Grizzlies,F,6-7,235.0,Wake Forest,3199920.0
284,Kenneth Lofton Jr.,Memphis Grizzlies,F,6-6,275.0,Louisiana Tech,0.0
285,Ja Morant,Memphis Grizzlies,G,6-2,174.0,Murray State,34005250.0
286,David Roddy,Memphis Grizzlies,F,6-4,255.0,Colorado State,2718240.0
287,Derrick Rose,Memphis Grizzlies,G,6-3,200.0,Memphis,3196448.0
288,Marcus Smart,Memphis Grizzlies,G,6-4,220.0,Oklahoma State,18583713.0
289,Xavier Tillman,Memphis Grizzlies,F,6-7,245.0,Michigan State,1930681.0
290,Isaiah Todd,Memphis Grizzlies,F,6-9,219.0,NBA G League Ignite,1836096.0
291,Ziaire Williams,Memphis Grizzlies,F,6-9,185.0,Stanford,4810200.0
292,Vince Williams Jr.,Memphis Grizzlies,G,6-4,205.0,Virginia Commonwealth,0.0
293,Bam Adebayo,Miami Heat,C-F,6-9,255.0,Kentucky,32600060.0
294,Jamaree Bouyea,Miami Heat,G,6-2,180.0,San Francisco,559782.0
295,Thomas Bryant,Miami Heat,C-F,6-10,248.0,Indiana,2528233.0
296,Jimmy Butler,Miami Heat,F,6-7,230.0,Marquette,45183960.0
297,Jamal Cain,Miami Heat,F,6-6,191.0,Oakland,559782.0
298,Justin Champagnie,Miami Heat,G-F,6-6,206.0,Pittsburgh,2019706.0
300,Udonis Haslem,Miami Heat,F,6-7,235.0,Florida,0.0
301,Tyler Herro,Miami Heat,G,6-5,195.0,Kentucky,27000000.0
302,Haywood Highsmith,Miami Heat,F,6-5,220.0,Wheeling Jesuit,1902137.0
303,Jaime Jaquez Jr.,Miami Heat,G,6-7,225.0,UCLA,0.0
304,Nikola Jovic,Miami Heat,F,6-10,205.0,Mega Basket,2352000.0
305,Kevin Love,Miami Heat,F-C,6-8,251.0,UCLA,3835738.0
306,Kyle Lowry,Miami Heat,G,6-0,196.0,Villanova,29682540.0
307,Caleb Martin,Miami Heat,F,6-5,205.0,Nevada,6802950.0
308,Drew Peterson,Miami Heat,F,6-9,205.0,Southern California,1119563.0
309,Josh Richardson,Miami Heat,G,6-6,200.0,Tennessee,2891467.0
310,Duncan Robinson,Miami Heat,F,6-7,215.0,Michigan,18154000.0
311,Orlando Robinson,Miami Heat,C,6-10,235.0,Fresno State,1801769.0
312,Dru Smith,Miami Heat,G,6-3,203.0,Missouri,559782.0
313,Cole Swider,Miami Heat,F,6-9,220.0,Syracuse,1801769.0
314,Alondes Williams,Miami Heat,G,6-4,210.0,Wake Forest,1801769.0
315,Grayson Allen,Milwaukee Bucks,G,6-4,198.0,Duke,8925000.0
316,Giannis Antetokounmpo,Milwaukee Bucks,F,7-0,243.0,Filathlitikos,45640084.0
317,Thanasis Antetokounmpo,Milwaukee Bucks,F,6-7,219.0,Panathinaikos,2346614.0
318,Malik Beasley,Milwaukee Bucks,G,6-4,187.0,Florida State,2709849.0
319,MarJon Beauchamp,Milwaukee Bucks,F,6-7,199.0,NBA G League Ignite,2609400.0
320,Pat Connaughton,Milwaukee Bucks,G,6-5,209.0,Notre Dame,9423869.0
321,Jae Crowder,Milwaukee Bucks,F,6-6,235.0,Marquette,3196448.0
322,Goran Dragic,Milwaukee Bucks,G,6-4,190.0,Union Olimpija,0.0
323,Jazian Gortman,Milwaukee Bucks,G,6-2,184.0,Unknown,1119563.0
324,AJ Green,Milwaukee Bucks,G,6-5,190.0,Northern Iowa,1901769.0
325,Jrue Holiday,Milwaukee Bucks,G,6-5,205.0,UCLA,36861707.0
326,Andre Jackson Jr.,Milwaukee Bucks,G,6-6,209.0,Connecticut,0.0
327,Meyers Leonard,Milwaukee Bucks,F-C,7-0,260.0,Illinois,0.0
328,Chris Livingston,Milwaukee Bucks,F,6-6,220.0,Kentucky,1119563.0
329,Brook Lopez,Milwaukee Bucks,C,7-1,282.0,Stanford,25000000.0
330,Robin Lopez,Milwaukee Bucks,C,7-0,281.0,Stanford,3196448.0
331,Khris Middleton,Milwaukee Bucks,F,6-7,222.0,Texas A&M,29320988.0
332,Omari Moore,Milwaukee Bucks,G,6-6,195.0,San Jose State,559782.0
333,Bobby Portis,Milwaukee Bucks,F,6-11,250.0,Arkansas,11710818.0
