Technical Skills,Has passed the licensure exam,Communication Skills,Grit,Work Habits & Attitude,Employability 
1.975,2,4,2,4,Employable
1.725,2,4,2,5,Employable
2.25,2,4,2,5,Employable
2.4,2,4,2,5,Employable
2.675,1,4,1,3,Underemployed
2.7,1,3,1,4,Underemployed
1.65,2,4,2,4,Employable
2.05,2,4,2,5,Employable
2.85,1,4,1,4,Underemployed
2.05,2,5,2,4,Employable
2.9,1,3,1,5,Underemployed
2.65,2,5,2,5,Employable
2.175,2,5,2,4,Employable
2.875,1,4,1,4,Underemployed
2.5,2,4,2,4,Employable
2.7,1,5,1,4,Underemployed
2.75,1,3,1,4,Underemployed
1.65,2,5,2,4,Employable
2.95,1,4,1,5,Underemployed
2.4,2,4,2,4,Employable
2.45,1,4,1,4,Underemployed
2.225,2,4,2,4,Employable
2.95,1,5,1,3,Underemployed
2.875,1,4,1,3,Underemployed
1.475,2,4,2,3,Employable
2.875,1,4,1,5,Underemployed
2.425,2,4,2,5,Employable
2.225,1,5,1,4,Underemployed
2.2,2,4,2,4,Employable
2.65,2,5,2,4,Employable
2.025,2,4,2,3,Employable
2.125,2,4,2,5,Employable
2.5,1,4,1,4,Underemployed
2.85,1,4,1,5,Underemployed
2.9,1,4,1,3,Underemployed
2.4,2,5,2,4,Employable
2.05,2,4,2,4,Employable
1.725,2,4,2,3,Employable
2.175,2,4,2,4,Employable
2.75,1,5,1,3,Underemployed
2.475,1,4,1,4,Underemployed
2.85,1,3,1,5,Underemployed
2.2,2,4,2,3,Employable
2.45,1,5,1,3,Underemployed
2.225,2,5,2,4,Employable
2,2,4,2,3,Employable
2.9,1,3,1,5,Underemployed
2.875,1,5,1,4,Underemployed
2.4,2,5,2,4,Employable
2.95,1,5,1,3,Underemployed
1.5,2,4,2,3,Employable
2.725,1,3,1,4,Underemployed
2.025,2,4,2,5,Employable
2.8,1,5,1,4,Underemployed
2.55,1,3,1,3,Underemployed
2.9,1,5,1,4,Underemployed
2.625,2,5,2,5,Employable
2.65,1,4,1,5,Underemployed
2,2,4,2,5,Employable
1.725,2,5,2,5,Employable
1.8,2,5,2,3,Employable
2.875,1,5,1,5,Underemployed
2.25,2,5,2,3,Employable
2.85,1,4,1,5,Underemployed
2.4,2,4,2,3,Employable
2.05,2,5,2,3,Employable
2.05,2,5,2,3,Employable
2.65,2,5,2,3,Employable
2.75,1,4,1,5,Underemployed
2.55,2,4,2,4,Employable
2.2,2,4,2,3,Employable
2.625,1,5,1,5,Underemployed
1.975,2,5,2,3,Employable
2.725,1,4,1,3,Underemployed
2.475,1,3,1,4,Underemployed
2.85,1,5,1,4,Underemployed
2.9,1,4,1,5,Underemployed
2.925,1,4,1,3,Underemployed
2.655,1,3,1,4,Underemployed
1.8,2,5,2,5,Employable
2.7,1,5,1,4,Underemployed
2.725,1,5,1,3,Underemployed
2.175,2,5,2,3,Employable
2.875,1,4,1,4,Underemployed
2.775,1,5,1,5,Underemployed
2.95,1,4,1,5,Underemployed
2.5,2,4,2,4,Employable
2.75,1,5,1,5,Underemployed
1.65,2,5,2,4,Employable
2.875,1,4,1,3,Underemployed
2.175,2,4,2,3,Employable
2.05,2,4,2,3,Employable
2.85,1,4,1,4,Underemployed
2.35,2,4,2,5,Employable
2.35,2,5,2,4,Employable
2.15,2,5,2,5,Employable
1.65,2,4,2,3,Employable
2,1,4,1,4,Underemployed
1.925,2,5,2,3,Employable
2.725,1,4,1,4,Underemployed
2.9,2,4,2,5,Employable
2,1,5,1,3,Underemployed
2.35,1,4,1,5,Underemployed
2.825,1,5,1,4,Underemployed
2.55,2,5,2,4,Employable
2.925,1,5,1,4,Underemployed
2.55,1,4,1,4,Underemployed
2,2,5,2,3,Employable
2.925,1,4,1,3,Underemployed
2.9,1,5,1,3,Underemployed
2.5,1,4,1,3,Underemployed
2.675,1,4,1,4,Underemployed
1.5,2,4,2,3,Employable
2.775,1,3,2,4,Employable
1.45,2,5,2,3,Employable
2.825,1,4,1,3,Underemployed
2.675,1,5,1,3,Underemployed
1.675,2,4,2,4,Employable
2.725,1,4,2,5,Employable
2.1,2,5,2,5,Employable
2.425,2,4,2,3,Employable
2.45,2,4,2,3,Employable
2.675,2,4,2,4,Employable
2.8,1,3,1,4,Less Employable
2.8,1,3,2,3,Employable
2.8,1,4,1,3,Less Employable
2.375,1,4,2,3,Employable
2.625,1,4,1,5,Underemployed
2.175,2,5,2,3,Employable
2.525,1,4,1,3,Underemployed
2.75,2,5,2,3,Employable
3,1,4,1,3,Employable
1.9,2,4,2,5,Employable
2.825,1,4,1,4,Employable
1.8,2,4,2,3,Employable
2.25,2,4,2,3,Employable
2.925,1,4,1,5,Underemployed
2.75,1,5,2,3,Employable
1.725,2,5,2,5,Employable
2.775,1,3,1,5,Less Employable
2.875,1,4,1,3,Less Employable
2.55,2,4,2,4,Employable
2.55,1,4,2,3,Employable
2.9,1,3,1,3,Employable
2.175,2,5,2,3,Employable
2.55,1,4,1,5,Underemployed
1.5,2,4,2,4,Employable
2.65,2,5,2,4,Employable
1.425,2,5,2,3,Employable
2.025,2,4,2,5,Employable
2.625,2,5,2,3,Employable
2.525,2,4,2,5,Employable
2.825,1,3,1,3,Less Employable
1.95,2,5,2,5,Employable
2.55,1,3,1,5,Underemployed
2.85,1,3,1,5,Less Employable
2.5,1,4,2,5,Employable
3,1,4,1,3,Less Employable
2.55,2,4,2,4,Employable
2.575,2,5,2,3,Employable
2.675,2,5,2,5,Employable
2.85,1,3,1,4,Less Employable
2.725,1,4,2,4,Employable
2.425,1,5,2,4,Employable
2.375,2,5,2,3,Employable
2.625,1,4,1,3,Underemployed
3,1,3,1,4,Less Employable
2.775,1,4,1,3,Less Employable
2.5,1,4,2,3,Employable
2.875,1,4,1,5,Less Employable
2.85,1,3,1,3,Less Employable
1.975,2,4,2,3,Employable
2.775,1,3,1,5,Less Employable
2.55,1,4,2,4,Employable
2.9,1,5,1,3,Less Employable
2.925,1,3,1,4,Less Employable
2.475,1,3,2,4,Employable
2.375,2,5,2,5,Employable
2.825,1,5,1,3,Less Employable
2.9,1,3,1,5,Less Employable
2.25,1,3,2,4,Employable
1.8,2,4,2,3,Employable
2.525,1,5,2,4,Employable
2.875,1,3,1,3,Less Employable
2.875,1,4,1,4,Employable
2.35,1,5,1,5,Underemployed
2.6,2,5,2,5,Employable
2.55,1,5,1,3,Underemployed
1.175,2,4,2,3,Employable
2.4,1,5,1,4,Underemployed
1.5,2,5,2,5,Employable
