week,complaints,discount_rate,small_commercial_event,medium_commercial_event,big_commercial_event
2/7/2022,"3,268",39.24%,1,0,0
2/14/2022,"3,431",36.75%,0,0,1
2/21/2022,"2,393",29.83%,0,0,0
2/28/2022,"2,386",28.73%,0,0,0
3/7/2022,"2,463",29.03%,0,0,0
3/14/2022,"2,722",27.85%,0,0,0
3/21/2022,"3,708",29.89%,0,1,0
3/28/2022,"3,336",27.41%,0,0,0
4/4/2022,"3,796",27.31%,0,1,0
4/11/2022,"2,947",27.66%,0,0,0
4/18/2022,"3,004",28.42%,0,0,0
4/25/2022,"3,252",29.32%,0,0,0
5/2/2022,"3,592",34.51%,0,0,0
5/9/2022,"3,482",25.74%,0,0,0
5/16/2022,"3,689",22.79%,0,0,0
5/23/2022,"3,570",24.63%,0,0,0
5/30/2022,"3,420",27.17%,0,0,0
6/6/2022,"3,147",24.97%,0,0,0
6/13/2022,"3,492",29.14%,0,0,0
6/20/2022,"4,320",32.74%,0,0,1
6/27/2022,"3,675",34.02%,0,0,0
7/4/2022,"4,267",34.44%,0,1,0
7/11/2022,"4,008",35.54%,1,0,0
7/18/2022,"3,984",37.39%,1,0,0
7/25/2022,"3,599",39.09%,0,0,0
8/1/2022,"3,517",39.08%,1,0,0
8/8/2022,"2,907",41.24%,0,0,0
8/15/2022,"2,791",40.35%,0,0,0
8/22/2022,"3,474",36.98%,0,1,0
8/29/2022,"2,885",31.45%,0,0,0
9/5/2022,"3,177",31.30%,0,0,0
9/12/2022,"3,306",28.21%,1,0,0
9/19/2022,"3,170",27.76%,0,0,0
9/26/2022,"3,279",28.50%,0,0,0
10/3/2022,"3,350",29.78%,0,0,0
10/10/2022,"4,679",31.62%,0,1,0
10/17/2022,"3,773",32.37%,0,0,0
10/24/2022,"4,065",32.95%,0,1,0
10/31/2022,"3,142",32.64%,0,0,0
11/7/2022,"4,164",30.20%,0,0,1
11/14/2022,"4,677",34.24%,0,0,0
11/21/2022,"7,931",37.59%,0,0,0
11/28/2022,"4,444",29.89%,0,1,0
12/5/2022,"4,920",28.48%,1,0,0
12/12/2022,"5,342",28.89%,0,0,0
12/19/2022,"3,868",33.26%,0,0,0
12/26/2022,"3,607",37.35%,0,1,0
