No.,Residence,ALGEBRA,TRIGO,ADVALGEBRA,ANAGEO,DIFCAL,INTCAL,DIFEQU,STATS,ADVENGMAT,NUMERICAL,MATAVERAGE,PHY01A,PHY02A,ENG01,ENG02A,ENG03A,ENGECO,VECTOR,ELXDEVICE,ELXCIRCUITS,SIGNALS,PRINCO,LCST,DIGICOM,TRANS,MICRO,BROADCAST,CONTROLSYS,ECEAVERAGE,CIRC1,ELEMAG,CIRC2,ELEAVERAGE,VA,VR,FR,QR,SCHEME,On-Time,WithHonors,Passer
13,pagsanjan,2,3,3,2.5,2.5,2.5,1.75,3,1.5,1.75,2.35,3,2.75,2.5,1.75,2.25,2.25,2,2,2.5,2.25,3,2,1.75,2.5,3,2.75,2.5,2.425,2,1.75,1.75,1.833333333,A,AA,A,AA,A,YES,NO,YES
14,guinayangan,2.25,2.25,1.75,1.25,2.25,2.25,2,2.25,1.5,1.5,1.93,2.5,2.5,2,1.5,2.25,1.75,1.75,1,2.5,1.75,1.5,2,2,1.75,2.25,3,2.25,2,2,1.25,1.5,1.583333333,A,AA,A,A,A,NO,NO,YES
15,padre burgos,1.5,1.5,1.25,1.25,1.75,1.5,1.75,1.75,1.5,2,1.58,1.75,1.75,1.25,1.5,2,1.75,2.25,1.5,1.5,1.5,1.5,1.75,1.25,1.75,2.25,2.25,2,1.725,1.5,1,1.5,1.333333333,AA,AA,AA,AA,B,YES,YES,YES
16,sta. cruz,2.25,3,2.5,1.75,3,3,2.75,3,1.5,1.75,2.45,3,3,3,2,2.5,2.25,3,1.5,2.5,2.25,2.25,2.5,2.25,2,3,3,3,2.425,2.5,3,2.25,2.583333333,A,AA,A,A,C,YES,NO,YES
17,sariaya,2.25,2.5,2.5,2.25,2.5,2.25,2.25,3,1.75,1.5,2.28,2.75,2.75,2,2,2.5,2.5,2,1.75,2.25,1.75,2.75,1.75,1.75,2.25,3,3,2,2.225,2.25,1.75,1.75,1.916666667,A,AA,A,A,A,YES,NO,YES
18,lucban,2.5,3,1.75,2.25,2.5,2.5,2.25,2.75,3,2,2.45,2,2.5,1.75,2.25,2.75,2.25,3,2,2.75,1.75,2.25,2.75,2.25,1.75,2.5,3,2.5,2.35,2.5,2,2.5,2.333333333,AA,A,A,AA,A,YES,NO,NO
19,catanauan,2.75,3,2.5,2.75,3,3,3,3,2.5,2.25,2.78,3,2.25,2.75,3,3,3,2.75,3,2.25,2.75,3,3,2.5,2.5,3,3,3,2.8,2.25,3,2.5,2.583333333,A,A,A,A,A,NO,NO,NO
20,gumaca,3,3,2.2,3,2.75,2,3,2.5,2.25,2.5,2.62,3,3,2,2.75,3,3,3,3,2.25,3,3,3,2.25,2.5,2.5,3,3,2.75,3,3,1.75,2.583333333,AA,A,A,A,A,YES,NO,NO
21,sariaya,2.25,2.5,2,2,3,2,1.5,2.25,1.75,1.75,2.1,2.75,2,2,1.75,2.25,1.5,1.5,1.75,2,1.75,2.75,2.25,2.75,2,2,2.5,2,2.175,1.5,1.75,2,1.75,A,AA,AA,A,A,YES,NO,YES
22,guinayangan,1.5,1.75,2.25,1.75,2.5,2,2.5,2,2,1.5,1.98,2.75,2.75,3,2.25,1.75,2,2.75,2.25,3,2.25,2.75,1.5,1.75,2.25,2.5,3,2.75,2.4,2.75,2,1.5,2.083333333,A,AA,A,AA,A,YES,NO,YES
23,lucena,1.75,2.5,2.25,2,3,2,1.5,2.75,1.5,1.25,2.05,2.75,2.5,2.5,2,2,2.75,1.75,1.75,2.25,2.25,3,2.75,1.75,2.25,2.25,2.75,2.5,2.35,2.25,1.5,1.5,1.75,A,AA,A,A,A,YES,NO,YES
24,lucban,2.5,3,3,3,3,2.75,2.75,3,2.75,2.5,2.83,3,3,3,3,3,3,2.25,3,3,3,3,3,3,3,3,3,3,3,3,3,2.5,2.833333333,AA,A,A,A,A,NO,NO,NO
25,lucena,2.5,2,2.75,2.25,2,2.25,2.25,2.5,2.5,2.25,2.33,2.25,2.25,3,2.25,2.25,2.25,3,3,3,2.5,2.5,3,2.75,3,2.75,3,3,2.85,3,3,2.75,2.916666667,AA,A,A,A,A,NO,NO,NO
26,lucban,2,3,3,2.5,2.75,2.5,1.75,3,1.5,1.75,2.38,3,2.75,2.5,1.75,2.25,2.25,2,2,2.5,2.25,3,2,1.75,2.5,3,2.75,2.5,2.425,2,1.75,1.75,1.833333333,A,AA,A,AA,B,YES,NO,YES
27,candelaria,1.5,1.5,1.5,1.5,1.5,1.75,1.25,2.25,1.5,1,1.53,2.5,1.75,1.75,1.25,2.5,1.25,1.75,1,2,1,2,1.25,1.5,1.75,2.25,2,1.75,1.65,1.25,1,1.5,1.25,AA,AA,AA,AA,A,YES,YES,YES
28,lumban,1.75,2.25,2,2.25,2.25,2.25,2.25,3,2,1.5,2.15,3,3,3,2,1.75,2.75,2,2.25,3,2.25,3,2.5,2,2.25,2.25,2.5,3,2.5,2.75,2.5,1.75,2.333333333,A,A,A,AA,A,YES,NO,YES
29,sta. cruz,2,2.25,2.5,2,3,3,2.75,3,2,1.5,2.4,2.75,2.25,1.75,2.25,1.75,2.25,2,2,2.75,2.5,3,3,2.25,2.5,2.5,3,3,2.65,2.25,2.25,1.5,2,AA,AA,A,A,A,NO,NO,YES
30,candelaria,2.5,2.25,1.75,2.25,2.25,2,2,2.25,2.25,2.75,2.23,2.5,2.25,3,1.25,2.25,2.25,2.5,2,2.75,2.75,2.75,2.75,2.25,2.5,2.5,2.75,2.5,2.55,2.25,2.75,2.5,2.5,AA,A,A,AA,C,NO,NO,NO
31,lucban,2.75,3,3,3,2.75,3,3,3,2.25,2,2.78,3,3,3,2.75,3,3,3,3,3,3,3,2.75,2.75,2.25,2.75,3,3,2.85,3,3,2.75,2.916666667,A,A,A,AA,A,YES,NO,NO
32,sariaya,2.25,3,2.5,3,2,2,2.25,3,1.75,2,2.38,3,2,2.25,2.5,2.25,2.75,2.25,2,3,2.5,2.75,2.25,2,3,2,3,3,2.55,2.5,3,2,2.5,A,AA,AA,A,A,YES,NO,YES
33,tayabas,1.5,1.5,1.25,1,1.5,1.75,1.5,1.75,1.25,1,1.4,1.75,2,1.25,1,1.25,1.5,2,1.25,1.75,1,1.25,1.25,1.25,1.5,1.75,2.25,1.75,1.5,1.25,2,1.75,1.666666667,AA,AA,AA,AA,A,YES,YES,YES
34,lucena,2.25,2.25,2.5,2,3,1.25,2,2.75,1.75,1.75,2.15,2.75,2.5,2.25,1.75,2,2,1.75,1.75,2,2.25,2.5,2.25,2.25,2.5,2.25,2.25,2,2.2,1.75,1.25,1.75,1.583333333,A,AA,AA,A,A,YES,NO,YES
35,lucban,2.5,2.25,3,2.25,3,2.5,2.25,3,2,1.5,2.43,3,2.75,2.75,1.75,1.75,2.5,2,1.75,2.5,2.5,3,2.25,2,2.75,2.75,3,2.75,2.525,2.25,1.75,2,2,A,AA,A,A,B,YES,NO,NO
36,atimonan,2,2.5,2.25,3,3,3,2.25,3,1.75,2,2.48,3,2.75,3,2.75,3,2.25,2.75,3,2.5,3,2.25,3,2.25,1.75,3,3,3,2.675,2.25,3,1.75,2.333333333,A,AA,A,AA,A,YES,NO,YES
37,quezon,2.5,3,3,3,2.75,1.75,2.5,2.5,1.75,2.5,2.53,2.75,2.75,3,2.25,3,2.5,3,2.5,2.75,3,2.25,2.75,2.25,2.25,3,3,3,2.675,3,2.25,2.75,2.666666667,A,A,A,A,A,YES,NO,NO
38,sta. cruz,3,2.75,2.5,3,3,2.5,3,3,2.25,1.5,2.65,3,3,2.5,2.5,2.5,3,2.25,2.5,3,2.75,3,3,2,2.5,2.5,3,2.75,2.7,3,3,2,2.666666667,A,A,A,A,A,YES,NO,NO
39,candelaria,2.25,3,2.5,2,3,3,2,3,2.5,1.75,2.5,2.75,3,3,2.25,1.75,2,2,2,2.5,2.5,3,3,2.5,3,2,3,2.75,2.625,2.75,3,2.25,2.666666667,AA,AA,A,AA,B,YES,NO,YES
40,atimonan,1.75,2,3,2,2.75,2.25,2,3,2,1.5,2.23,2.75,2.75,2.25,2.25,1.75,2.25,1.75,2.25,2.5,2.25,2.5,2,1.5,2.5,2.25,3,2.75,2.35,2.25,2.25,1.5,2,A,AA,AA,AA,B,YES,NO,YES
41,tayabas,3,3,3,3,3,3,2.5,3,2,2.5,2.8,3,2.75,3,3,1.75,3,2.25,2.25,3,2.75,2.75,3,2.75,3,3,3,3,2.85,2.75,2.75,2,2.5,A,AA,A,A,A,YES,NO,NO
42,tiaong,1.75,1.75,2,1.75,3,1.5,2,2.25,1.5,1.25,1.88,2.75,2.75,2,2.75,2,2,1.75,1.75,2,2.25,2.5,2.5,1.75,2.25,2,2.75,1.75,2.15,1.5,1.75,1.5,1.583333333,A,AA,A,A,B,YES,NO,YES
43,lucena,2,3,3,2.5,2.75,2.5,1.75,3,1.5,1.75,2.38,3,2.75,2.5,1.75,2.25,2.25,2,2,2.5,2.25,3,2,1.75,2.5,3,2.75,2.5,2.425,2,1.75,1.75,1.833333333,A,AA,AA,AA,A,YES,NO,YES
44,lucban,2.75,3,2.5,2.75,3,3,3,3,2.5,2.25,2.78,3,2.25,3,3,3,3,2.75,3,3,3,3,3,2.5,3,3,3,3,2.95,2.25,3,2.5,2.583333333,A,A,A,AA,B,YES,NO,NO
45,lucban,3,3,2.75,3,3,3,3,3,2,2.5,2.83,3,3,3,2.75,3,3,3,3,3,3,2.5,2.5,2.5,2.75,3,3,3,2.825,2.75,3,2,2.583333333,A,A,AA,A,C,YES,NO,NO
46,lucena,2.5,3,3,3,3,2,2,2,2.25,2,2.48,3,2,3,3,2.5,3,1.75,2.75,2.75,3,3,3,3,2.75,2.5,3,3,2.875,2.5,3,2.25,2.583333333,A,A,A,A,A,YES,NO,NO
47,sta. maria,1.75,1.75,2,1.75,2.25,2,1.75,2,1.75,1.5,1.85,2.75,2.25,2,1.5,2,2.25,1.75,1.75,2.75,2,2.75,2,2,2,2.25,2.75,2.25,2.25,1.5,1.75,1.5,1.583333333,A,AA,A,A,C,NO,NO,YES
48,atimonan,1.5,1.75,2.25,1.75,2.5,2,2.5,2,2,1.5,1.98,2.75,2.75,3,2.25,1.75,2,2.75,2.25,3,2.25,2.75,1.5,1.75,2.25,2.5,3,2.75,2.4,2.75,2,1.5,2.083333333,A,AA,A,AA,C,YES,NO,YES
49,majayjay,3,3,3,3,3,2.75,3,3,2,2.5,2.83,2.75,3,3,3,2.5,3,2.25,2.5,3,2.75,3,3,2.5,2.75,3,3,3,2.85,3,3,1.75,2.583333333,A,BA,A,A,A,NO,NO,NO
50,lucena,1.75,2.25,2,2.5,2.25,2,2.75,3,1.5,1.5,2.15,2.25,2.5,2.25,2,1.75,2.75,1.75,1.75,2.5,2,2.5,1.5,1.5,2.25,2.5,3,2.75,2.225,3,2.25,1.5,2.25,A,A,A,A,A,YES,NO,YES
51,lucban,2.25,2.75,2.75,3,3,3,2.75,3,2,1.75,2.63,2.75,3,2,2.25,2.25,3,2.5,2.25,2,3,2,3,1.75,2.75,3,3,2.75,2.55,2.25,3,2.25,2.5,A,AA,A,A,A,YES,NO,YES
52,luisiana,2.25,2.5,2.25,2.5,2.25,2.25,1.75,2.5,1.5,1.25,2.1,2.25,2.25,2.5,1.75,1.75,2.5,1.75,1.75,2.5,2.5,2.75,3,2.5,2.25,2.5,2.5,2,2.425,2.25,2.25,1.75,2.083333333,AA,AA,A,AA,B,YES,NO,YES
53,lumban,2.5,2.25,2.5,2,3,1.25,2,2.75,1.75,1.75,2.18,2.75,2.5,2.25,1.75,2,2,1.75,1.75,2,2.25,2.5,2.25,2.25,2.5,2.25,2.25,2,2.2,1.75,1.25,1.75,1.583333333,AA,AA,A,A,C,YES,NO,YES
54,lucban,3,3,3,3,3,2,3,3,2.25,2.5,2.78,3,3,3,3,3,2.5,3,2.75,3,3,3,3,2.5,3,3,3,3,2.925,3,3,2.75,2.916666667,A,BA,BA,A,A,NO,NO,NO
55,tayabas,1.75,1.75,2,1.75,3,1.5,2,2.25,1.5,1.25,1.88,2.75,2.75,2,2.75,2,2,1.75,1.75,2,2.25,2.5,2.5,1.75,2.25,2,2.75,1.75,2.15,1.5,1.75,1.5,1.583333333,A,AA,A,AA,A,YES,NO,YES
56,luisiana,2.25,3,2,1.75,2.5,2.5,2.25,1.75,1.75,2.25,2.2,2.75,2.75,1.75,3,3,3,3,2.75,3,3,3,2.5,2.5,2.5,3,3,2,2.725,2.25,3,1.75,2.333333333,A,A,A,A,A,NO,NO,NO
57,pagbilao,1.25,2,1.5,1.5,2.5,2.5,1.75,2.5,1.5,1.25,1.83,3,2.5,1.25,1.75,2.25,2,1.75,1.25,1.75,1.25,1.75,1.25,1.5,1.5,2.25,2,2,1.65,2.25,1.25,1.25,1.583333333,AA,AA,AA,A,A,YES,NO,YES
58,lucban,3,2,2.25,2,2.5,2.25,2.25,3,2,2,2.33,2.75,3,1.75,2,2.75,2.5,2.5,2.5,2.5,1.75,2.5,3,2,2,2.5,2.75,2.5,2.4,2.25,3,2.25,2.5,A,A,A,A,A,YES,NO,NO
59,candelaria,3,3,3,3,3,3,2.5,3,1.75,2.25,2.75,3,3,2.75,3,2.25,3,2.25,2,3,3,3,2,1.75,2.75,2.75,3,3,2.625,3,2.25,2,2.416666667,A,BA,A,A,A,YES,NO,NO
60,pagbilao,1.25,1.25,1.25,1,1.25,1,1.25,1.25,1.5,1.25,1.23,1.75,1.75,1.25,1,1.25,1.5,1.5,1,1.5,1.25,1.25,1.75,1.25,1,1.75,2,1.5,1.425,1.25,1.75,2,1.666666667,AA,AA,AA,AA,C,YES,YES,YES
61,majayjay,1.25,1.5,1.25,1.75,2.25,2,1.5,1.75,1.75,1.5,1.65,1.75,1.25,1.75,1.5,1.75,2.25,1.5,1.75,1.75,1.5,1.25,1.75,1.75,1.5,1.5,1.75,2,1.65,1.75,1.5,1.5,1.583333333,AA,AA,AA,AA,C,YES,YES,YES
62,pangil,2.25,3,2.25,3,2.75,2.5,2.75,3,1.75,1.5,2.48,3,2.75,3,2.25,2.25,2.75,2.25,1.75,3,2.5,2.75,3,1.75,2.25,2.5,2.75,2.75,2.5,2.75,2.5,1.5,2.25,A,AA,A,A,A,YES,NO,YES
63,lopez,1.5,1.75,2.25,2,1.75,1.75,1.25,2.75,1.5,1.25,1.78,3,2.5,2.25,1.5,1.75,2.25,2,1.25,2.5,1.5,1.75,1.75,1.75,2,2.75,2.75,2.5,2.05,2,1.5,1.5,1.666666667,A,AA,AA,A,C,YES,NO,YES
64,lucena,1.75,2,3,2,2.75,2.25,2,3,2,1.5,2.23,2.75,2.75,2.25,2.25,1.75,2.25,1.75,2.25,2.5,2.25,2.5,2,1.5,2.5,2.25,3,2.75,2.35,2.25,2.25,1.5,2,AA,AA,A,AA,C,YES,NO,YES
65,sta. cruz,2.25,2.25,1.75,2.25,2.25,2.75,2.75,2.5,2.25,2,2.3,2.5,2.25,3,1.25,2.25,2.25,2.5,2,2.75,2.75,2.75,2.75,2.25,2.5,2.5,2.75,2.5,2.55,2.25,2.75,1.5,2.166666667,A,A,A,A,A,NO,NO,NO
66,lucban,2,2.25,2.25,2.5,2.5,2,2.75,3,1.75,1.25,2.23,3,2.75,2.5,2,2,2.5,2,1.25,2.25,1.75,2.25,1.25,1.5,2,2,2.5,3,1.975,2.25,1.25,1.5,1.666666667,A,AA,A,AA,A,NO,NO,YES
67,luisiana,2.5,3,1.75,2.25,2.5,2.5,2.25,2.5,2.75,2,2.4,2.25,2.5,1.75,2.25,2.75,2.25,3,2,2.75,1.75,2.25,2.75,2.25,1.75,2.5,3,2.5,2.35,2.5,2.12,2.25,2.29,AA,A,AA,A,C,YES,NO,NO
68,lucban,1.75,2.25,2.25,2,2.5,2.25,2.25,2,1.5,2,2.08,2.5,2.5,2.75,1.75,2.75,2.75,2.5,1.75,2.5,2.75,2.25,2.25,1.75,1.5,3,2.25,2.5,2.25,2.5,2.25,1.75,2.166666667,A,AA,A,A,A,NO,NO,YES
69,magdalena,1.5,1.5,1.25,2.25,1.5,1,1,1.25,1.75,2.25,1.53,1.75,1.75,1.25,1.25,2.25,1.25,1,1,1.75,1.25,1,1.75,1.25,1.5,1.75,1.75,1.5,1.45,1,1,1.75,1.25,AA,AA,AA,AA,B,YES,YES,YES
70,lucena,2.75,2.5,2.5,2.25,2.75,2.5,2.5,3,2,2,2.48,3,3,2.25,2.75,3,3,3,2.75,3,3,3,3,2.25,2.25,3,3,3,2.825,2.75,3,2,2.583333333,AA,A,A,A,A,NO,NO,NO
71,sariaya,2.5,2.5,2.25,1.75,2.75,2.5,2.25,2.5,1.75,2.5,2.33,3,2.5,3,1.75,3,2.75,3,3,3,3,3,3,2,2.25,3,2.75,2.75,2.775,2.75,3,2.25,2.666666667,A,A,AA,A,A,YES,NO,NO
72,sariaya,2.5,2.5,2,2.75,2.25,2,1.75,2.25,1.5,2,2.15,2.75,2.5,3,1.75,3,2.5,2,2,2.75,2.25,2.25,2.5,1.5,2.75,3,3,2.5,2.45,1.75,2.5,1.75,2,AA,AA,AA,AA,B,YES,NO,YES
73,gumaca,3,3,3,3,3,2.25,3,3,2,2.5,2.78,3,3,3,3,2.5,2.75,2.25,2.5,3,3,3,1.75,1.75,2.75,2.5,3,3,2.625,3,3,2.25,2.75,A,AA,A,AA,A,YES,NO,NO
74,guinayangan,2.5,2.25,3,2.5,2.5,2.25,3,2.75,2,1.5,2.43,3,3,2.25,3,2.5,2.75,2.25,2.5,2.25,2.25,2,1.75,1.75,2.75,2.5,3,3,2.375,3,2.25,2.25,2.5,A,AA,A,A,B,YES,NO,YES
75,sariaya,2.25,2.25,1.75,2.25,2.25,2,2,2.25,1.5,2.75,2.13,2.5,2.25,3,1.25,2.25,2.25,2.5,2,2.75,2.75,2.75,2.75,2.25,2.5,2.5,2.75,2.5,2.55,2.25,2.75,1.5,2.166666667,AA,A,A,AA,C,NO,NO,NO
76,tagkawayan,1.25,1.5,1.25,1.5,1.25,1.25,1.75,1.5,1.5,2,1.48,1.5,1.75,1,1,1.25,1.75,1.5,1,2,1.5,1.25,1.5,1,1.5,1.5,1.75,2,1.5,1.5,1.75,1.5,1.583333333,AA,AA,AA,AA,A,YES,YES,YES
77,lucena,3,2.75,2.5,3,3,2.5,3,3,2.25,1.5,2.65,3,3,2.5,2.5,2.5,3,2.25,2.5,3,2.75,3,3,2,2.5,2.5,3,2.75,2.7,3,3,2,2.666666667,AA,A,AA,A,A,YES,NO,NO
78,tayabas,2.25,2.5,2.25,2.5,2.25,2.25,1.75,2.5,1.5,1.25,2.1,2.25,2.25,2.5,1.75,1.75,2.5,1.75,1.75,2.5,2.5,2.75,3,2.5,2.25,2.5,2.5,2,2.425,2.25,2.25,1.75,2.083333333,A,AA,A,A,A,YES,NO,YES
79,sampaloc,1.25,1.5,1.25,1.5,1.25,1.25,1.75,1.5,1.5,2,1.48,1.5,1.75,1,1,1.25,1.75,1.5,1,2,1.5,1.25,1.5,1,1.5,1.5,1.75,2,1.5,1.5,1.75,1.5,1.583333333,AA,AA,AA,A,A,YES,YES,YES
80,lucban,2.5,2.75,2.5,2.75,3,2.5,2.75,3,2,2,2.58,3,3,3,2.5,2.75,3,3,2.5,2.75,3,3,3,2.25,1.75,3,3,3,2.725,3,3,1.75,2.583333333,A,A,A,A,A,YES,NO,NO
81,lucban,2.25,3,3,2.75,3,2.75,2.75,3,2.25,2,2.68,3,3,3,3,2,3,2.75,3,3,3,3,2.75,2.25,3,2.75,3,3,2.875,2.75,3,3,2.916666667,A,A,A,AA,B,NO,NO,NO
82,unisan,2,2,2.75,2.25,2.5,2,1.5,3,2,1.25,2.13,2.25,2.5,2.25,2,2,2.25,1.5,1.5,2.25,1.75,2.5,2,1.5,2,1.75,3,2.25,2.05,2.25,2,1.5,1.916666667,A,AA,A,A,B,YES,NO,YES
83,lucena,3,3,2.2,3,2.75,2,3,2.5,1.75,1.75,2.5,3,3,2,2.75,3,3,3,3,3,3,3,3,2.25,2.5,3,3,3,2.875,3,3,1.75,2.583333333,A,AA,A,A,A,YES,NO,NO
84,tayabas,2.75,2.5,2.5,2.25,2.75,2.5,2.5,3,2,2,2.48,3,3,2.25,2.75,3,3,3,2.75,3,3,3,3,2.25,2.25,3,3,3,2.825,2.75,3,2,2.583333333,A,A,A,A,A,NO,NO,NO
85,luisiana,2.25,3,2.25,2.5,2,2.25,2,3,2.25,2.5,2.4,3,2.75,2.5,2.25,2.75,2.5,3,2.5,2.5,2.25,2.5,2.75,1.5,2,2.75,3,3,2.475,2.75,2.75,2,2.5,A,A,A,A,B,YES,NO,NO
86,nagcarlan,2.25,2.5,2,2,3,2,1.5,2.25,1.75,1.75,2.1,2.75,2,2,1.75,2.25,1.5,1.5,1.75,2,1.75,2.75,2.25,2.75,2,2,2.5,2,2.175,1.5,1.75,2,1.75,A,AA,A,AA,B,YES,NO,YES
87,lucena,1.75,1.75,2,1.5,1.5,1.25,1.25,2.5,1.5,1.25,1.63,2.25,2,1.5,1.25,1,1.25,1.5,1,1.75,1.5,2,1.5,1.25,1.75,1.25,2,1.5,1.55,1.25,1,1.25,1.166666667,AA,AA,A,AA,C,YES,NO,YES
88,luisiana,3,3,3,3,3,2,3,3,1.75,1.75,2.65,3,3,3,3,3,2.5,3,2.75,3,3,3,3,2.5,3,3,3,3,2.925,3,3,2.75,2.916666667,AA,AA,A,A,A,YES,NO,NO
89,lucena,2,2,2,1.75,2.25,3,1.5,2.25,1.5,1.5,1.98,2.75,2.5,2,1.5,1.75,2.5,1.75,1.5,2.75,2,2,1.75,1.5,1.75,2.5,2.25,2.25,2.025,1.5,1.75,1.25,1.5,AA,AA,A,A,A,NO,NO,YES
90,san francisco,2.25,2.5,2.25,1.75,2.25,1.75,2.25,2.5,2,2.25,2.18,2.5,2.25,1.75,2.5,2.5,3,2.75,2.5,3,3,1.75,2.25,2,2,2,2.5,2.75,2.375,3,3,2,2.666666667,AA,AA,A,AA,A,NO,NO,YES
91,lucena,2,2,2.75,2.25,2.5,2,1.5,3,2,1.25,2.13,3,2.5,2.25,2,2,2.25,1.5,1.5,2.25,1.75,2.5,2,1.5,2,1.75,3,2.25,2.05,2.25,2,1.5,1.916666667,A,AA,A,A,B,YES,NO,YES
92,sariaya,1.75,1.75,2,1.5,1.5,1.25,1.25,2.5,1.5,1.25,1.63,2.25,2,1.5,1.25,1,1.25,1.5,1,1.75,1.5,2,1.5,1.25,1.75,1.25,2,1.5,1.55,1.25,1,1.25,1.166666667,A,AA,A,AA,A,NO,NO,YES
93,lucena,2,2,2,1.75,2.25,3,1.5,2.25,1.5,1.5,1.98,2.75,2.5,2,1.5,1.75,2.5,1.75,1.5,2.75,2,2,1.75,1.5,1.75,2.5,2.25,2.25,2.025,1.5,1.75,1.25,1.5,A,AA,A,A,B,NO,NO,YES
94,dolores,2.5,3,3,3,2.75,1.75,2.5,2.5,1.75,2.5,2.53,2.75,2.75,3,2.25,3,2.5,3,2.5,2.75,3,2.25,2.75,2.25,2.25,3,3,3,2.675,3,2.25,2.75,2.666666667,A,AA,A,AA,A,YES,NO,NO
95,gumaca,3,2.5,2.75,2.5,3,3,1.75,1.75,2.5,2.5,2.53,3,3,3,2.5,2.25,3,2,2.5,3,3,3,3,2,2.5,3,3,2.5,2.75,2.25,3,3,2.75,A,A,A,A,A,NO,NO,NO
96,majayjay,1.5,1.75,1.75,1.5,1.75,1.5,1.25,2,1.5,1.25,1.58,2.25,2.25,2,1.25,2,1.75,1.75,1,2.5,1.25,1.75,1.25,1.25,1.75,2.5,2,2,1.725,1.5,1,1.25,1.25,AA,AA,A,AA,A,YES,YES,YES
97,pagsanjan,2.5,3,3,2.25,3,3,2.25,3,2.25,2,2.63,3,3,3,3,2.25,2.75,2,3,3,3,3,2.5,2.75,2.5,2.75,3,3,2.85,2.5,2.75,2.25,2.5,AA,A,A,A,A,YES,NO,NO
