Daily Time Spent on Site,Age,Area Income,Daily Internet Usage,Ad Topic Line,City,Male,Country,Timestamp,Clicked on Ad
54.7,36,31087.54,118.39,Grass-roots solution-oriented conglomeration,Jessicastad,1,British Indian Ocean Territory (Chagos Archipelago),2/13/2016 7:53,1
74.58,40,23821.72,135.51,Advanced 24/7 productivity,Millertown,1,Russian Federation,2/27/2016 4:43,1
77.22,30,64802.33,224.44,Object-based reciprocal knowledgebase,Port Jacqueline,1,Cameroon,1/5/2016 7:52,0
84.59,35,60015.57,226.54,Streamlined non-volatile analyzer,Lake Nicole,1,Cameroon,3/18/2016 13:22,0
41.49,52,32635.7,164.83,Mandatory disintermediate utilization,South John,0,Burundi,5/20/2016 8:49,1
87.29,36,61628.72,209.93,Future-proofed methodical protocol,Pamelamouth,1,Korea,3/23/2016 9:43,0
41.39,41,68962.32,167.22,Exclusive neutral parallelism,Harperborough,0,Tokelau,6/13/2016 17:27,1
78.74,28,64828,204.79,Public-key foreground groupware,Port Danielleberg,1,Monaco,5/27/2016 15:25,0
48.53,28,38067.08,134.14,Ameliorated client-driven forecast,West Jeremyside,1,Tuvalu,2/8/2016 10:46,1
51.95,52,58295.82,129.23,Monitored systematic hierarchy,South Cathyfurt,0,Greece,7/19/2016 8:32,1
70.2,34,32708.94,119.2,Open-architected impactful productivity,Palmerside,0,British Virgin Islands,4/14/2016 5:08,1
76.02,22,46179.97,209.82,Business-focused value-added definition,West Guybury,0,Bouvet Island (Bouvetoya),1/27/2016 12:38,0
67.64,35,51473.28,267.01,Programmable asymmetric data-warehouse,Phelpschester,1,Peru,7/2/2016 20:23,0
86.41,28,45593.93,207.48,Digitized static capability,Lake Melindamouth,1,Aruba,3/1/2016 22:13,0
59.05,57,25583.29,169.23,Digitized global capability,North Richardburgh,1,Maldives,7/15/2016 5:05,1
55.6,23,30227.98,212.58,Multi-layered 4thgeneration knowledge user,Port Cassie,0,Senegal,1/14/2016 14:00,1
57.64,57,45580.92,133.81,Synchronized dedicated service-desk,New Thomas,1,Dominica,3/15/2016 3:12,1
84.37,30,61389.5,201.58,Synchronized systemic hierarchy,Johnstad,0,Luxembourg,4/12/2016 3:26,0
62.26,53,56770.79,125.45,Profound stable product,West Aprilport,1,Montenegro,4/7/2016 15:18,1
65.82,39,76435.3,221.94,Reactive demand-driven capacity,Kellytown,0,Ukraine,2/9/2016 5:28,0
50.43,46,57425.87,119.32,Persevering needs-based open architecture,Charlesport,1,Saint Helena,5/7/2016 17:11,1
38.93,39,27508.41,162.08,Intuitive exuding service-desk,Millerchester,0,Liberia,3/11/2016 6:49,1
84.98,29,57691.95,202.61,Innovative user-facing extranet,Mackenziemouth,0,Russian Federation,4/27/2016 9:27,0
64.24,30,59784.18,252.36,Front-line intermediate database,Zacharystad,0,Tunisia,4/16/2016 11:53,0
82.52,32,66572.39,198.11,Persevering exuding system engine,North Joshua,1,Turkmenistan,5/8/2016 15:38,0
81.38,31,64929.61,212.3,Balanced dynamic application,Bowenview,0,Saint Helena,2/8/2016 0:23,0
80.47,25,57519.64,204.86,Reduced global support,Jamesberg,0,Niger,2/11/2016 13:26,0
37.68,52,53575.48,172.83,Organic leadingedge secured line,Lake Cassandraport,1,Turkmenistan,2/17/2016 13:16,1
69.62,20,50983.75,202.25,Business-focused encompassing neural-net,New Sharon,1,Qatar,2/26/2016 22:46,0
85.4,43,67058.72,198.72,Triple-buffered demand-driven alliance,Johnport,0,Sri Lanka,6/8/2016 18:54,0
44.33,37,52723.34,123.72,Visionary maximized process improvement,Hamiltonfort,1,Trinidad and Tobago,1/8/2016 9:32,1
48.01,46,54286.1,119.93,Centralized 24/7 installation,West Christopher,0,Italy,4/25/2016 11:01,1
73.18,23,61526.25,196.71,Organized static focus group,Hollandberg,1,British Virgin Islands,4/4/2016 7:07,0
79.94,28,58526.04,225.29,Visionary reciprocal circuit,Odomville,0,United Kingdom,5/3/2016 21:19,0
33.33,45,53350.11,193.58,Pre-emptive value-added workforce,East Samanthashire,1,Guinea-Bissau,1/17/2016 9:31,1
50.33,50,62657.53,133.2,Sharable analyzing alliance,South Lauraton,1,Micronesia,3/2/2016 4:57,1
62.31,47,62722.57,119.3,Team-oriented encompassing portal,Amandahaven,0,Turkey,2/14/2016 7:36,1
80.6,31,67479.62,177.55,Sharable bottom-line solution,Thomasview,0,Croatia,4/7/2016 3:56,0
65.19,36,75254.88,150.61,Cross-group regional website,Garciaside,0,Israel,2/17/2016 11:42,1
44.98,49,52336.64,129.31,Organized global model,Port Sarahshire,0,Svalbard & Jan Mayen Islands,4/10/2016 0:13,1
77.63,29,56113.37,239.22,Upgradable asynchronous circuit,Port Gregory,0,Azerbaijan,2/14/2016 17:05,0
41.82,41,24852.9,156.36,Phased transitional instruction set,Brendachester,0,Iran,5/26/2016 22:49,1
85.61,27,47708.42,183.43,Customer-focused empowering ability,Lake Amy,0,Burundi,4/30/2016 8:07,0
85.84,34,64654.66,192.93,Front-line heuristic data-warehouse,Lake Annashire,1,Saint Vincent and the Grenadines,6/15/2016 5:30,0
72.08,29,71228.44,169.5,Stand-alone national attitude,Smithburgh,0,Burundi,3/9/2016 14:45,0
86.06,32,61601.05,178.92,Focused upward-trending core,North Leonmouth,1,Bulgaria,3/31/2016 20:55,0
45.96,45,66281.46,141.22,Streamlined cohesive conglomeration,Robertfurt,0,Christmas Island,6/3/2016 0:55,1
62.42,29,73910.9,198.5,Upgradable optimizing toolset,Jasminefort,1,Canada,3/10/2016 23:36,0
63.89,40,51317.33,105.22,Synchronized user-facing core,Jensenborough,0,Rwanda,1/8/2016 0:17,1
35.33,32,51510.18,200.22,Organized client-driven alliance,Bradleyburgh,0,Turks and Caicos Islands,6/5/2016 22:11,1
75.74,25,61005.87,215.25,Ergonomic multi-state structure,New Sheila,1,Tunisia,1/16/2016 11:35,0
78.53,34,32536.98,131.72,Synergized multimedia emulation,North Regina,0,Norfolk Island,4/22/2016 20:10,1
46.13,31,60248.97,139.01,Customer-focused optimizing moderator,Davidmouth,0,Bouvet Island (Bouvetoya),2/1/2016 9:00,1
69.01,46,74543.81,222.63,Advanced full-range migration,New Michaeltown,0,Turks and Caicos Islands,7/7/2016 13:37,0
55.35,39,75509.61,153.17,De-engineered object-oriented protocol,East Tammie,1,Cook Islands,3/8/2016 0:37,1
33.21,43,42650.32,167.07,Polarized clear-thinking budgetary management,Wilcoxport,1,Turkey,5/10/2016 17:39,1
38.46,42,58183.04,145.98,Customizable 6thgeneration knowledge user,East Michaelmouth,1,Guatemala,4/6/2016 11:24,1
64.1,22,60465.72,215.93,Seamless object-oriented structure,East Tiffanyport,0,Cote d'Ivoire,4/1/2016 16:21,0
49.81,35,57009.76,120.06,Seamless real-time array,Ramirezhaven,1,Faroe Islands,1/5/2016 4:18,1
82.73,33,54541.56,238.99,Grass-roots impactful system engine,Cranemouth,1,Qatar,5/20/2016 21:31,0
56.14,38,32689.04,113.53,Devolved tangible approach,Lake Edward,1,Ireland,2/3/2016 7:59,1
55.13,45,55605.92,111.71,Customizable executive software,Lake Conniefurt,0,Ukraine,2/17/2016 21:55,1
78.11,27,63296.87,209.25,Progressive analyzing attitude,East Shawnchester,1,Moldova,1/30/2016 16:10,0
73.46,28,65653.47,222.75,Innovative executive encoding,West Joseph,1,Nicaragua,5/15/2016 14:41,0
56.64,38,61652.53,115.91,Down-sized uniform info-mediaries,Lake Christopherfurt,0,Montserrat,1/5/2016 17:56,1
68.94,54,30726.26,138.71,Streamlined next generation implementation,East Tylershire,0,Timor-Leste,4/19/2016 7:34,1
70.79,31,74535.94,184.1,Distributed tertiary system engine,Sharpberg,0,Bouvet Island (Bouvetoya),3/15/2016 15:49,0
57.76,41,47861.93,105.15,Triple-buffered scalable groupware,Lake Dustin,0,Puerto Rico,6/12/2016 15:25,1
77.51,36,73600.28,200.55,Total 5thgeneration encoding,North Kristine,0,Central African Republic,7/1/2016 4:41,0
52.7,34,58543.94,118.6,Integrated human-resource encoding,Grahamberg,1,Venezuela,5/8/2016 12:12,1
57.7,34,42696.67,109.07,Phased dynamic customer loyalty,New Tina,0,Australia,3/14/2016 23:13,1
56.89,37,37334.78,109.29,Open-source coherent policy,Nelsonfurt,1,Wallis and Futuna,5/25/2016 0:19,1
69.9,43,71392.53,138.35,Down-sized modular intranet,Christopherport,0,Jersey,5/13/2016 11:51,1
55.79,24,59550.05,149.67,Pre-emptive content-based focus group,Port Sarahhaven,0,Puerto Rico,2/20/2016 20:47,1
70.03,26,64264.25,227.72,Versatile 4thgeneration system engine,Bradleyborough,1,Samoa,5/22/2016 20:49,0
50.08,40,64147.86,125.85,Ergonomic full-range time-frame,Whiteport,1,Greece,4/10/2016 2:02,1
43.67,31,25686.34,166.29,Automated directional function,New Theresa,1,Antarctica (the territory South of 60 deg S),2/28/2016 6:41,1
72.84,26,52968.22,238.63,Progressive empowering alliance,Wongland,0,Albania,7/8/2016 21:18,0
45.72,36,22473.08,154.02,Versatile homogeneous capacity,Williammouth,1,Hong Kong,4/19/2016 15:14,1
39.94,41,64927.19,156.3,Function-based optimizing protocol,Williamsborough,0,Lithuania,1/8/2016 22:47,1
35.61,46,51868.85,158.22,Up-sized secondary software,North Michael,0,Egypt,3/28/2016 8:46,1
79.71,34,69456.83,211.65,Seamless holistic time-frame,Benjaminchester,1,Bangladesh,7/2/2016 14:57,0
41.49,53,31947.65,169.18,Persevering reciprocal firmware,Hernandezville,0,Western Sahara,7/3/2016 9:22,1
63.6,23,51864.77,235.28,Centralized logistical secured line,Youngburgh,1,Serbia,6/1/2016 9:27,0
89.91,40,59593.56,194.23,Innovative background conglomeration,Wallacechester,0,Maldives,7/9/2016 14:55,0
68.18,21,48376.14,218.17,Switchable 3rdgeneration hub,Sanchezmouth,1,Czech Republic,2/9/2016 22:04,0
66.49,20,56884.74,202.16,Polarized 6thgeneration info-mediaries,Bradshawborough,0,Guernsey,6/10/2016 11:31,0
80.49,40,67186.54,229.12,Balanced heuristic approach,Amyhaven,1,Tanzania,2/14/2016 3:50,0
72.23,25,46557.92,241.03,Focused 24hour implementation,Marcushaven,1,Bhutan,7/5/2016 17:17,0
42.39,42,66541.05,150.99,De-engineered mobile infrastructure,Erinton,0,Christmas Island,4/28/2016 5:50,1
47.53,30,33258.09,135.18,Customer-focused upward-trending contingency,Hughesport,0,Guinea,4/3/2016 5:10,1
74.02,32,72272.9,210.54,Operative system-worthy protocol,Johnstad,0,Micronesia,3/9/2016 14:57,0
66.63,60,60333.38,176.98,User-friendly upward-trending intranet,New Lucasburgh,0,Madagascar,1/16/2016 23:37,1
63.24,53,65229.13,235.78,Future-proofed holistic superstructure,Michelleside,1,Lebanon,7/3/2016 4:33,1
71,22,56067.38,211.87,Extended systemic policy,Andersonton,0,Eritrea,3/14/2016 6:46,0
46.13,46,37838.72,123.64,Horizontal hybrid challenge,New Rachel,1,Guyana,1/9/2016 5:44,1
69,32,72683.35,221.21,Virtual composite model,Port Susan,1,Trinidad and Tobago,2/11/2016 4:37,0
76.99,31,56729.78,244.34,Switchable mobile framework,West Angelabury,1,Jersey,6/22/2016 7:33,0
72.6,55,66815.54,162.95,Focused intangible moderator,Port Christopherborough,0,United Arab Emirates,7/13/2016 16:12,1
61.88,42,60223.52,112.19,Balanced actuating moderator,Phillipsbury,1,Martinique,7/23/2016 11:46,1
84.45,50,29727.79,207.18,Customer-focused transitional strategy,Millerside,0,Somalia,7/13/2016 4:10,1
88.97,45,49269.98,152.49,Advanced web-enabled standardization,Lake Jessica,0,Bhutan,6/11/2016 18:32,1
86.19,31,57669.41,210.26,Pre-emptive executive knowledgebase,Lopezmouth,1,Greece,5/8/2016 12:51,0
49.58,26,56791.75,231.94,Self-enabling holistic process improvement,Johnsport,0,Benin,4/7/2016 16:02,0
77.65,27,63274.88,212.79,Horizontal client-driven hierarchy,South Ronald,0,Papua New Guinea,2/4/2016 13:30,0
37.75,36,35466.8,225.24,Polarized dynamic throughput,South Daniel,0,Uzbekistan,2/26/2016 19:48,1
62.33,43,68787.09,127.11,Devolved zero administration intranet,Suzannetown,0,South Africa,6/21/2016 13:15,1
79.57,31,61227.59,230.93,User-friendly asymmetric info-mediaries,Lisaberg,0,Egypt,5/17/2016 4:27,0
80.31,44,56366.88,127.07,Cross-platform regional task-force,Brianfurt,0,Hungary,4/18/2016 15:54,1
89.05,45,57868.44,206.98,Polarized bandwidth-monitored moratorium,Stewartbury,0,Falkland Islands (Malvinas),4/3/2016 10:07,0
70.41,27,66618.21,223.03,Centralized systematic knowledgebase,Benjaminchester,0,Dominica,4/4/2016 21:30,0
67.36,37,73104.47,233.56,Future-proofed grid-enabled implementation,North Wesleychester,0,Jersey,7/6/2016 16:00,0
46.98,50,21644.91,175.37,Down-sized well-modulated archive,East Michelleberg,0,Lithuania,5/4/2016 9:00,1
41.67,36,53817.02,132.55,Realigned zero tolerance emulation,Port Eric,0,Saint Martin,6/13/2016 18:50,1
51.24,36,76368.31,176.73,Versatile transitional monitoring,Timothyfurt,0,Cuba,1/3/2016 16:01,1
75.7,29,67633.44,215.44,Profound zero administration instruction set,Port Jeffrey,0,United States Minor Outlying Islands,1/14/2016 0:23,0
43.49,47,50335.46,127.83,User-centric intangible task-force,Guzmanland,0,Belize,1/12/2016 10:07,1
49.89,39,17709.98,160.03,Enhanced system-worthy application,East Michele,1,Belize,4/16/2016 12:09,1
38.37,36,41229.16,140.46,Multi-layered user-facing paradigm,East John,0,Antarctica (the territory South of 60 deg S),5/13/2016 6:09,1
38.52,38,42581.23,137.28,Customer-focused 24/7 concept,Lesliebury,1,Saint Vincent and the Grenadines,3/27/2016 23:59,1
71.89,23,61617.98,172.81,Function-based transitional complexity,Patriciahaven,1,Kuwait,2/3/2016 23:47,0
75.8,38,70575.6,146.19,Progressive clear-thinking open architecture,Ashleychester,1,Thailand,4/18/2016 11:23,0
83.86,31,64122.36,190.25,Up-sized executive moderator,Lake Josetown,0,Gibraltar,2/5/2016 19:06,0
37.51,30,52097.32,163,Re-contextualized optimal service-desk,Debraburgh,1,Holy See (Vatican City State),3/21/2016 18:46,1
55.6,44,65953.76,124.38,Fully-configurable neutral open system,New Debbiestad,1,Korea,6/14/2016 11:59,1
83.67,44,60192.72,234.26,Upgradable system-worthy array,West Shaun,1,Saint Helena,2/6/2016 23:08,0
69.08,41,77460.07,210.6,Ergonomic client-driven application,Kimberlyhaven,0,Turks and Caicos Islands,3/12/2016 1:39,0
37.47,44,45716.48,141.89,Realigned content-based leverage,Port Lawrence,1,Czech Republic,1/26/2016 3:56,1
56.04,49,65120.86,128.95,Decentralized real-time circuit,West Ricardo,1,Netherlands,2/7/2016 8:02,1
70.92,41,49995.63,108.16,Polarized modular function,Lake Jose,1,Belarus,5/5/2016 7:58,1
49.78,46,71718.51,152.24,Enterprise-wide client-driven contingency,Heatherberg,0,Dominica,6/29/2016 2:43,1
68.61,57,61770.34,150.29,Diverse modular interface,South George,0,South Africa,4/10/2016 19:48,1
58.18,25,69112.84,176.28,Polarized analyzing concept,Tinachester,1,New Zealand,2/10/2016 6:37,0
78.54,35,72524.86,172.1,Multi-channeled asynchronous open system,Port Jodi,0,Togo,5/28/2016 20:41,0
37,48,36782.38,158.22,Function-based context-sensitive secured line,Jonathantown,1,Kenya,3/24/2016 6:36,1
65.4,33,66699.12,247.31,Adaptive 24hour Graphic Interface,Sylviaview,0,Palau,2/12/2016 22:51,0
79.52,27,64287.78,183.48,Automated coherent flexibility,East Timothyport,1,Timor-Leste,6/10/2016 10:11,0
87.98,38,56637.59,222.11,Focused scalable complexity,West Roytown,1,Cambodia,3/31/2016 10:44,0
44.64,36,55787.58,127.01,Up-sized incremental encryption,Codyburgh,0,Belize,2/14/2016 6:51,1
41.73,28,61142.33,202.18,Sharable dedicated Graphic Interface,Port Erikhaven,1,Cuba,1/7/2016 19:16,1
80.46,27,61625.87,207.96,Digitized zero administration paradigm,Port Chasemouth,1,Costa Rica,2/4/2016 2:13,0
75.55,36,73234.87,159.24,Managed grid-enabled standardization,Ramirezside,0,Liechtenstein,5/9/2016 2:58,1
76.32,35,74166.24,195.31,Networked foreground definition,East Michaeltown,1,Korea,6/23/2016 0:16,0
82.68,33,62669.59,222.77,Re-engineered exuding frame,West Courtney,1,Ukraine,6/20/2016 9:35,0
72.01,31,57756.89,251,Horizontal multi-state interface,West Michaelhaven,0,Angola,2/29/2016 12:31,0
75.83,24,58019.64,162.44,Diverse stable circuit,Walshhaven,0,Nauru,1/17/2016 15:10,0
41.28,50,50960.08,140.39,Universal 24/7 implementation,East Rachelview,0,Equatorial Guinea,1/29/2016 3:54,1
34.66,32,48246.6,194.83,Customer-focused multi-tasking Internet solution,Curtisport,0,Mongolia,7/14/2016 12:07,1
66.18,55,28271.84,143.42,Vision-oriented contextually-based extranet,Frankbury,0,Svalbard & Jan Mayen Islands,1/10/2016 23:14,1
86.06,31,53767.12,219.72,Extended local methodology,Timothytown,1,Timor-Leste,4/28/2016 18:34,0
59.59,42,43662.1,104.78,Re-engineered demand-driven capacity,Samanthaland,1,Brazil,7/6/2016 18:36,1
86.69,34,62238.58,198.56,Customer-focused attitude-oriented instruction set,South Jennifer,0,Chad,5/27/2016 6:19,0
43.77,52,49030.03,138.55,Synergized hybrid time-frame,Kyleborough,1,Portugal,1/25/2016 7:39,1
71.84,47,76003.47,199.79,Advanced exuding conglomeration,North Randy,1,Malawi,5/8/2016 22:47,0
80.23,31,68094.85,196.23,Secured clear-thinking middleware,South Daniellefort,0,Qatar,3/19/2016 14:23,0
74.41,26,64395.85,163.05,Right-sized value-added initiative,Dianashire,0,Singapore,7/23/2016 4:37,0
63.36,48,70053.27,137.43,Centralized tertiary pricing structure,East Eric,0,Guinea,6/23/2016 1:22,1
71.74,35,72423.97,227.56,Multi-channeled reciprocal artificial intelligence,Hammondport,0,Kazakhstan,7/19/2016 18:06,0
60.72,44,42995.8,105.69,Synergized context-sensitive database,Jacobstad,0,Kuwait,2/28/2016 18:52,1
72.04,22,60309.58,199.43,Realigned systematic function,Hernandezfort,0,Rwanda,2/10/2016 6:52,0
44.57,31,38349.78,133.17,Adaptive context-sensitive application,Joneston,1,China,3/27/2016 9:11,1
85.86,34,63115.34,208.23,Networked high-level structure,New Jeffreychester,0,Bouvet Island (Bouvetoya),5/23/2016 2:15,0
39.85,38,31343.39,145.96,Profit-focused dedicated utilization,East Stephen,0,Vietnam,1/3/2016 3:22,1
84.53,27,40763.13,168.34,Stand-alone tangible moderator,Turnerchester,0,Guatemala,1/4/2016 21:48,1
62.95,60,36752.24,157.04,Polarized tangible collaboration,Youngfort,0,Peru,5/24/2016 13:30,1
67.58,41,65044.59,255.61,Focused high-level conglomeration,Ingramberg,1,Mayotte,2/1/2016 19:42,0
85.56,29,53673.08,210.46,Advanced modular Local Area Network,South Denisefurt,0,Samoa,6/5/2016 13:16,0
46.88,54,43444.86,136.64,Virtual scalable secured line,Port Melissaberg,0,Singapore,2/4/2016 8:53,1
46.31,57,44248.52,153.98,Front-line fault-tolerant intranet,Bernardton,1,Jamaica,3/24/2016 13:37,1
77.95,31,62572.88,233.65,Inverse asymmetric instruction set,Port Mathew,1,Bahamas,6/2/2016 21:02,0
84.73,30,39840.55,153.76,Synchronized leadingedge help-desk,Aliciatown,0,Canada,2/21/2016 7:42,1
39.86,36,32593.59,145.85,Total 5thgeneration standardization,Josephstad,0,Algeria,6/26/2016 17:16,1
50.08,30,41629.86,123.91,Sharable grid-enabled matrix,West Ericfurt,0,Fiji,1/3/2016 5:34,1
60.23,35,43313.73,106.86,Balanced asynchronous hierarchy,New Brendafurt,0,Kenya,3/8/2016 18:00,1
60.7,49,42993.48,110.57,Monitored object-oriented Graphic Interface,Port Julie,1,Argentina,6/19/2016 3:19,1
43.67,53,46004.31,143.79,Cloned analyzing artificial intelligence,South Tiffanyton,1,Bouvet Island (Bouvetoya),7/21/2016 21:16,1
77.2,33,49325.48,254.05,Persistent homogeneous framework,North Elizabeth,1,Philippines,2/12/2016 20:36,0
71.86,32,51633.34,116.53,Face-to-face even-keeled website,Kentmouth,0,Senegal,5/17/2016 6:14,1
44.78,45,63363.04,137.24,Extended context-sensitive monitoring,West Casey,1,Suriname,7/9/2016 11:04,1
78.57,36,64045.93,239.32,Exclusive client-driven model,East Henry,1,Liberia,3/27/2016 2:35,0
73.41,31,73049.3,201.26,Profound executive flexibility,Hollyfurt,1,Guam,1/16/2016 8:01,0
77.05,27,66624.6,191.14,Reduced bi-directional strategy,North Anna,0,United Arab Emirates,1/21/2016 23:48,0
66.4,40,77567.85,214.42,Digitized heuristic solution,Port Destiny,0,Antigua and Barbuda,6/5/2016 0:29,0
69.35,29,53431.35,252.77,Seamless 4thgeneration contingency,Ianmouth,1,Argentina,2/13/2016 15:37,0
35.65,40,31265.75,172.58,Seamless intangible secured line,North Johntown,1,Georgia,5/10/2016 7:22,1
70.04,31,74780.74,183.85,Intuitive radical forecast,Hannahside,1,Jordan,3/27/2016 3:59,0
69.78,29,70410.11,218.79,Multi-layered non-volatile Graphical User Interface,Wilsonburgh,0,Saudi Arabia,5/24/2016 18:35,0
58.22,29,37345.24,120.9,User-friendly client-server instruction set,North Russellborough,0,South Africa,2/11/2016 2:40,1
76.9,28,66107.84,212.67,Synchronized multimedia model,Murphymouth,0,Croatia,4/22/2016 8:31,0
84.08,30,62336.39,187.36,Face-to-face intermediate approach,Carterburgh,1,Fiji,1/13/2016 2:58,0
59.51,58,39132.64,140.83,Assimilated fault-tolerant hub,Penatown,0,Australia,6/16/2016 2:01,1
40.15,38,38745.29,134.88,Exclusive disintermediate task-force,Joechester,1,Sao Tome and Principe,6/27/2016 18:37,1
76.81,28,65172.22,217.85,Managed zero tolerance concept,East Paul,1,Fiji,7/3/2016 12:57,0
41.89,38,68519.96,163.38,Compatible systemic function,Hartmanchester,0,Cyprus,2/3/2016 4:21,1
76.87,27,54774.77,235.35,Configurable fault-tolerant monitoring,Mcdonaldfort,1,Kyrgyz Republic,5/29/2016 21:17,0
67.28,43,76246.96,155.8,Future-proofed coherent hardware,North Mercedes,1,Pakistan,4/3/2016 21:13,1
81.98,40,65461.92,229.22,Ameliorated upward-trending definition,Taylorberg,0,Seychelles,4/15/2016 11:51,0
66.01,23,34127.21,151.95,Front-line tangible alliance,Hansenmouth,0,Samoa,6/21/2016 3:14,1
61.57,53,35253.98,125.94,Progressive 24hour forecast,Bradyfurt,1,Bulgaria,3/14/2016 14:13,1
53.3,34,44893.71,111.94,Self-enabling optimal initiative,West Jessicahaven,0,Mauritania,5/6/2016 21:07,1
34.87,40,59621.02,200.23,Configurable logistical Graphical User Interface,Davilachester,0,Czech Republic,6/12/2016 17:52,1
43.6,38,20856.54,170.49,Virtual bandwidth-monitored initiative,North Ricardotown,0,Chile,1/11/2016 7:36,1
77.88,37,55353.41,254.57,Multi-tiered human-resource structure,Melissafurt,0,Poland,7/2/2016 0:24,0
75.83,27,67516.07,200.59,Managed upward-trending instruction set,East Brianberg,0,Estonia,3/4/2016 10:13,0
49.95,39,68737.75,136.59,Cloned object-oriented benchmark,Millerbury,0,Turkmenistan,3/24/2016 9:12,1
60.94,41,76893.84,154.97,Fundamental fault-tolerant neural-net,Garciaview,0,Latvia,2/14/2016 7:30,1
89.15,42,59886.58,171.07,Phased zero administration success,Townsendfurt,0,Fiji,4/25/2016 7:30,0
78.7,30,53441.69,133.99,Compatible intangible customer loyalty,Williamstad,0,Turkey,2/10/2016 19:20,1
57.35,29,41356.31,119.84,Distributed 3rdgeneration definition,West Connor,0,Kazakhstan,4/23/2016 14:34,1
34.86,38,49942.66,154.75,Pre-emptive cohesive budgetary management,West Justin,0,Bahrain,6/18/2016 17:56,1
70.68,31,74430.08,199.08,Configurable multi-state utilization,Robertbury,0,Colombia,7/17/2016 1:58,0
76.06,23,58633.63,201.04,Diverse multi-tasking parallelism,New Tinamouth,0,Brunei Darussalam,4/27/2016 4:28,0
66.67,33,72707.87,228.03,Horizontal content-based synergy,Turnerview,1,Taiwan,4/21/2016 20:29,0
46.77,32,31092.93,136.4,Multi-tiered maximized archive,Reneechester,1,Serbia,3/23/2016 6:00,1
62.42,38,74445.18,143.94,Diverse executive groupware,West Tinashire,0,Saint Pierre and Miquelon,7/19/2016 7:59,1
78.32,28,49309.14,239.52,Synergized cohesive array,Jamesfurt,0,Australia,6/26/2016 11:52,1
37.32,50,56735.14,199.25,Versatile dedicated software,New Nancy,1,Chad,3/30/2016 23:40,1
40.42,45,40183.75,133.9,Stand-alone reciprocal synergy,Lisamouth,1,Norway,3/16/2016 7:59,1
76.77,36,58348.41,123.51,Universal even-keeled analyzer,Harveyport,0,Turks and Caicos Islands,5/4/2016 0:01,1
65.65,30,72209.99,158.05,Up-sized tertiary contingency,Ramosstad,0,Finland,7/2/2016 21:22,0
74.32,33,62060.11,128.17,Monitored real-time superstructure,North Kevinside,0,South Africa,5/23/2016 21:14,1
73.27,32,67113.46,234.75,Streamlined analyzing initiative,Haleview,1,Martinique,1/29/2016 20:16,0
80.03,44,24030.06,150.84,Automated static concept,Christinetown,0,Afghanistan,7/23/2016 14:47,1
53.68,47,56180.93,115.26,Operative stable moderator,New Michael,1,Micronesia,2/16/2016 9:11,1
85.84,32,62204.93,192.85,Up-sized 6thgeneration moratorium,Jonesland,1,French Southern Territories,6/9/2016 21:43,0
85.03,30,60372.64,204.52,Expanded clear-thinking core,North Shannon,0,Philippines,6/19/2016 9:24,0
70.44,24,65280.16,178.75,Polarized attitude-oriented superstructure,New Sonialand,1,Algeria,6/6/2016 21:26,0
81.22,53,34309.24,223.09,Networked coherent interface,Port Jason,1,San Marino,1/7/2016 13:25,0
