BusinessID,BusinessName,Category,Location,Revenue,Employees,CustomerSatisfaction,YearEstablished
BUS0037,Business_37,Finance,Los Angeles,738355.48,20,4.4,2006
BUS0038,Business_38,Education,Los Angeles,230957.54,225,1.9,2003
BUS0039,Business_39,Hospitality,Los Angeles,305038.51,487,4.3,1983
BUS0040,Business_40,Education,New York,689988.32,339,1.8,2019
BUS0041,Business_41,Finance,Miami,622775.94,89,2.4,1997
BUS0042,Business_42,Retail,Houston,879939.44,315,4.0,2013
BUS0043,Business_43,Healthcare,Miami,228755.13,460,1.2,1982
BUS0044,Business_44,Healthcare,Chicago,773611.6,227,3.5,1984
BUS0045,Business_45,Retail,Miami,738089.98,85,3.7,1999
BUS0046,Business_46,Healthcare,Houston,580907.95,32,1.5,1984
BUS0047,Business_47,Retail,New York,505424.5,56,4.6,1993
BUS0048,Business_48,Healthcare,Houston,876000.16,174,2.8,2013
BUS0049,Business_49,Education,Seattle,366316.1,110,3.4,1986
BUS0050,Business_50,Technology,New York,959168.77,102,3.0,1986
BUS0051,Business_51,Technology,Miami,64567.02,214,4.9,1994
BUS0052,Business_52,Healthcare,Seattle,940301.78,361,1.0,2014
BUS0053,Business_53,Healthcare,Houston,963973.68,288,3.9,2004
BUS0054,Business_54,Hospitality,Chicago,161450.39,374,3.2,1992
BUS0055,Business_55,Education,Seattle,999593.41,478,2.7,1992
BUS0056,Business_56,Education,New York,504974.83,378,3.3,2013
BUS0057,Business_57,Healthcare,Chicago,280463.52,281,4.7,2022
BUS0058,Business_58,Finance,Chicago,624181.46,140,4.1,1995
BUS0059,Business_59,Retail,Miami,244287.49,343,4.6,2016
BUS0060,Business_60,Technology,Chicago,919370.14,149,3.8,2020
BUS0061,Business_61,Hospitality,Seattle,574475.33,157,1.7,1991
BUS0062,Business_62,Education,New York,786738.19,126,4.3,2015
BUS0063,Business_63,Education,New York,411628.66,54,1.4,2015
BUS0064,Business_64,Finance,Houston,556967.62,30,3.6,2006
BUS0065,Business_65,Hospitality,New York,391296.58,206,3.4,1986
BUS0066,Business_66,Finance,Los Angeles,298483.55,297,2.3,2020
BUS0067,Business_67,Healthcare,Houston,537175.71,286,4.5,2016
BUS0068,Business_68,Retail,Houston,522413.43,435,2.7,2002
BUS0069,Business_69,Healthcare,Los Angeles,143677.82,256,3.4,2023
BUS0070,Business_70,Healthcare,Seattle,982252.53,83,3.8,2009
BUS0071,Business_71,Healthcare,Houston,496015.9,32,2.0,2022
BUS0072,Business_72,Hospitality,Chicago,847744.62,189,2.6,2007
BUS0073,Business_73,Hospitality,Houston,918613.97,6,2.4,1986
BUS0074,Business_74,Healthcare,New York,402169.68,223,2.2,1990
BUS0075,Business_75,Education,Miami,443233.66,49,4.2,1991
BUS0076,Business_76,Technology,Seattle,584398.49,155,1.6,2015
BUS0077,Business_77,Hospitality,Houston,260210.39,426,3.4,2005
BUS0078,Business_78,Technology,Miami,188626.58,343,4.5,2012
BUS0079,Business_79,Healthcare,Miami,297735.4,325,3.0,2001
BUS0080,Business_80,Healthcare,Los Angeles,938020.34,312,4.4,2022
BUS0081,Business_81,Education,Chicago,600185.78,250,3.2,1990
BUS0082,Business_82,Healthcare,Los Angeles,446699.17,107,2.3,2014
BUS0083,Business_83,Education,Chicago,194790.84,54,3.9,2018
BUS0084,Business_84,Hospitality,Chicago,363372.02,18,3.2,2008
BUS0085,Business_85,Technology,Chicago,410847.79,110,1.9,2002
BUS0086,Business_86,Healthcare,New York,841694.58,92,1.8,2000
BUS0087,Business_87,Hospitality,Chicago,524336.41,331,3.9,2015
BUS0088,Business_88,Education,Houston,671877.57,154,3.7,2000
BUS0089,Business_89,Retail,Chicago,700604.28,46,4.7,2003
BUS0090,Business_90,Retail,New York,294460.42,247,1.5,2006
BUS0091,Business_91,Retail,Seattle,830512.34,437,3.8,2020
BUS0092,Business_92,Education,New York,968182.85,64,4.9,2007
BUS0093,Business_93,Finance,Miami,659609.73,162,1.7,2000
BUS0094,Business_94,Technology,New York,516065.8,406,3.2,2018
BUS0095,Business_95,Retail,New York,209821.96,208,3.5,1995
BUS0096,Business_96,Technology,Miami,805226.74,246,3.8,2016
BUS0097,Business_97,Hospitality,Miami,210802.43,255,4.0,2014
BUS0098,Business_98,Education,Houston,734297.85,463,3.2,1993
BUS0099,Business_99,Hospitality,Houston,513900.51,343,3.3,2004
BUS0100,Business_100,Hospitality,Houston,921054.42,140,4.8,2015
BUS0101,Business_101,Retail,Los Angeles,565030.01,51,3.8,1996
BUS0102,Business_102,Finance,New York,659718.99,333,3.7,2003
BUS0103,Business_103,Finance,Chicago,105795.45,283,4.6,2008
BUS0104,Business_104,Education,Houston,82132.57,203,3.1,2008
BUS0105,Business_105,Healthcare,Miami,854362.51,99,4.5,2005
BUS0106,Business_106,Education,Seattle,947928.71,194,2.7,1980
BUS0107,Business_107,Retail,Miami,684804.77,458,1.1,1982
BUS0108,Business_108,Technology,Seattle,776121.9,200,1.4,1998
BUS0109,Business_109,Technology,Houston,441772.61,194,2.5,2018
BUS0110,Business_110,Hospitality,Chicago,850417.48,100,1.2,1981
BUS0111,Business_111,Hospitality,Houston,269861.72,233,1.2,2013
BUS0112,Business_112,Healthcare,Los Angeles,721811.09,27,2.1,1988
BUS0113,Business_113,Education,Houston,58684.39,139,4.1,1999
BUS0114,Business_114,Healthcare,Los Angeles,530446.27,230,4.9,1980
BUS0115,Business_115,Hospitality,New York,404540.66,243,3.7,1999
BUS0116,Business_116,Hospitality,Seattle,636943.47,139,1.6,1994
BUS0117,Business_117,Healthcare,Chicago,683416.99,120,1.2,1993
BUS0118,Business_118,Education,Miami,635693.39,433,4.1,2000
BUS0119,Business_119,Education,Houston,509043.95,142,1.8,1981
BUS0120,Business_120,Retail,Miami,513461.66,293,3.2,1997
BUS0121,Business_121,Finance,Seattle,56281.74,36,2.4,2015
BUS0122,Business_122,Education,Seattle,574061.38,82,2.8,2012
BUS0123,Business_123,Finance,Miami,61258.42,390,3.5,2015
BUS0124,Business_124,Education,Houston,552946.76,361,3.7,2016
BUS0125,Business_125,Retail,Houston,311003.7,346,3.2,2016
BUS0126,Business_126,Healthcare,New York,978605.38,54,1.9,1989
BUS0127,Business_127,Retail,Seattle,66285.47,48,3.6,1986
BUS0128,Business_128,Hospitality,Miami,822499.36,347,2.6,1982
BUS0129,Business_129,Hospitality,Los Angeles,690331.3,181,3.0,2009
BUS0130,Business_130,Finance,Los Angeles,815859.31,418,4.2,2002
BUS0131,Business_131,Healthcare,Miami,914284.7,282,3.8,1989
BUS0132,Business_132,Retail,Los Angeles,151665.61,216,3.8,1988
BUS0133,Business_133,Hospitality,Chicago,141498.2,392,1.2,1996
BUS0134,Business_134,Hospitality,New York,191452.61,306,2.5,2003
BUS0135,Business_135,Retail,Seattle,232335.45,121,2.7,2017
BUS0136,Business_136,Technology,Houston,550133.19,288,4.2,1995
BUS0137,Business_137,Retail,Chicago,824453.67,36,3.7,1994
BUS0138,Business_138,Finance,New York,303958.5,435,4.9,1996
BUS0139,Business_139,Finance,Houston,427051.6,203,1.2,1999
BUS0140,Business_140,Retail,New York,404399.0,424,4.0,1985
BUS0141,Business_141,Technology,Miami,435726.04,272,1.8,2016
BUS0142,Business_142,Education,Los Angeles,586752.07,219,4.5,2005
BUS0143,Business_143,Healthcare,Chicago,990721.38,499,4.4,2016
BUS0144,Business_144,Hospitality,Chicago,264564.39,279,2.8,1993
BUS0145,Business_145,Technology,Chicago,699839.54,356,1.9,1984
BUS0146,Business_146,Healthcare,Miami,855473.75,448,3.5,2000
BUS0147,Business_147,Education,Miami,671048.93,484,3.8,2010
BUS0148,Business_148,Finance,Houston,865308.2,248,2.5,1991
BUS0149,Business_149,Healthcare,New York,771606.56,298,3.4,2011
BUS0150,Business_150,Healthcare,New York,138825.48,456,4.0,2016
BUS0151,Business_151,Hospitality,New York,410300.82,125,1.8,1986
BUS0152,Business_152,Education,Houston,575066.37,248,3.9,2018
BUS0153,Business_153,Technology,Miami,103309.19,158,1.8,2021
BUS0154,Business_154,Education,Los Angeles,58977.66,45,2.8,1999
BUS0155,Business_155,Retail,Houston,212814.4,207,4.9,1982
BUS0156,Business_156,Healthcare,Chicago,524865.47,467,1.3,2016
BUS0157,Business_157,Technology,Chicago,462214.17,442,4.8,2004
BUS0158,Business_158,Education,Los Angeles,795157.5,370,3.9,1985
BUS0159,Business_159,Healthcare,Miami,587563.8,22,1.5,1983
BUS0160,Business_160,Healthcare,New York,865062.3,262,1.2,2001
BUS0161,Business_161,Retail,Chicago,140593.74,297,2.1,2002
BUS0162,Business_162,Education,Los Angeles,551751.23,466,2.1,2007
BUS0163,Business_163,Healthcare,Miami,90424.17,269,1.6,2006
BUS0164,Business_164,Hospitality,Chicago,250846.2,414,4.4,1987
BUS0165,Business_165,Hospitality,Miami,874711.05,297,1.0,1994
BUS0166,Business_166,Retail,New York,893176.59,351,2.9,2021
BUS0167,Business_167,Healthcare,Chicago,501725.27,322,4.7,2018
BUS0168,Business_168,Finance,Houston,94233.87,80,1.2,1980
BUS0169,Business_169,Healthcare,New York,120630.66,66,4.7,2020
BUS0170,Business_170,Retail,Los Angeles,929305.57,491,3.4,2020
BUS0171,Business_171,Hospitality,Los Angeles,904346.07,392,4.1,2004
BUS0172,Business_172,Education,New York,585334.37,234,3.5,1983
BUS0173,Business_173,Technology,Los Angeles,81256.69,93,4.4,1999
BUS0174,Business_174,Finance,Los Angeles,932328.04,490,2.2,2013
BUS0175,Business_175,Finance,New York,348760.46,90,4.2,1982
BUS0176,Business_176,Healthcare,Miami,963395.73,113,3.2,2000
BUS0177,Business_177,Retail,Los Angeles,607684.3,418,1.3,2014
BUS0178,Business_178,Technology,Chicago,764641.75,103,3.8,2016
BUS0179,Business_179,Technology,Miami,727075.83,69,3.1,1989
BUS0180,Business_180,Technology,Houston,428381.22,26,4.8,2000
BUS0181,Business_181,Finance,Seattle,123090.62,221,3.1,2012
BUS0182,Business_182,Finance,Miami,204327.74,45,4.1,1994
BUS0183,Business_183,Hospitality,New York,278448.58,354,1.6,1989
BUS0184,Business_184,Retail,Seattle,842918.03,227,3.2,1983
BUS0185,Business_185,Technology,New York,419698.78,108,2.6,2023
BUS0186,Business_186,Technology,New York,901699.48,426,2.4,2005
BUS0187,Business_187,Hospitality,Seattle,365143.35,326,4.5,2008
BUS0188,Business_188,Healthcare,Seattle,767828.8,80,3.7,2018
BUS0189,Business_189,Healthcare,Houston,182953.06,432,2.3,2016
BUS0190,Business_190,Technology,Houston,989054.06,309,2.2,2012
BUS0191,Business_191,Technology,Miami,737955.39,137,4.8,1985
BUS0192,Business_192,Healthcare,Chicago,525753.21,168,3.5,1994
BUS0193,Business_193,Healthcare,New York,975607.16,471,2.9,2007
BUS0194,Business_194,Hospitality,New York,101011.61,377,3.2,1998
BUS0195,Business_195,Technology,Los Angeles,465233.84,473,4.0,2005
BUS0196,Business_196,Hospitality,Miami,846740.92,418,3.6,1989
BUS0197,Business_197,Education,Houston,373563.11,39,1.5,1988
BUS0198,Business_198,Retail,Miami,780555.37,49,2.4,2001
BUS0199,Business_199,Hospitality,Seattle,957115.48,203,2.0,1985
BUS0200,Business_200,Hospitality,New York,426867.9,289,3.6,2010
BUS0201,Business_201,Hospitality,Seattle,784877.17,208,4.7,2016
BUS0202,Business_202,Hospitality,Los Angeles,78144.38,287,2.0,1983
BUS0203,Business_203,Hospitality,Houston,309660.68,171,1.2,2015
BUS0204,Business_204,Retail,Houston,992956.58,443,4.5,2005
BUS0205,Business_205,Technology,Chicago,516073.28,146,2.5,1996
BUS0206,Business_206,Healthcare,Los Angeles,388020.64,271,4.2,1985
BUS0207,Business_207,Technology,Chicago,944085.7,239,1.5,2005
BUS0208,Business_208,Retail,Los Angeles,460255.55,474,2.0,2012
BUS0209,Business_209,Technology,Los Angeles,695710.12,452,3.9,2007
BUS0210,Business_210,Hospitality,Houston,677638.31,11,1.1,1988
BUS0211,Business_211,Healthcare,New York,131409.41,407,3.1,1988
BUS0212,Business_212,Finance,Houston,637685.1,363,4.1,2010
BUS0213,Business_213,Technology,Seattle,808152.42,324,3.1,2015
BUS0214,Business_214,Technology,Chicago,727453.11,305,3.0,1992
BUS0215,Business_215,Hospitality,Miami,127936.11,272,2.9,2011
BUS0216,Business_216,Hospitality,Miami,196509.92,405,2.2,2005
BUS0217,Business_217,Education,Miami,726093.3,219,3.6,2021
BUS0218,Business_218,Finance,Los Angeles,652205.84,62,2.3,2016
BUS0219,Business_219,Retail,New York,752672.52,217,1.3,1992
BUS0220,Business_220,Healthcare,Los Angeles,350844.32,81,1.4,2015
BUS0221,Business_221,Hospitality,Houston,151223.37,80,4.9,2019
BUS0222,Business_222,Education,Miami,54935.46,295,4.1,2013
BUS0223,Business_223,Education,Houston,342854.08,306,3.1,1995
BUS0224,Business_224,Finance,Los Angeles,391921.62,303,3.5,1995
BUS0225,Business_225,Retail,Miami,306278.12,393,1.8,1984
BUS0226,Business_226,Education,Chicago,175881.65,498,3.5,1997
BUS0227,Business_227,Education,Miami,228022.19,486,1.9,2007
BUS0228,Business_228,Hospitality,Miami,476401.49,56,3.7,2000
BUS0229,Business_229,Retail,Chicago,577003.0,478,4.3,2023
BUS0230,Business_230,Hospitality,Seattle,437641.97,59,1.8,2016
BUS0231,Business_231,Retail,Houston,74948.81,293,4.3,1985
BUS0232,Business_232,Healthcare,Houston,386218.57,404,4.5,1987
BUS0233,Business_233,Education,Houston,138411.05,56,4.0,2022
BUS0234,Business_234,Finance,Seattle,618141.61,407,2.7,2006
BUS0235,Business_235,Healthcare,Houston,358208.81,151,4.3,2007
BUS0236,Business_236,Retail,New York,415976.02,449,1.3,2003
BUS0237,Business_237,Hospitality,New York,327254.98,279,3.7,2002
BUS0238,Business_238,Healthcare,Chicago,418409.58,455,1.1,1992
BUS0239,Business_239,Education,Los Angeles,130464.54,181,3.9,2000
BUS0240,Business_240,Education,Los Angeles,906079.24,454,1.2,2002
BUS0241,Business_241,Technology,New York,909947.2,215,1.3,2018
BUS0242,Business_242,Education,Houston,979264.41,140,1.7,2021
BUS0243,Business_243,Education,Los Angeles,593362.41,201,2.0,1981
BUS0244,Business_244,Hospitality,Chicago,211103.78,340,1.3,1999
BUS0245,Business_245,Healthcare,New York,411695.42,253,4.3,1990
BUS0246,Business_246,Finance,Miami,181898.06,297,4.6,2002
BUS0247,Business_247,Healthcare,New York,336074.7,316,2.6,2019
BUS0248,Business_248,Technology,Seattle,518467.75,247,2.8,2008
BUS0249,Business_249,Finance,Seattle,110103.79,24,2.6,2019
BUS0250,Business_250,Healthcare,Houston,462942.46,93,2.3,1989
BUS0251,Business_251,Healthcare,Houston,450047.22,146,2.6,2008
BUS0252,Business_252,Finance,Chicago,510019.75,211,1.5,1982
BUS0253,Business_253,Retail,Houston,123075.29,78,1.0,1994
BUS0254,Business_254,Technology,Miami,289114.75,321,3.9,1992
BUS0255,Business_255,Hospitality,Seattle,284260.56,316,1.3,2023
BUS0256,Business_256,Hospitality,Chicago,643782.0,353,4.0,2003
BUS0257,Business_257,Retail,Miami,614116.08,360,1.2,1989
BUS0258,Business_258,Healthcare,Houston,235770.81,210,4.4,1985
BUS0259,Business_259,Healthcare,Los Angeles,151623.75,24,2.4,1987
BUS0260,Business_260,Hospitality,Chicago,339425.1,207,3.0,1983
BUS0261,Business_261,Hospitality,New York,951382.29,460,2.2,1995
BUS0262,Business_262,Hospitality,New York,365606.35,455,3.7,2019
BUS0263,Business_263,Technology,New York,639182.58,174,3.4,1989
BUS0264,Business_264,Retail,Seattle,813872.64,358,2.1,1998
BUS0265,Business_265,Hospitality,Chicago,363064.63,126,4.7,1980
BUS0266,Business_266,Finance,Miami,367999.41,30,2.5,2001
BUS0267,Business_267,Education,Houston,824701.7,386,4.3,1987
BUS0268,Business_268,Hospitality,Los Angeles,866533.04,248,1.1,1999
BUS0269,Business_269,Education,Los Angeles,975514.11,476,1.6,2008
BUS0270,Business_270,Retail,Chicago,179318.25,142,1.9,2010
BUS0271,Business_271,Finance,Chicago,354631.9,464,4.0,1981
BUS0272,Business_272,Healthcare,Houston,949914.98,195,4.2,2001
BUS0273,Business_273,Education,New York,240808.91,15,4.4,1993
BUS0274,Business_274,Hospitality,Chicago,348474.12,177,2.2,2014
BUS0275,Business_275,Retail,Los Angeles,966345.89,423,3.5,1993
BUS0276,Business_276,Retail,Chicago,970288.96,411,2.2,1993
BUS0277,Business_277,Retail,Chicago,326875.74,160,4.5,2014
BUS0278,Business_278,Education,Houston,710209.88,164,4.9,2013
BUS0279,Business_279,Healthcare,Miami,516456.95,148,4.5,1996
BUS0280,Business_280,Education,Houston,597085.32,436,3.6,2015
BUS0281,Business_281,Finance,New York,280303.08,256,4.8,2010
BUS0282,Business_282,Healthcare,New York,407252.54,444,1.0,2019
BUS0283,Business_283,Education,Miami,825669.79,361,4.5,1989
BUS0284,Business_284,Healthcare,Los Angeles,423288.37,355,1.6,2022
BUS0285,Business_285,Technology,Miami,158193.43,55,1.2,1981
BUS0286,Business_286,Hospitality,Houston,585657.98,449,3.3,2004
BUS0287,Business_287,Hospitality,Seattle,612615.68,121,2.6,2017
BUS0288,Business_288,Retail,Seattle,568347.63,73,3.2,2022
BUS0289,Business_289,Technology,Chicago,697627.0,158,1.3,2013
BUS0290,Business_290,Healthcare,Houston,572594.2,385,1.8,1982
BUS0291,Business_291,Retail,New York,955354.38,231,4.0,1996
BUS0292,Business_292,Finance,Chicago,488541.11,401,3.9,1990
BUS0293,Business_293,Education,Seattle,722948.7,427,1.8,1983
BUS0294,Business_294,Healthcare,Miami,466532.21,169,4.6,1998
BUS0295,Business_295,Finance,Chicago,326764.65,142,4.4,1992
BUS0296,Business_296,Education,Houston,708193.52,378,1.6,2019
BUS0297,Business_297,Technology,Seattle,828017.29,218,1.7,1997
BUS0298,Business_298,Retail,Los Angeles,805873.99,314,3.5,1983
BUS0299,Business_299,Retail,Chicago,438684.51,335,2.0,2009
BUS0300,Business_300,Hospitality,Miami,524338.05,50,1.5,2021
BUS0301,Business_301,Hospitality,Miami,651669.24,101,3.7,1980
BUS0302,Business_302,Education,Miami,279920.11,231,3.3,1984
BUS0303,Business_303,Hospitality,Miami,675729.82,113,1.2,2004
BUS0304,Business_304,Education,Miami,729474.57,472,4.0,2022
BUS0305,Business_305,Retail,Miami,799622.93,426,5.0,1997
BUS0306,Business_306,Retail,Houston,120266.88,213,3.2,2022
BUS0307,Business_307,Healthcare,Houston,991165.58,384,3.6,2022
BUS0308,Business_308,Hospitality,Chicago,505272.96,253,1.3,2003
BUS0309,Business_309,Finance,Chicago,430764.84,393,3.7,1986
BUS0310,Business_310,Hospitality,Chicago,531282.01,269,2.0,1981
BUS0311,Business_311,Hospitality,Los Angeles,924372.58,449,1.8,1998
BUS0312,Business_312,Healthcare,Los Angeles,707123.42,196,3.3,2021
BUS0313,Business_313,Healthcare,Seattle,566462.94,425,4.8,2004
BUS0314,Business_314,Retail,Chicago,801184.87,33,2.4,1994
BUS0315,Business_315,Finance,Los Angeles,391553.02,268,3.7,2004
BUS0316,Business_316,Hospitality,New York,900726.44,410,1.9,2012
BUS0317,Business_317,Technology,New York,560060.69,86,2.1,1986
BUS0318,Business_318,Education,Seattle,656271.35,38,1.3,2000
BUS0319,Business_319,Retail,New York,130732.84,164,1.8,2011
BUS0320,Business_320,Hospitality,Miami,780506.35,368,2.9,2018
BUS0321,Business_321,Hospitality,Seattle,674721.56,264,2.3,2014
BUS0322,Business_322,Hospitality,Seattle,387258.38,211,3.6,1985
BUS0323,Business_323,Finance,New York,664649.86,74,3.8,1991
BUS0324,Business_324,Hospitality,Chicago,92081.86,404,1.6,1992
BUS0325,Business_325,Retail,Miami,984427.8,440,3.3,2012
BUS0326,Business_326,Finance,New York,693598.3,273,4.2,2009
BUS0327,Business_327,Healthcare,Chicago,429636.86,455,4.8,2015
BUS0328,Business_328,Hospitality,New York,765048.64,296,1.7,1981
BUS0329,Business_329,Finance,Miami,967430.94,19,2.3,1982
BUS0330,Business_330,Hospitality,Miami,458932.77,93,4.1,1995
BUS0331,Business_331,Finance,Miami,60020.38,103,3.8,2013
BUS0332,Business_332,Healthcare,New York,295801.45,453,3.6,1999
BUS0333,Business_333,Finance,Chicago,535142.43,431,2.1,2001
BUS0334,Business_334,Retail,Chicago,542857.88,107,2.4,2011
BUS0335,Business_335,Hospitality,Miami,601492.38,433,3.7,2005
BUS0336,Business_336,Hospitality,Los Angeles,596473.63,34,2.3,1990
BUS0337,Business_337,Healthcare,Chicago,473489.62,132,2.9,1981
BUS0338,Business_338,Finance,Los Angeles,421577.46,21,2.8,2002
BUS0339,Business_339,Technology,Miami,783725.12,238,4.1,2023
BUS0340,Business_340,Healthcare,Chicago,609160.46,30,2.9,2002
BUS0341,Business_341,Finance,Houston,525442.49,475,1.4,2002
BUS0342,Business_342,Healthcare,Los Angeles,377719.02,189,3.6,2020
BUS0343,Business_343,Retail,Miami,73334.52,365,1.3,1999
BUS0344,Business_344,Healthcare,Chicago,149321.89,106,2.1,1995
BUS0345,Business_345,Healthcare,Seattle,445176.66,145,4.3,2012
BUS0346,Business_346,Hospitality,Chicago,963641.47,193,4.6,1997
BUS0347,Business_347,Hospitality,Seattle,160265.87,426,1.8,1983
BUS0348,Business_348,Healthcare,Seattle,943642.35,242,3.9,2020
BUS0349,Business_349,Education,Chicago,184591.42,263,3.5,1996
BUS0350,Business_350,Technology,Los Angeles,346295.83,208,3.9,2004
BUS0351,Business_351,Hospitality,Chicago,482566.0,330,4.6,1981
BUS0352,Business_352,Education,Houston,246523.96,477,4.4,2015
BUS0353,Business_353,Hospitality,Seattle,508779.7,68,3.5,1997
BUS0354,Business_354,Retail,Miami,502354.4,353,4.3,1994
BUS0355,Business_355,Hospitality,Miami,466257.64,20,3.3,1989
BUS0356,Business_356,Healthcare,New York,711925.1,128,4.1,2001
BUS0357,Business_357,Hospitality,Los Angeles,352964.0,195,1.9,2005
BUS0358,Business_358,Healthcare,Houston,335250.88,255,1.1,2022
BUS0359,Business_359,Retail,Seattle,819676.64,309,2.0,1988
BUS0360,Business_360,Technology,Houston,159331.0,233,4.6,1985
BUS0361,Business_361,Finance,New York,856721.01,95,3.2,2004
BUS0362,Business_362,Healthcare,Seattle,665571.42,496,3.6,2013
BUS0363,Business_363,Education,Seattle,693282.37,450,1.6,2023
BUS0364,Business_364,Education,Los Angeles,206136.39,247,2.6,2019
BUS0365,Business_365,Technology,Miami,984705.45,305,4.6,2020
BUS0366,Business_366,Education,Los Angeles,281717.3,287,3.4,2023
BUS0367,Business_367,Healthcare,Seattle,215730.57,184,4.4,1994
BUS0368,Business_368,Finance,New York,202128.93,181,1.5,2006
BUS0369,Business_369,Retail,Chicago,581856.5,88,3.0,1995
BUS0370,Business_370,Hospitality,Seattle,960539.49,433,1.4,2016
BUS0371,Business_371,Education,Los Angeles,270262.77,462,2.5,1989
BUS0372,Business_372,Finance,Chicago,434795.06,137,1.0,2007
BUS0373,Business_373,Finance,Chicago,225229.19,388,2.0,1999
BUS0374,Business_374,Finance,New York,658454.93,430,4.9,2018
BUS0375,Business_375,Technology,New York,460527.73,357,4.9,2001
BUS0376,Business_376,Retail,Houston,77732.66,51,3.7,2008
BUS0377,Business_377,Education,Los Angeles,633401.59,150,4.0,2014
BUS0378,Business_378,Healthcare,Seattle,237458.21,19,1.6,1988
BUS0379,Business_379,Healthcare,Chicago,612593.0,202,1.6,1993
BUS0380,Business_380,Hospitality,New York,419393.99,30,3.3,2021
BUS0381,Business_381,Finance,Seattle,719498.84,88,3.3,1988
BUS0382,Business_382,Healthcare,Seattle,245495.26,442,4.5,2017
BUS0383,Business_383,Healthcare,Houston,764709.22,297,1.6,2014
BUS0384,Business_384,Technology,Miami,818293.3,404,3.9,2023
BUS0385,Business_385,Technology,New York,109435.56,499,4.8,1992
BUS0386,Business_386,Healthcare,Los Angeles,146664.45,114,1.2,1988
BUS0387,Business_387,Retail,Miami,878380.36,443,4.0,1999
BUS0388,Business_388,Technology,Miami,227611.84,118,1.9,2013
BUS0389,Business_389,Hospitality,New York,359685.67,336,2.1,1988
BUS0390,Business_390,Finance,Miami,484672.9,120,1.9,2007
BUS0391,Business_391,Hospitality,Chicago,299235.73,351,3.7,1989
BUS0392,Business_392,Education,New York,869504.72,110,3.1,2021
BUS0393,Business_393,Healthcare,New York,551329.27,142,4.2,2016
BUS0394,Business_394,Education,Los Angeles,657153.16,338,2.6,1990
BUS0395,Business_395,Retail,Seattle,617122.29,214,4.7,2000
BUS0396,Business_396,Healthcare,Houston,630743.0,267,4.5,1984
BUS0397,Business_397,Technology,Miami,607654.48,15,1.2,2015
BUS0398,Business_398,Education,Houston,380528.41,447,3.6,2014
BUS0399,Business_399,Education,New York,853241.91,404,1.4,1987
BUS0400,Business_400,Technology,Los Angeles,636494.55,500,4.9,1991
BUS0401,Business_401,Technology,Los Angeles,823051.34,397,3.5,2000
BUS0402,Business_402,Healthcare,New York,720688.94,354,2.1,1989
BUS0403,Business_403,Technology,Chicago,332572.59,9,4.0,1981
BUS0404,Business_404,Hospitality,Miami,633760.29,247,3.3,2000
BUS0405,Business_405,Finance,Chicago,130514.37,471,3.3,2006
BUS0406,Business_406,Healthcare,New York,177250.38,72,2.5,2006
