Item1,Item2,Item3,Item4,Item5,Item6,Item7,Item8,Item9,Item10,Item11,Item12,Item13,Item14,Item15
Fish,Pork,Butter,Pasta,Grapes,Cheese,Potatoes,Watermelon,Eggs,Strawberries,Cereal,Soda,Milk,Cucumbers,Rice
Cucumbers,Eggs,Tomatoes,Strawberries,Butter,Fish,Blueberries,Lettuce,Apples,Coffee,Pasta,Chicken,Milk,Chips,Beef
Tomatoes,Fish,Juice,Cereal,Yogurt,Eggs,Apples,Pasta,Potatoes,Bread,Blueberries,Cucumbers,Pork,Watermelon,Lettuce
Cucumbers,Soda,Milk,Chips,Strawberries,Pasta,Carrots,Beef,Oranges,Bread,Potatoes,Cereal,Eggs,Lettuce,Watermelon
Soda,Lettuce,Eggs,Oranges,Strawberries,Chicken,Rice,Milk,Chips,Potatoes,Blueberries,Juice,Coffee,Tomatoes,Butter
Lettuce,Chicken,Strawberries,Juice,Grapes,Cucumbers,Bananas,Bread,Pork,Yogurt,Cereal,Rice,Potatoes,Carrots,Blueberries
Bread,Oranges,Eggs,Watermelon,Fish,Apples,Cucumbers,Strawberries,Tomatoes,Blueberries,Pork,Soda,Butter,Cereal,Juice
Butter,Carrots,Milk,Yogurt,Bread,Apples,Juice,Potatoes,Oranges,Onions,Blueberries,Strawberries,Tomatoes,Grapes,Eggs
Milk,Pork,Fish,Strawberries,Cucumbers,Rice,Tomatoes,Cereal,Butter,Lettuce,Pasta,Yogurt,Potatoes,Bread,Grapes
Butter,Coffee,Cereal,Chicken,Soda,Bananas,Lettuce,Milk,Bread,Pasta,Apples,Cheese,Pork,Cucumbers,Eggs
Cereal,Bread,Milk,Lettuce,Grapes,Butter,Chicken,Oranges,Carrots,Juice,Beef,Eggs,Bananas,Potatoes,Coffee
Bread,Chips,Juice,Apples,Carrots,Butter,Lettuce,Rice,Watermelon,Beef,Milk,Soda,Bananas,Grapes,Strawberries
Blueberries,Lettuce,Cheese,Potatoes,Onions,Eggs,Rice,Carrots,Soda,Oranges,Pasta,Milk,Bananas,Tomatoes,Bread
Onions,Bread,Strawberries,Blueberries,Cheese,Yogurt,Oranges,Beef,Eggs,Apples,Lettuce,Milk,Butter,Pork,Tomatoes
Onions,Cucumbers,Tomatoes,Pork,Soda,Fish,Cereal,Bananas,Juice,Bread,Yogurt,Chicken,Lettuce,Butter,Coffee
Fish,Pasta,Bananas,Carrots,Eggs,Potatoes,Butter,Onions,Cereal,Watermelon,Oranges,Chips,Bread,Rice,Juice
Milk,Strawberries,Beef,Bread,Onions,Oranges,Bananas,Soda,Carrots,Fish,Chips,Eggs,Lettuce,Cheese,Butter
Rice,Fish,Pork,Chips,Bananas,Eggs,Yogurt,Blueberries,Carrots,Tomatoes,Milk,Juice,Apples,Watermelon,Bread
Soda,Bread,Chicken,Beef,Carrots,Apples,Lettuce,Onions,Milk,Eggs,Juice,Cucumbers,Butter,Rice,Cheese
Chips,Potatoes,Oranges,Apples,Cereal,Coffee,Eggs,Soda,Grapes,Cheese,Milk,Watermelon,Tomatoes,Rice,Butter
Eggs,Yogurt,Soda,Watermelon,Strawberries,Blueberries,Coffee,Tomatoes,Milk,Beef,Butter,Bananas,Bread,Juice,Onions
Butter,Cheese,Eggs,Tomatoes,Chicken,Chips,Coffee,Grapes,Fish,Soda,Milk,Potatoes,Cereal,Bread,Rice
Apples,Milk,Potatoes,Pasta,Bananas,Lettuce,Tomatoes,Grapes,Bread,Onions,Eggs,Watermelon,Chicken,Cheese,Pork
Bread,Bananas,Soda,Butter,Lettuce,Chips,Strawberries,Coffee,Watermelon,Pasta,Grapes,Yogurt,Cucumbers,Milk,Chicken
Pasta,Bananas,Milk,Beef,Chicken,Rice,Cheese,Watermelon,Juice,Yogurt,Butter,Tomatoes,Apples,Oranges,Eggs
Potatoes,Beef,Eggs,Chips,Pork,Oranges,Apples,Onions,Rice,Blueberries,Milk,Carrots,Pasta,Yogurt,Chicken
Butter,Bananas,Milk,Chips,Potatoes,Chicken,Watermelon,Carrots,Beef,Grapes,Cheese,Bread,Cereal,Blueberries,Tomatoes
Grapes,Fish,Bread,Coffee,Yogurt,Carrots,Juice,Oranges,Watermelon,Pork,Apples,Soda,Butter,Lettuce,Rice
Soda,Beef,Rice,Milk,Apples,Pasta,Juice,Eggs,Potatoes,Chicken,Bananas,Butter,Cheese,Pork,Lettuce
Fish,Apples,Pasta,Potatoes,Blueberries,Tomatoes,Cheese,Strawberries,Eggs,Lettuce,Oranges,Bread,Chicken,Soda,Butter
Bread,Carrots,Potatoes,Pasta,Bananas,Milk,Beef,Strawberries,Rice,Oranges,Chicken,Cheese,Tomatoes,Eggs,Chips
Cereal,Chicken,Oranges,Juice,Pasta,Cucumbers,Butter,Carrots,Tomatoes,Bread,Pork,Yogurt,Eggs,Coffee,Milk
Milk,Apples,Strawberries,Butter,Beef,Lettuce,Soda,Oranges,Onions,Carrots,Pork,Potatoes,Bananas,Chips,Bread
Bread,Pork,Fish,Lettuce,Apples,Soda,Juice,Milk,Onions,Watermelon,Butter,Grapes,Beef,Yogurt,Cucumbers
Butter,Strawberries,Milk,Rice,Carrots,Chicken,Grapes,Eggs,Cereal,Coffee,Bananas,Tomatoes,Pork,Cheese,Potatoes
Lettuce,Onions,Butter,Soda,Blueberries,Rice,Eggs,Bread,Watermelon,Apples,Cereal,Pasta,Juice,Potatoes,Cheese
Tomatoes,Pasta,Onions,Yogurt,Cereal,Eggs,Coffee,Butter,Bananas,Carrots,Fish,Watermelon,Apples,Chips,Grapes
Oranges,Bananas,Blueberries,Juice,Chicken,Tomatoes,Rice,Lettuce,Milk,Bread,Coffee,Grapes,Fish,Butter,Apples
Pasta,Bread,Onions,Yogurt,Cereal,Pork,Cucumbers,Lettuce,Beef,Milk,Rice,Apples,Juice,Butter,Potatoes
Watermelon,Eggs,Cucumbers,Fish,Coffee,Oranges,Carrots,Soda,Strawberries,Chicken,Juice,Cereal,Milk,Butter,Beef
Eggs,Beef,Milk,Pasta,Tomatoes,Cucumbers,Soda,Pork,Coffee,Rice,Potatoes,Bread,Strawberries,Chicken,Carrots
Bananas,Eggs,Soda,Coffee,Chicken,Pasta,Lettuce,Cereal,Cucumbers,Blueberries,Apples,Oranges,Bread,Watermelon,Milk
Eggs,Chips,Onions,Carrots,Grapes,Butter,Yogurt,Tomatoes,Chicken,Rice,Apples,Fish,Milk,Beef,Bread
Onions,Chicken,Cereal,Pork,Bread,Watermelon,Yogurt,Fish,Carrots,Chips,Cheese,Blueberries,Bananas,Eggs,Butter
Cucumbers,Bananas,Cheese,Potatoes,Lettuce,Beef,Oranges,Bread,Juice,Chicken,Milk,Butter,Chips,Strawberries,Watermelon
Carrots,Milk,Butter,Eggs,Blueberries,Bread,Potatoes,Watermelon,Chicken,Coffee,Apples,Cereal,Beef,Cheese,Pasta
Bread,Cereal,Lettuce,Eggs,Cucumbers,Juice,Beef,Fish,Oranges,Carrots,Tomatoes,Soda,Grapes,Butter,Onions
Yogurt,Cucumbers,Milk,Potatoes,Butter,Bread,Tomatoes,Apples,Grapes,Eggs,Watermelon,Coffee,Lettuce,Cereal,Chicken
Bread,Apples,Fish,Watermelon,Chicken,Eggs,Bananas,Carrots,Cheese,Butter,Milk,Beef,Juice,Rice,Cucumbers
Lettuce,Milk,Cheese,Yogurt,Oranges,Bread,Apples,Onions,Cucumbers,Juice,Strawberries,Blueberries,Coffee,Butter,Eggs
Cheese,Pasta,Grapes,Onions,Cereal,Apples,Eggs,Milk,Butter,Bananas,Soda,Oranges,Rice,Bread,Fish
Fish,Bread,Soda,Coffee,Strawberries,Lettuce,Butter,Pasta,Tomatoes,Milk,Chips,Yogurt,Watermelon,Apples,Eggs
Eggs,Butter,Bread,Fish,Blueberries,Grapes,Soda,Bananas,Potatoes,Cucumbers,Lettuce,Milk,Onions,Strawberries,Chips
Grapes,Juice,Chips,Pasta,Cereal,Carrots,Yogurt,Milk,Eggs,Pork,Blueberries,Bread,Strawberries,Butter,Watermelon
Yogurt,Cereal,Onions,Chicken,Strawberries,Pasta,Butter,Coffee,Soda,Cucumbers,Eggs,Milk,Bread,Rice,Chips
Pork,Potatoes,Cereal,Bread,Strawberries,Apples,Grapes,Chicken,Coffee,Rice,Yogurt,Oranges,Juice,Butter,Eggs
Pasta,Cucumbers,Tomatoes,Apples,Rice,Juice,Coffee,Onions,Chicken,Blueberries,Bananas,Bread,Fish,Eggs,Soda
Cheese,Watermelon,Bananas,Cucumbers,Potatoes,Coffee,Fish,Tomatoes,Oranges,Butter,Eggs,Strawberries,Milk,Chips,Pasta
Oranges,Chips,Tomatoes,Pasta,Coffee,Yogurt,Butter,Carrots,Eggs,Cucumbers,Onions,Rice,Strawberries,Bananas,Cereal
Milk,Soda,Bread,Yogurt,Grapes,Oranges,Eggs,Butter,Fish,Pasta,Beef,Strawberries,Onions,Juice,Bananas
Eggs,Soda,Beef,Milk,Juice,Coffee,Pasta,Pork,Butter,Bananas,Carrots,Chicken,Tomatoes,Chips,Grapes
Yogurt,Carrots,Blueberries,Tomatoes,Fish,Bread,Chicken,Juice,Oranges,Lettuce,Bananas,Pasta,Eggs,Potatoes,Milk
Strawberries,Yogurt,Blueberries,Fish,Chicken,Soda,Beef,Tomatoes,Watermelon,Bananas,Eggs,Lettuce,Pasta,Rice,Potatoes
Cucumbers,Beef,Bananas,Pasta,Milk,Onions,Grapes,Bread,Lettuce,Blueberries,Butter,Juice,Apples,Strawberries,Eggs
Potatoes,Rice,Yogurt,Pasta,Eggs,Bread,Carrots,Soda,Onions,Milk,Cereal,Blueberries,Apples,Watermelon,Pork
Fish,Lettuce,Butter,Milk,Coffee,Pork,Carrots,Yogurt,Eggs,Oranges,Bread,Blueberries,Onions,Cereal,Potatoes
Carrots,Blueberries,Bread,Rice,Bananas,Cheese,Eggs,Yogurt,Watermelon,Butter,Pork,Lettuce,Milk,Cereal,Juice
Fish,Pasta,Beef,Onions,Grapes,Coffee,Pork,Strawberries,Watermelon,Yogurt,Milk,Bread,Butter,Chips,Carrots
Pork,Bread,Chicken,Watermelon,Strawberries,Oranges,Fish,Juice,Milk,Onions,Bananas,Butter,Grapes,Blueberries,Cereal
Butter,Rice,Milk,Fish,Bread,Soda,Watermelon,Pasta,Grapes,Eggs,Beef,Coffee,Oranges,Potatoes,Tomatoes
Butter,Carrots,Yogurt,Cereal,Cucumbers,Grapes,Soda,Beef,Eggs,Pasta,Blueberries,Bread,Rice,Coffee,Apples
Blueberries,Strawberries,Juice,Pork,Coffee,Bananas,Fish,Yogurt,Eggs,Cucumbers,Soda,Cheese,Beef,Cereal,Bread
Beef,Watermelon,Fish,Bananas,Tomatoes,Onions,Carrots,Yogurt,Bread,Eggs,Chips,Rice,Apples,Chicken,Potatoes
Yogurt,Cereal,Rice,Grapes,Beef,Coffee,Cheese,Blueberries,Eggs,Onions,Milk,Tomatoes,Oranges,Watermelon,Chips
Apples,Cheese,Chips,Chicken,Pasta,Lettuce,Coffee,Eggs,Onions,Blueberries,Rice,Beef,Cucumbers,Milk,Butter
Chicken,Coffee,Watermelon,Juice,Eggs,Onions,Chips,Beef,Oranges,Strawberries,Cereal,Butter,Yogurt,Milk,Carrots
Butter,Tomatoes,Milk,Cereal,Strawberries,Cheese,Eggs,Chips,Onions,Potatoes,Carrots,Rice,Bread,Grapes,Bananas
Butter,Rice,Oranges,Pasta,Bread,Beef,Cheese,Strawberries,Grapes,Blueberries,Yogurt,Chips,Eggs,Milk,Cereal
Carrots,Cereal,Tomatoes,Yogurt,Milk,Onions,Blueberries,Apples,Strawberries,Grapes,Beef,Bananas,Coffee,Butter,Soda
Blueberries,Watermelon,Tomatoes,Coffee,Bananas,Cucumbers,Grapes,Cheese,Milk,Strawberries,Juice,Bread,Carrots,Eggs,Potatoes
Bread,Bananas,Milk,Fish,Cereal,Grapes,Apples,Butter,Eggs,Lettuce,Potatoes,Yogurt,Onions,Chips,Cucumbers
Cucumbers,Rice,Pork,Potatoes,Coffee,Bread,Strawberries,Chicken,Pasta,Milk,Tomatoes,Soda,Apples,Blueberries,Butter
Tomatoes,Pork,Eggs,Fish,Carrots,Cereal,Blueberries,Yogurt,Watermelon,Juice,Milk,Lettuce,Soda,Butter,Bread
Rice,Cucumbers,Eggs,Grapes,Watermelon,Cereal,Bread,Strawberries,Cheese,Tomatoes,Yogurt,Bananas,Oranges,Chips,Lettuce
Strawberries,Bananas,Rice,Bread,Apples,Coffee,Eggs,Pasta,Fish,Blueberries,Tomatoes,Watermelon,Milk,Lettuce,Cheese
Lettuce,Fish,Butter,Eggs,Tomatoes,Cucumbers,Chips,Bread,Oranges,Potatoes,Onions,Soda,Chicken,Rice,Milk
Juice,Carrots,Cucumbers,Bread,Cereal,Strawberries,Tomatoes,Pork,Lettuce,Rice,Apples,Milk,Beef,Bananas,Blueberries
Potatoes,Chips,Yogurt,Carrots,Tomatoes,Lettuce,Watermelon,Butter,Chicken,Fish,Cheese,Rice,Eggs,Apples,Juice
Eggs,Cereal,Blueberries,Fish,Lettuce,Pasta,Bananas,Onions,Beef,Soda,Milk,Bread,Chips,Juice,Carrots
Oranges,Bananas,Eggs,Cheese,Soda,Watermelon,Lettuce,Butter,Bread,Cucumbers,Carrots,Pork,Rice,Blueberries,Milk
Juice,Apples,Milk,Tomatoes,Butter,Cereal,Potatoes,Bananas,Eggs,Chips,Watermelon,Bread,Fish,Yogurt,Soda
Soda,Yogurt,Lettuce,Butter,Bananas,Carrots,Cereal,Chips,Oranges,Bread,Eggs,Coffee,Apples,Beef,Milk
Grapes,Chicken,Juice,Strawberries,Bread,Bananas,Eggs,Butter,Cucumbers,Onions,Milk,Cheese,Cereal,Soda,Oranges
Soda,Beef,Lettuce,Eggs,Cucumbers,Pork,Apples,Milk,Pasta,Chicken,Oranges,Bread,Butter,Grapes,Rice
Carrots,Lettuce,Blueberries,Pasta,Cereal,Bananas,Grapes,Eggs,Rice,Beef,Yogurt,Juice,Cheese,Milk,Pork
Bananas,Cereal,Bread,Butter,Soda,Strawberries,Pasta,Chicken,Cucumbers,Eggs,Onions,Potatoes,Tomatoes,Milk,Watermelon
Eggs,Potatoes,Pork,Soda,Chips,Grapes,Milk,Blueberries,Cucumbers,Oranges,Chicken,Bananas,Butter,Strawberries,Apples
Cucumbers,Bananas,Chips,Grapes,Blueberries,Yogurt,Cereal,Onions,Pasta,Carrots,Cheese,Eggs,Tomatoes,Bread,Butter
Beef,Chips,Strawberries,Lettuce,Bread,Pasta,Potatoes,Cheese,Fish,Yogurt,Milk,Tomatoes,Juice,Eggs,Pork
Butter,Fish,Coffee,Eggs,Cucumbers,Cheese,Watermelon,Pasta,Rice,Pork,Juice,Potatoes,Milk,Tomatoes,Yogurt
Bananas,Bread,Milk,Oranges,Cheese,Soda,Butter,Carrots,Coffee,Yogurt,Eggs,Cereal,Fish,Cucumbers,Tomatoes
Milk,Fish,Butter,Pasta,Oranges,Eggs,Cheese,Soda,Tomatoes,Onions,Bread,Lettuce,Apples,Strawberries,Potatoes
Rice,Chicken,Oranges,Strawberries,Tomatoes,Eggs,Pasta,Blueberries,Beef,Fish,Watermelon,Cereal,Onions,Bread,Milk
Lettuce,Bread,Oranges,Cheese,Onions,Bananas,Cucumbers,Eggs,Coffee,Yogurt,Chips,Milk,Juice,Soda,Fish
Strawberries,Bananas,Potatoes,Carrots,Grapes,Apples,Cereal,Milk,Cheese,Oranges,Eggs,Soda,Juice,Yogurt,Cucumbers
Carrots,Cereal,Butter,Milk,Tomatoes,Soda,Cheese,Cucumbers,Blueberries,Apples,Bread,Chicken,Eggs,Bananas,Pork
Onions,Carrots,Cucumbers,Strawberries,Bananas,Bread,Watermelon,Yogurt,Eggs,Chicken,Grapes,Fish,Butter,Rice,Oranges
Bread,Chips,Pasta,Bananas,Oranges,Juice,Butter,Cheese,Eggs,Apples,Strawberries,Blueberries,Potatoes,Carrots,Milk
Onions,Cheese,Eggs,Soda,Milk,Grapes,Lettuce,Oranges,Cucumbers,Juice,Rice,Yogurt,Bread,Butter,Beef
Cucumbers,Butter,Rice,Cheese,Potatoes,Milk,Coffee,Apples,Cereal,Eggs,Carrots,Lettuce,Blueberries,Beef,Pasta
Eggs,Cereal,Chips,Pork,Bananas,Bread,Juice,Pasta,Milk,Butter,Fish,Beef,Tomatoes,Watermelon,Chicken
Fish,Soda,Juice,Butter,Bananas,Cereal,Pork,Yogurt,Chips,Potatoes,Eggs,Tomatoes,Bread,Cheese,Carrots
Watermelon,Grapes,Coffee,Butter,Blueberries,Onions,Cheese,Chips,Rice,Fish,Bananas,Bread,Milk,Potatoes,Tomatoes
Bananas,Blueberries,Carrots,Grapes,Potatoes,Milk,Lettuce,Butter,Cucumbers,Rice,Yogurt,Tomatoes,Chips,Bread,Beef
Eggs,Strawberries,Soda,Cereal,Lettuce,Milk,Coffee,Chips,Blueberries,Grapes,Bread,Cheese,Onions,Butter,Tomatoes
Milk,Watermelon,Cheese,Carrots,Beef,Bananas,Soda,Pasta,Coffee,Eggs,Cereal,Cucumbers,Fish,Bread,Apples
Coffee,Chips,Tomatoes,Eggs,Apples,Butter,Rice,Bread,Strawberries,Pork,Potatoes,Cheese,Juice,Cucumbers,Milk
Milk,Beef,Juice,Bananas,Pork,Oranges,Lettuce,Blueberries,Bread,Yogurt,Fish,Cucumbers,Eggs,Coffee,Onions
Cucumbers,Beef,Chips,Bananas,Onions,Soda,Eggs,Tomatoes,Blueberries,Pork,Carrots,Watermelon,Oranges,Cereal,Fish
Carrots,Onions,Coffee,Pork,Potatoes,Yogurt,Milk,Tomatoes,Cereal,Cucumbers,Blueberries,Watermelon,Cheese,Lettuce,Rice
Milk,Eggs,Apples,Butter,Carrots,Yogurt,Potatoes,Coffee,Bread,Fish,Onions,Pasta,Juice,Beef,Cereal
Chips,Pork,Butter,Watermelon,Blueberries,Fish,Milk,Juice,Yogurt,Rice,Bread,Cereal,Eggs,Lettuce,Strawberries
Chicken,Milk,Tomatoes,Fish,Juice,Bread,Watermelon,Oranges,Pork,Coffee,Cucumbers,Carrots,Bananas,Butter,Eggs
Milk,Watermelon,Strawberries,Carrots,Cereal,Fish,Butter,Chips,Oranges,Chicken,Tomatoes,Potatoes,Eggs,Grapes,Bread
Eggs,Chicken,Lettuce,Cheese,Milk,Butter,Chips,Beef,Oranges,Apples,Pork,Bread,Watermelon,Cereal,Onions
Cucumbers,Potatoes,Fish,Pasta,Strawberries,Chicken,Onions,Grapes,Bread,Blueberries,Yogurt,Butter,Coffee,Milk,Watermelon
Bread,Cheese,Chicken,Fish,Apples,Watermelon,Coffee,Pork,Eggs,Oranges,Butter,Bananas,Yogurt,Pasta,Milk
Butter,Juice,Watermelon,Lettuce,Milk,Pasta,Cheese,Chips,Bread,Eggs,Soda,Beef,Blueberries,Cucumbers,Apples
Beef,Chicken,Eggs,Pork,Blueberries,Pasta,Strawberries,Onions,Butter,Potatoes,Milk,Apples,Soda,Bread,Grapes
Rice,Grapes,Potatoes,Yogurt,Oranges,Fish,Eggs,Lettuce,Beef,Chips,Butter,Milk,Bread,Cucumbers,Tomatoes
Strawberries,Butter,Beef,Lettuce,Juice,Coffee,Fish,Bread,Watermelon,Tomatoes,Cucumbers,Apples,Blueberries,Grapes,Potatoes
Soda,Cereal,Carrots,Chips,Pasta,Lettuce,Strawberries,Yogurt,Eggs,Cucumbers,Bread,Beef,Juice,Coffee,Butter
Potatoes,Butter,Onions,Fish,Bread,Lettuce,Cucumbers,Coffee,Pasta,Strawberries,Watermelon,Bananas,Pork,Chips,Blueberries
Coffee,Apples,Oranges,Butter,Beef,Chicken,Lettuce,Fish,Grapes,Carrots,Milk,Pasta,Pork,Potatoes,Bread
Eggs,Chips,Apples,Grapes,Lettuce,Bananas,Beef,Soda,Chicken,Cereal,Carrots,Butter,Pasta,Bread,Tomatoes
Bananas,Yogurt,Onions,Apples,Milk,Cereal,Eggs,Tomatoes,Carrots,Rice,Oranges,Bread,Butter,Blueberries,Lettuce
Apples,Chips,Potatoes,Blueberries,Soda,Grapes,Yogurt,Butter,Coffee,Onions,Cucumbers,Eggs,Strawberries,Bread,Milk
Fish,Lettuce,Bananas,Eggs,Butter,Cucumbers,Bread,Oranges,Strawberries,Chips,Beef,Cheese,Milk,Carrots,Grapes
