Project,Supplier,Rating,Delivery_Time,Cost_Variation
Project_04,Supplier_05,3.48,39,12.35
Project_04,Supplier_01,4.15,47,8.81
Project_04,Supplier_08,3.83,36,8.6
Project_04,Supplier_04,1.13,31,7.85
Project_04,Supplier_02,2.98,19,-1.45
Project_05,Supplier_09,3.89,11,-9.69
Project_05,Supplier_02,3.39,45,3.57
Project_05,Supplier_03,2.01,14,10.67
Project_05,Supplier_01,4.84,49,4.58
Project_06,Supplier_05,1.41,57,7.42
Project_06,Supplier_07,4.69,17,6.28
Project_06,Supplier_04,4.08,40,5.17
Project_06,Supplier_03,2.7,38,-7.39
Project_06,Supplier_09,4.36,20,1.27
Project_07,Supplier_07,3.08,49,5.2
Project_07,Supplier_08,2.52,18,-4.86
Project_07,Supplier_03,4.15,35,-1.66
Project_07,Supplier_09,2.59,34,11.59
Project_08,Supplier_06,2.81,60,-3.79
Project_08,Supplier_04,3.31,15,-9.15
Project_08,Supplier_05,2.25,38,4.51
Project_08,Supplier_01,3.53,37,-4.68
Project_09,Supplier_06,3.14,49,2.55
Project_09,Supplier_03,3.38,22,-0.07
Project_09,Supplier_05,2.71,28,-1.27
Project_10,Supplier_06,3.14,58,0.02
Project_10,Supplier_04,3.24,13,-5.45
Project_10,Supplier_07,4.45,48,8.83
Project_10,Supplier_05,2.09,28,6.1
Project_11,Supplier_09,1.92,17,-7.4
Project_11,Supplier_08,4.2,12,12.19
Project_11,Supplier_03,3.23,17,-7.51
Project_12,Supplier_10,4.59,16,5.83
Project_12,Supplier_01,3.94,30,-9.34
Project_12,Supplier_03,1.73,45,6.07
Project_12,Supplier_02,3.82,10,10.44
Project_13,Supplier_08,4.1,18,0.9
Project_13,Supplier_09,2.18,31,9.49
Project_13,Supplier_05,1.46,39,2.19
Project_13,Supplier_01,4.58,41,0.63
Project_13,Supplier_06,1.09,23,8.54
Project_14,Supplier_08,4.6,43,-3.19
Project_14,Supplier_05,1.07,27,3.24
Project_14,Supplier_04,4.26,50,-3.15
Project_14,Supplier_02,3.22,34,2.44
Project_15,Supplier_09,3.53,16,4.33
Project_15,Supplier_08,4.35,30,-0.42
Project_15,Supplier_02,3.08,11,-5.84
Project_15,Supplier_04,3.95,60,-7.74
Project_15,Supplier_07,4.08,38,-0.27
Project_16,Supplier_09,4.75,14,2.09
Project_16,Supplier_05,2.08,56,-3.44
Project_16,Supplier_10,3.38,52,11.16
Project_16,Supplier_06,4.82,52,-1.64
Project_16,Supplier_02,4.08,18,-8.12
Project_17,Supplier_06,1.31,53,7.37
Project_17,Supplier_08,2.09,43,-7.42
Project_17,Supplier_04,2.26,58,-6.58
Project_18,Supplier_02,4.04,46,7.31
Project_18,Supplier_08,4.4,34,12.58
Project_18,Supplier_05,3.59,35,-8.71
Project_18,Supplier_06,3.68,41,7.64
Project_19,Supplier_04,3.79,18,-5.19
Project_19,Supplier_10,1.46,32,9.88
Project_19,Supplier_09,3.98,48,1.38
Project_19,Supplier_03,3.09,48,-9.07
Project_19,Supplier_08,3.39,44,4.02
Project_20,Supplier_01,3.16,38,6.54
Project_20,Supplier_06,3.95,42,12.15
Project_20,Supplier_08,3.46,11,-9.39
Project_01,Supplier_01,2.4,58,0.05
Project_01,Supplier_06,2.92,25,11.84
Project_01,Supplier_04,4.94,19,-7.71
Project_01,Supplier_09,2.35,29,8.44
Project_02,Supplier_10,3.36,57,-9.55
Project_02,Supplier_09,4.95,18,-7.26
Project_02,Supplier_08,2.57,13,-4.54
Project_02,Supplier_04,4.8,46,-7.76
Project_03,Supplier_04,4.96,17,13.57
Project_03,Supplier_09,3.6,60,2.82
Project_03,Supplier_01,1.92,43,-0.4
Project_03,Supplier_02,1.15,12,10.66
Project_04,Supplier_04,1.7,51,2.88
Project_04,Supplier_10,2.96,26,-6.15
Project_04,Supplier_02,4.26,47,5.57
Project_05,Supplier_08,2.06,37,1.92
Project_05,Supplier_07,1.18,43,11.55
Project_05,Supplier_01,4.24,49,13.29
Project_06,Supplier_09,1.32,57,7.08
Project_06,Supplier_05,1.3,26,-8.46
Project_06,Supplier_10,4.53,38,12.66
Project_06,Supplier_01,3.29,49,6.95
Project_06,Supplier_03,3.26,54,8.35
Project_07,Supplier_02,4.72,45,5.47
Project_07,Supplier_04,4.01,16,12.04
Project_07,Supplier_06,4.85,60,11.98
Project_07,Supplier_07,1.02,41,-1.62
Project_07,Supplier_05,3.97,40,-9.97
Project_08,Supplier_09,1.46,43,5.85
Project_08,Supplier_10,3.16,44,-6.79
Project_08,Supplier_04,2.13,16,3.53
Project_08,Supplier_01,4.85,37,5.82
Project_09,Supplier_01,3.83,31,7.71
Project_09,Supplier_10,2.89,31,5.52
Project_09,Supplier_03,1.18,59,14.75
Project_09,Supplier_09,3.7,21,8.74
Project_10,Supplier_10,2.78,55,1.71
Project_10,Supplier_06,4.78,44,1.28
Project_10,Supplier_02,1.65,38,7.34
Project_10,Supplier_08,1.88,11,9.32
Project_10,Supplier_09,1.92,20,-3.17
Project_11,Supplier_10,2.77,10,-1.98
Project_11,Supplier_01,3.9,43,-4.67
Project_11,Supplier_06,1.12,34,7.87
Project_12,Supplier_10,1.07,38,-6.72
Project_12,Supplier_06,1.13,12,-5.36
Project_12,Supplier_04,2.85,39,-7.07
Project_12,Supplier_02,1.5,53,-3.81
Project_13,Supplier_08,2.73,22,-6.26
Project_13,Supplier_03,2.86,39,-0.19
Project_13,Supplier_02,2.92,40,8.05
Project_14,Supplier_07,1.58,21,14.67
Project_14,Supplier_08,1.57,25,2.06
Project_14,Supplier_05,1.84,42,3.99
Project_14,Supplier_02,1.04,42,2.94
Project_14,Supplier_03,1.35,22,-7.94
Project_15,Supplier_01,4.29,51,-5.81
Project_15,Supplier_03,1.42,20,-6.89
Project_15,Supplier_10,4.58,18,13.41
Project_16,Supplier_05,2.94,20,12.37
Project_16,Supplier_01,3.19,31,1.31
Project_16,Supplier_03,3.57,50,-5.9
Project_16,Supplier_07,2.75,27,-8.49
Project_16,Supplier_06,1.99,22,1.98
Project_17,Supplier_02,2.73,41,2.45
Project_17,Supplier_09,3.22,27,6.33
Project_17,Supplier_01,2.33,50,2.33
Project_17,Supplier_08,1.33,60,7.01
Project_17,Supplier_05,1.29,24,-3.56
Project_18,Supplier_01,3.02,59,11.68
Project_18,Supplier_03,3.31,45,-9.27
Project_18,Supplier_02,2.58,45,11.84
Project_19,Supplier_05,1.84,54,1.65
Project_19,Supplier_01,4.34,42,-6.71
Project_19,Supplier_10,3.86,57,5.05
Project_19,Supplier_08,3.53,23,14.28
Project_20,Supplier_07,3.06,34,6.57
Project_20,Supplier_02,1.38,26,-0.22
Project_20,Supplier_03,4.88,11,11.45
Project_20,Supplier_08,1.04,10,9.34
Project_20,Supplier_04,1.52,54,-4.07
Project_01,Supplier_09,2.72,29,4.7
Project_01,Supplier_01,4.79,29,-0.52
Project_01,Supplier_04,3.42,56,6.6
Project_01,Supplier_07,2.9,58,7.63
Project_01,Supplier_05,2.79,56,11.71
Project_02,Supplier_03,3.56,44,1.3
Project_02,Supplier_08,4.74,14,-7.42
Project_02,Supplier_07,3.34,21,-6.29
Project_02,Supplier_10,4.95,33,7.15
Project_02,Supplier_05,1.07,34,5.98
Project_03,Supplier_01,1.53,25,13.5
Project_03,Supplier_05,3.93,17,14.25
Project_03,Supplier_09,1.38,17,-6.1
Project_04,Supplier_09,2.99,26,10.77
Project_04,Supplier_04,4.46,58,-9.24
Project_04,Supplier_10,4.72,55,12.97
Project_04,Supplier_03,3.4,40,6.47
Project_05,Supplier_03,4.91,50,14.83
Project_05,Supplier_01,4.01,22,-2.78
Project_05,Supplier_07,1.44,43,0.1
Project_06,Supplier_05,2.74,20,-0.61
Project_06,Supplier_08,2.19,16,-9.86
Project_06,Supplier_10,2.3,21,5.25
Project_06,Supplier_01,3.25,28,-0.29
Project_07,Supplier_06,3.41,55,6.06
Project_07,Supplier_07,4.04,18,-0.51
Project_07,Supplier_05,4.45,57,11.18
Project_08,Supplier_06,4.06,15,8.67
Project_08,Supplier_01,3.86,52,-9.54
Project_08,Supplier_08,1.78,25,6.19
Project_09,Supplier_07,1.41,13,-3.58
Project_09,Supplier_06,2.14,36,13.24
Project_09,Supplier_02,3.13,17,-2.22
Project_09,Supplier_01,3.44,27,-0.0
Project_09,Supplier_05,4.91,35,-6.95
Project_10,Supplier_04,4.85,13,-7.82
Project_10,Supplier_03,4.26,53,-8.91
Project_10,Supplier_08,3.53,22,5.04
Project_10,Supplier_06,4.28,31,4.84
Project_10,Supplier_02,4.17,24,5.27
Project_11,Supplier_04,4.29,48,6.69
Project_11,Supplier_05,1.38,45,-6.26
Project_11,Supplier_06,2.7,14,-5.8
Project_11,Supplier_07,3.95,43,1.82
Project_12,Supplier_10,2.03,22,4.86
Project_12,Supplier_02,2.99,11,-3.14
Project_12,Supplier_07,3.39,27,0.11
Project_13,Supplier_08,3.31,48,9.32
Project_13,Supplier_05,2.06,46,12.35
Project_13,Supplier_02,1.77,17,-0.83
Project_13,Supplier_06,2.37,48,-8.26
Project_14,Supplier_01,2.3,12,-5.24
Project_14,Supplier_08,1.21,53,6.55
Project_14,Supplier_06,3.23,43,1.16
Project_15,Supplier_06,2.69,25,-9.97
Project_15,Supplier_09,2.2,17,9.89
Project_15,Supplier_02,4.71,54,-7.0
Project_15,Supplier_03,4.9,14,8.43
Project_16,Supplier_01,1.51,25,2.67
Project_16,Supplier_10,1.64,23,-7.06
Project_16,Supplier_03,1.91,54,-1.0
Project_17,Supplier_05,4.77,27,2.89
Project_17,Supplier_07,4.68,52,4.36
Project_17,Supplier_10,3.27,51,2.53
Project_18,Supplier_01,1.57,16,-2.38
Project_18,Supplier_09,1.32,30,-9.43
Project_18,Supplier_04,1.62,44,-1.35
Project_19,Supplier_06,1.56,25,9.12
Project_19,Supplier_08,1.7,12,13.82
Project_19,Supplier_03,4.3,22,-0.81
Project_19,Supplier_04,1.27,43,2.65
Project_20,Supplier_01,3.6,28,-0.34
Project_20,Supplier_06,3.26,43,1.5
Project_20,Supplier_08,1.23,20,8.86
Project_20,Supplier_03,3.48,24,14.59
Project_20,Supplier_07,1.96,44,-8.13
Project_01,Supplier_06,4.26,48,-4.48
Project_01,Supplier_02,1.7,45,3.18
Project_01,Supplier_10,2.7,46,12.17
Project_01,Supplier_05,2.8,44,-0.81
Project_02,Supplier_04,1.08,24,4.55
Project_02,Supplier_01,3.72,48,5.47
Project_02,Supplier_03,2.29,35,-3.97
Project_02,Supplier_10,4.9,27,-8.38
Project_03,Supplier_02,2.95,13,11.62
Project_03,Supplier_09,1.97,27,1.9
Project_03,Supplier_07,2.5,38,1.49
Project_04,Supplier_04,1.31,42,11.02
Project_04,Supplier_03,1.15,49,1.54
Project_04,Supplier_02,3.55,43,-0.34
Project_05,Supplier_06,4.95,32,7.01
Project_05,Supplier_02,1.17,32,7.91
Project_05,Supplier_10,1.29,33,-7.37
Project_05,Supplier_03,1.14,29,8.44
Project_06,Supplier_01,1.39,39,10.76
Project_06,Supplier_02,1.27,19,-9.48
Project_06,Supplier_05,1.33,37,12.47
Project_06,Supplier_06,4.13,49,5.62
Project_07,Supplier_05,4.84,59,-1.94
Project_07,Supplier_09,1.5,36,14.5
Project_07,Supplier_08,3.41,41,8.7
Project_07,Supplier_10,4.25,43,-6.8
Project_08,Supplier_05,2.76,34,-5.91
Project_08,Supplier_09,2.1,29,-6.96
Project_08,Supplier_03,1.79,55,-9.68
Project_08,Supplier_04,4.97,41,-2.08
Project_08,Supplier_06,4.52,21,12.97
Project_09,Supplier_01,3.18,52,-3.27
Project_09,Supplier_02,3.16,22,-5.88
Project_09,Supplier_03,1.53,24,-7.7
Project_09,Supplier_09,4.86,24,2.65
Project_10,Supplier_04,4.49,56,11.93
Project_10,Supplier_02,2.74,17,1.54
Project_10,Supplier_07,1.04,10,8.54
Project_11,Supplier_09,3.97,55,5.4
Project_11,Supplier_05,1.75,50,-0.62
Project_11,Supplier_10,3.15,45,-9.87
Project_11,Supplier_07,4.04,21,8.64
Project_11,Supplier_06,1.81,43,8.97
Project_12,Supplier_08,3.57,19,12.15
Project_12,Supplier_01,3.37,46,6.58
Project_12,Supplier_09,1.01,48,-9.92
Project_12,Supplier_04,3.48,13,-5.47
Project_12,Supplier_02,2.55,26,4.71
Project_13,Supplier_01,3.71,27,5.05
Project_13,Supplier_10,1.09,28,2.46
Project_13,Supplier_07,1.31,31,7.39
Project_14,Supplier_08,1.49,58,0.85
Project_14,Supplier_02,1.35,58,4.96
Project_14,Supplier_01,3.94,20,8.34
Project_14,Supplier_09,2.2,42,0.53
Project_15,Supplier_03,2.34,22,7.51
Project_15,Supplier_09,3.34,54,7.44
Project_15,Supplier_10,4.72,60,13.52
Project_15,Supplier_04,2.04,55,-4.36
Project_15,Supplier_08,2.51,46,2.02
Project_16,Supplier_09,2.99,10,9.51
Project_16,Supplier_01,1.03,50,-6.03
Project_16,Supplier_03,3.44,40,13.07
Project_17,Supplier_08,4.63,19,-3.2
Project_17,Supplier_01,4.04,51,11.12
Project_17,Supplier_09,2.07,18,2.19
Project_18,Supplier_07,4.09,15,12.5
Project_18,Supplier_06,1.09,20,14.08
Project_18,Supplier_08,3.24,16,-0.16
Project_18,Supplier_10,4.31,23,8.27
Project_18,Supplier_05,4.93,27,-6.38
Project_19,Supplier_09,4.87,50,-9.45
Project_19,Supplier_02,3.88,51,-7.78
Project_19,Supplier_04,3.74,42,3.08
Project_19,Supplier_07,1.46,43,0.1
Project_19,Supplier_06,3.17,48,7.7
Project_20,Supplier_04,4.78,57,-4.6
Project_20,Supplier_03,1.39,25,0.29
Project_20,Supplier_05,3.6,31,-2.74
Project_01,Supplier_09,2.99,41,-3.53
Project_01,Supplier_01,1.66,13,8.92
Project_01,Supplier_05,3.08,49,11.95
Project_01,Supplier_10,4.52,37,-3.61
Project_01,Supplier_07,4.79,49,14.62
Project_02,Supplier_05,4.19,48,6.42
Project_02,Supplier_07,4.29,59,-7.66
Project_02,Supplier_09,2.76,20,-4.91
Project_02,Supplier_08,3.09,33,-1.08
Project_03,Supplier_06,1.66,25,11.43
Project_03,Supplier_03,4.62,59,-5.78
Project_03,Supplier_10,3.03,37,-4.95
Project_04,Supplier_10,3.96,25,14.71
Project_04,Supplier_02,2.94,30,8.13
Project_04,Supplier_01,2.29,37,12.05
Project_05,Supplier_09,1.32,14,14.34
Project_05,Supplier_10,2.35,18,10.48
Project_05,Supplier_02,3.16,28,8.99
Project_05,Supplier_06,4.95,11,10.54
Project_05,Supplier_04,2.84,30,-3.64
Project_06,Supplier_08,4.62,60,1.26
Project_06,Supplier_07,4.0,32,5.52
Project_06,Supplier_10,2.41,14,10.15
Project_06,Supplier_09,4.37,36,5.85
Project_07,Supplier_08,1.29,12,7.35
Project_07,Supplier_09,3.05,47,-0.99
Project_07,Supplier_05,1.27,55,8.98
Project_08,Supplier_10,3.68,32,-5.77
Project_08,Supplier_06,2.56,55,1.51
Project_08,Supplier_01,4.46,17,-6.78
Project_09,Supplier_10,4.3,28,10.12
Project_09,Supplier_05,1.07,16,5.53
Project_09,Supplier_07,3.24,28,11.82
Project_09,Supplier_03,1.45,47,-6.99
Project_09,Supplier_08,1.27,26,-3.95
Project_10,Supplier_02,3.92,50,-8.8
Project_10,Supplier_09,4.61,17,11.93
Project_10,Supplier_10,2.32,31,12.31
Project_11,Supplier_09,3.29,30,-8.41
Project_11,Supplier_10,4.33,12,2.21
Project_11,Supplier_02,3.95,18,12.74
Project_11,Supplier_05,3.68,26,-8.38
Project_11,Supplier_03,4.82,17,2.94
Project_12,Supplier_05,3.43,60,1.13
Project_12,Supplier_10,4.16,60,-4.06
Project_12,Supplier_07,3.05,37,-4.15
Project_12,Supplier_02,4.15,12,6.31
Project_12,Supplier_03,4.8,43,1.82
Project_13,Supplier_04,2.89,35,12.68
Project_13,Supplier_03,1.96,51,14.29
Project_13,Supplier_05,2.33,58,5.56
Project_14,Supplier_10,1.2,17,-9.08
Project_14,Supplier_09,1.43,35,1.57
Project_14,Supplier_07,2.75,51,-2.66
Project_14,Supplier_02,4.73,18,10.42
Project_15,Supplier_02,1.12,20,-8.88
Project_15,Supplier_10,2.8,55,-5.87
Project_15,Supplier_04,2.56,28,0.28
Project_16,Supplier_08,1.01,39,-3.56
Project_16,Supplier_03,1.24,56,11.79
Project_16,Supplier_06,2.03,13,-0.4
Project_17,Supplier_07,1.32,24,8.75
Project_17,Supplier_09,2.65,38,6.97
Project_17,Supplier_08,2.45,20,4.97
Project_17,Supplier_01,3.01,60,12.83
Project_17,Supplier_06,3.45,37,-5.7
Project_18,Supplier_07,3.13,52,2.15
Project_18,Supplier_08,3.31,35,12.75
Project_18,Supplier_04,4.23,40,1.67
Project_18,Supplier_01,4.27,47,11.14
Project_19,Supplier_06,2.79,43,-0.39
Project_19,Supplier_08,2.8,53,12.92
Project_19,Supplier_09,2.72,49,12.24
Project_19,Supplier_10,1.05,45,-0.18
Project_20,Supplier_10,4.79,28,-9.36
Project_20,Supplier_03,3.58,37,-9.83
Project_20,Supplier_01,2.54,36,0.24
Project_20,Supplier_06,2.24,47,11.18
Project_20,Supplier_07,3.12,57,-4.55
Project_01,Supplier_09,4.86,13,-7.52
Project_01,Supplier_08,1.84,52,-0.3
Project_01,Supplier_03,1.64,59,-2.17
Project_01,Supplier_06,1.59,39,-6.75
Project_02,Supplier_09,1.35,56,-6.21
Project_02,Supplier_08,1.12,41,-1.49
Project_02,Supplier_01,3.17,46,1.95
Project_02,Supplier_02,3.13,54,9.05
Project_03,Supplier_04,3.03,53,-4.12
Project_03,Supplier_01,4.32,13,-1.32
Project_03,Supplier_06,3.32,33,14.99
Project_03,Supplier_08,1.6,43,2.22
Project_03,Supplier_05,2.61,26,8.36
Project_04,Supplier_04,1.16,26,7.77
Project_04,Supplier_07,4.63,36,12.74
Project_04,Supplier_10,3.89,54,1.46
Project_04,Supplier_09,1.15,20,3.73
Project_05,Supplier_03,4.8,35,14.52
Project_05,Supplier_07,2.93,41,2.3
Project_05,Supplier_05,2.21,45,-2.86
Project_06,Supplier_04,4.46,23,1.4
Project_06,Supplier_05,2.77,56,9.11
Project_06,Supplier_02,3.29,54,1.91
Project_07,Supplier_03,1.96,47,-3.6
Project_07,Supplier_02,1.12,56,5.66
Project_07,Supplier_10,4.71,25,9.06
Project_07,Supplier_07,4.72,31,8.07
Project_07,Supplier_06,3.77,51,5.81
