NAME_1,NAME_2,LGU,Class,Overall_Score,Population,Revenue,Provincial_Score
OrientalMindoro,Roxas,Roxas,Second Class Municipality,31.328,"58,849","41,467,958.01",1.0839
OrientalMindoro,SanTeodoro,San Teodoro,Fourth Class Municipality,28.3211,"17,904","210,177,667.47",0.3059
OrientalMindoro,Socorro,Socorro,Third Class Municipality,30.2746,"39,099","19,993,781.65",0.6933
OrientalMindoro,Victoria,Victoria,Second Class Municipality,28.1157,"50,492","42,304,783.56",0.835
Marinduque,Boac,Boac,First Class Municipality,32.6332,"54,730","311,612,065.51",9.6398
Marinduque,Buenavista,Buenavista,Fourth Class Municipality,28.394,"23,988","7,968,835.59",1.5844
Marinduque,Gasan,Gasan,Third Class Municipality,29.5497,"34,828","197,682,890.09",5.5465
Marinduque,Mogpog,Mogpog,Third Class Municipality,31.765,"34,043","24,890,129.96",2.7604
Marinduque,SantaCruz,SantaCruz,First Class Municipality,30.2715,"56,408","306,257,893.80",8.9573
Marinduque,Torrijos,Torrijos,Third Class Municipality,31.0751,"30,476","23,507,719.02",2.4394
Romblon,Alcantara,Alcantara,Fifth Class Municipality,31.6508,"16,351","5,246,715.10",1.0508
Romblon,Banton,Banton,Fifth Class Municipality,28.1007,"5,536","2,229,708.76",0.3288
Romblon,Cajidiocan,Cajidiocan,Fourth Class Municipality,21.5279,"23,759","5,156,038.65",0.9774
Romblon,Calatrava,Calatrava,Fifth Class Municipality,31.486,"11,342","3,128,291.64",0.7084
Romblon,Concepcion,Concepcion,Sixth Class Municipality,5.9286,"4,037","1,908,733.55",0.0528
Romblon,Corcuera,Corcuera,Fifth Class Municipality,23.2319,"10,283","92,401,060.11",2.8389
Romblon,Ferrol,Ferrol,Sixth Class Municipality,25.5518,"6,964","84,570,749.42",2.7545
Romblon,Looc,Looc,Fourth Class Municipality,31.2444,"21,799","13,962,734.05",1.631
Romblon,Magdiwang,Magdiwang,Fifth Class Municipality,26.2862,"15,385","1,805,696.93",0.7281
Romblon,Odiongan,Odiongan,Second Class Municipality,38.3096,"45,367","50,718,013.85",5.099
Romblon,Romblon,Romblon,Third Class Municipality,28.8703,"40,554","22,847,985.28",2.6965
Romblon,SanAgustin,San Agustin,Fourth Class Municipality,30.7601,"24,115","14,326,150.13",1.7349
Romblon,SanAndres,San Andres,Fifth Class Municipality,28.9009,"15,940","3,654,269.63",0.8873
Romblon,SanFernando,San Fernando,Fourth Class Municipality,32.0945,"23,271","7,370,000.00",1.5117
Romblon,SanJose,San Jose,Fifth Class Municipality,31.2101,"10,881","4,924,251.53",0.7397
Romblon,SantaFe,Santa Fe,Fifth Class Municipality,26.5857,"16,098","122,530,926.41",4.4159
Romblon,SantaMaria,Santa Maria,Fifth Class Municipality,28.7494,"8,989","2,935,480.00",0.5232
Palawan,Aborlan,Aborlan,First Class Municipality,29.7509,"35,091","432,614,196.79",2.3949
Palawan,Agutaya,Agutaya,Fifth Class Municipality,22.6547,"12,545","3,690,379.50",0.179
Palawan,Araceli,Araceli,Fourth Class Municipality,22.6185,"14,909",0,0.199
Palawan,Balabac,Balabac,Second Class Municipality,22.0176,"40,142","4,014,749.00",0.5328
Palawan,Bataraza,Bataraza,First Class Municipality,31.4311,"75,468","94,650,000.00",1.8073
Palawan,Brooke'sPoint,Brooke's Point,First Class Municipality,30.5,"66,374","76,906,221.79",1.5128
Palawan,Busuanga,Busuanga,Third Class Municipality,28.0397,"22,046","13,509,642.46",0.4178
Palawan,Cagayancillo,Cagayancillo,Sixth Class Municipality,25.306,"7,242","82,636,416.27",0.3973
Palawan,Coron,Coron,First Class Municipality,31.7745,"51,803","486,360,846.89",3.1075
Palawan,Culion,Culion,Third Class Municipality,29.9214,"20,139","4,561,185.55",0.371
Palawan,Cuyo,Cuyo,Fourth Class Municipality,23.2488,"22,360","158,566,925.17",0.816
Palawan,Dumaran,Dumaran,Third Class Municipality,24.5803,"23,734","13,117,619.49",0.3884
Palawan,ElNido,El Nido,First Class Municipality,31.9347,"41,606","132,460,227.34",1.3668
Palawan,Linapacan,Linapacan,Fifth Class Municipality,17.9033,"15,668","5,603,695.87",0.179
Palawan,Magsaysay,Magsaysay,Fifth Class Municipality,22.5371,"12,196","3,596,530.04",0.1735
Palawan,Narra,Narra,First Class Municipality,28.6266,"73,212","492,415,894.59",3.1833
Palawan,PuertoPrincesaCity,Puerto Princesa City,Component City,49.2839,"307,079","1,835,385,889.28",3.754
Palawan,Quezon,Quezon,First Class Municipality,32.1334,"60,980","519,129,677.91",1.733
Palawan,Rizal,Rizal,First Class Municipality,24.1779,"50,096","24,420,281.20",0.7955
Palawan,Roxas,Roxas,First Class Municipality,30.4666,"65,358",0,1.1699
Palawan,SanVicente,San Vicente,First Class Municipality,27.1035,"31,232","16,447,090.40",0.561
Palawan,SofronioEspanola,Sofronio Espanola,Second Class Municipality,22.1184,"32,876","350,177,140.98",1.4996
Palawan,Taytay,Taytay,First Class Municipality,29.8793,"75,165","696,181,670.16",4.201
